key	pt
opt.game_speed	VELOCIDADE JOGO
opt.opponent	ADVERSARIO
opt.pitch	CAMPO
opt.skill_scaling	ESCALA DE NIVEL
opt.skill_scaling_hint	ESCALA FIEL DE NIVEL POR PRECO SWOS
opt.all_teams_equal	EQUIPAS IGUAIS
opt.all_teams_equal_hint	IGUALA A FORCA DAS EQUIPAS DO JOGADOR
opt.pre_match_menus	MENUS PRE PARTIDA
opt.player_fatigue	FADIGA JOGADOR
opt.energy_bar	BARRA ENERGIA
opt.music	MUSICA
opt.music_hint	MUSICA DE MENU AMIGA / PC / PERSONAL
opt.sound	SOM
opt.sound_hint	SONS DE JOGO PC OU AMIGA
opt.display	ECRA
opt.display_hint	F11 ALTERNA  ALT+ENTER ECRA CHEIO
# OPTION VALUES
val.pitch_none	(NENHUM)
val.pitch_random	ALEATORIO
val.opponent_ai	IA
val.opponent_player2	JOGADOR 2  (WASD)
val.opponent_demo	DEMO  (IA V IA)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	PERSONAL
val.music_off	DESL
val.length_whole_match_seconds	%dS REAL  (JOGO TODO)
val.length_whole_match_minutes	%d MIN REAL  (JOGO TODO)
val.display_windowed	JANELA
val.display_full_fill	CHEIO ESTICADO
val.display_full_integer	CHEIO INTEIRO
# LOCAL MULTIPLAYER
mp.title	MULTIJOGADOR LOCAL
mp.controls_hint	JOGADOR 1: SETAS+ESPACO   JOGADOR 2: WASD+SHIFT
mp.start	INICIAR JOGO 2 JOGADORES
# PICKERS
pick.continent	CONTINENTE
pick.country	PAIS
pick.your_team	A TUA EQUIPA
pick.all_countries	TODOS OS PAISES
pick.all	TODOS
pick.select_country	ESCOLHER PAIS
pick.select_continent	ESCOLHER CONTINENTE
pick.select_your_team	ESCOLHER A TUA EQUIPA
pick.home_team	EQUIPA CASA
pick.away_team	EQUIPA FORA
pick.nothing_to_choose	NADA A ESCOLHER
pick.item	ITEM
pick.more_down	MAIS v
# DRAW CEREMONY
draw.title_suffix	SORTEIO
# PLAY AGAIN
playagain.title	FIM DE JOGO
playagain.play_again	JOGAR DE NOVO
playagain.exit	SAIR
# COMPETITIONS HUB
comp.title	COMPETICOES
comp.new_league	NOVA LIGA
comp.new_cup	NOVA TACA
comp.new_tournament	NOVO TORNEIO
comp.preset_competition	COMPETICAO PREDEFINIDA
comp.new_career	NOVA CARREIRA
comp.load_game	CARREGAR JOGO
# LEAGUE / CUP / TOURNAMENT SETUP
setup.league_title	NOVA LIGA
setup.cup_title	NOVA TACA
setup.tournament_title	NOVO TORNEIO
setup.size	TAMANHO
setup.teams_suffix	EQUIPAS
setup.entrants	PARTICIPANTES
setup.entrants_same_division	MESMA DIVISAO
setup.entrants_same_nation	MESMO PAIS
setup.entrants_random	ALEATORIO
setup.rounds	VOLTAS
setup.rounds_single	UNICA
setup.rounds_double	DUPLA
setup.groups	GRUPOS
setup.groups_of_4_suffix	GRUPOS DE 4
setup.create_league	CRIAR LIGA
setup.create_cup	CRIAR TACA
setup.create_tournament	CRIAR TORNEIO
# CAREER SETUP
career.title	NOVA CARREIRA
career.blurb_seasons	LIGA E TACA NACIONAL EM CADA EPOCA
career.blurb_promotion	VENCE A LIGA PARA SUBIR, ACABA EM ULTIMO E DESCE
career.start	INICIAR CARREIRA
# MANAGER NAME ENTRY
mgr.title	NOME DO TREINADOR
mgr.hint	ESCREVE NOME   ESQ/DIR TITULO   ENTER OK   ESC CANCELAR
mgr.title_row	TITULO
mgr.title_mr	SR
mgr.title_ms	SRA
mgr.default_name	JOGADOR
# COMPETITION DASHBOARD
dash.play_next_match	JOGAR PROXIMA PARTIDA
dash.continue	CONTINUAR
dash.next_season	PROXIMA EPOCA
dash.table	TABELA
dash.fixtures	CALENDARIO
dash.squad	PLANTEL
dash.lineup	ONZE
dash.transfers	TRANSFERENCIAS
dash.staff	EQUIPA TECNICA
dash.scouting	OBSERVACAO
dash.record	HISTORICO
dash.save_as	GUARDAR COMO
dash.retire	REFORMAR
dash.abandon	ABANDONAR
dash.management_record	HISTORICO DE GESTAO
dash.status_retired	REFORMADO
dash.status_champions	CAMPEOES:
dash.status_eliminated	ELIMINADO
dash.offers_prefix	OFERTAS
dash.offers_unseen_mark	!
# NEXT MATCH / VIEW RESULT
next.title	PROXIMA PARTIDA
result.title	FIM DE JOGO
result.label	RESULTADO
# MANAGEMENT RECORD
mrec.title	HISTORICO DE GESTAO
mrec.title_of_prefix	HISTORICO DE GESTAO DE
mrec.career_over	CARREIRA TERMINADA
mrec.season	EPOCA
mrec.div	DIV
mrec.trophies	TROFEUS
mrec.none_yet	AINDA NENHUM
mrec.history	HISTORICO
mrec.first_season	PRIMEIRA EPOCA EM CURSO
# RETIRE CONFIRM
retire.title	REFORMAR
retire.prompt	REFORMAR DA GESTAO?
retire.confirm	REFORMAR
# PRESET COMPETITIONS
preset.title	COMPETICAO PREDEFINIDA
preset.blurb	COMPETICOES REAIS COM OS SEUS DADOS REAIS
preset.european_cup	TACA DOS CAMPEOES
preset.uefa_cup	TACA UEFA
preset.cup_winners_cup	TACA DAS TACAS
preset.world_cup	CAMPEONATO DO MUNDO
preset.european_championship	CAMPEONATO EUROPEU
preset.copa_america	COPA AMERICA
preset.team_knockout_suffix	EQUIPAS ELIMINATORIA
preset.groups_then_knockout_suffix	GRUPOS DE 4 E DEPOIS ELIMINATORIA
preset.create	CRIAR
# SAVE AS / LOAD GAME
save.title	GUARDAR COMO
save.hint	ESCREVE NOME   ENTER OK   ESC CANCELAR
save.saved_as_prefix	GUARDADO COMO
load.title	CARREGAR JOGO
load.delete_mode	MODO APAGAR
load.no_saved_games	SEM JOGOS GUARDADOS
# STANDINGS / FIXTURES
table.title	TABELA
table.group	GRUPO
fixtures.title	CALENDARIO
# TEAM SETUP
teamcfg.title	CONFIG EQUIPA
teamcfg.team	EQUIPA
teamcfg.team_home_prefix	CASA
teamcfg.team_away_prefix	FORA
teamcfg.switch_home_away	TROCAR CASA / FORA
teamcfg.coach	TREINADOR
# COMPETITION ENGINE
stage.league	LIGA
stage.group_prefix	GRUPO
stage.final	FINAL
stage.semi_final	MEIA FINAL
stage.quarter_final	QUARTOS FINAL
stage.round_of_16	OITAVOS
stage.round_of_32	16 AVOS
stage.round_of_prefix	RONDA DE
stage.cup_prefix	TACA
round.league_round	LIGA - RONDA
round.competition_complete	COMPETICAO TERMINADA
round.no_fixtures	SEM JOGOS
status.no_player_team	SEM EQUIPA DO JOGADOR
status.you_are_champion	ES O CAMPEAO
status.you_are_prefix	ESTAS EM
status.you_are_unplaced	SEM CLASSIFICACAO
status.you_were_eliminated	FOSTE ELIMINADO
status.you_are_through	PASSAS A PROXIMA RONDA
status.you_are_in_prefix	ESTAS NO
status.you_are_in_the_prefix	ESTAS NA
ord.st	O
ord.nd	O
ord.rd	O
ord.th	O
season.cup_winner	VENCEDOR
season.cup_runner_up	FINALISTA
season.cup_out_in_prefix	FORA EM
season.cup_out	FORA
season.trophy_league	CAMPEAO DA LIGA EPOCA %d
season.trophy_cup	VENCEDOR DA TACA EPOCA %d
season.history_line	E%d: LIGA %s, TACA %s
season.history_retired	E%d: REFORMADO
fixture.penalties_mark	P
# CAREER SQUAD
squad.title_suffix	PLANTEL
squad.default_club	CLUBE
squad.player_action	ACAO JOGADOR
squad.no_player_selected	NENHUM JOGADOR SELECIONADO
squad.fit_injured	LES
# PLAYER ACTION
paction.value_prefix	VALOR
paction.time_to_negotiate	TEMPO PARA NEGOCIAR
paction.take_off_list	TIRAR DA LISTA
paction.put_on_list	POR NA LISTA DE TRANSF
paction.give_free_transfer	DAR TRANSFERENCIA LIVRE
paction.off_list_prefix	FORA DA LISTA
paction.listed_prefix	NA LISTA
paction.list_full_prefix	LISTA CHEIA (MAX
# FREE TRANSFER
free.title	TRANSFERENCIA LIVRE
free.confirm_prompt	LIBERTAR %s GRATIS?
free.release	LIBERTAR
free.released_prefix	LIBERTADO
free.squad_too_small	PLANTEL PEQUENO DEMAIS
free.release_failed	LIBERTACAO FALHOU
# LINEUP EDITOR
lineup.title	ONZE DA EQUIPA
lineup.auto	AUTO
lineup.hint	CIMA/BAIXO LINHA   ACAO ESCOLHER/TROCAR   ESC VOLTAR
lineup.picked_prefix	ESCOLHIDO
lineup.picked_swap_hint	- ACAO NUMA LINHA PARA TROCAR
lineup.unmarked_prefix	DESMARCADO
lineup.slot_not_available	POSICAO INDISPONIVEL
lineup.goal_needs_keeper	POSICAO PRECISA DE GUARDA-REDES
lineup.swapped_prefix	TROCADO
lineup.swapped_and	E
lineup.auto_restored	ONZE AUTO RESTAURADO
lineup.auto_label	ONZE AUTO
lineup.custom_label	ONZE PERSONAL
lineup.slot	POS
lineup.slot_gk	GR
lineup.slot_sub	SUP
# STAFF
staff.title	EQUIPA TECNICA
staff.coach	TREINADOR
staff.fire_selected	DESPEDIR SELECIONADO
staff.hire_coach	CONTRATAR TREINADOR
staff.training_focus	FOCO DE TREINO
staff.no_coach_selected	NENHUM TREINADOR SELECIONADO
staff.no_coaches	SEM TREINADORES
# FIRE COACH
firecoach.title	DESPEDIR TREINADOR
firecoach.coach_not_available	TREINADOR INDISPONIVEL
firecoach.severance_prefix	INDEMNIZACAO
firecoach.fire	DESPEDIR
firecoach.fired_prefix	DESPEDIDO
# HIRE COACH
hire.title	CONTRATAR TREINADOR
hire.candidate	CANDIDATO
hire.hire	CONTRATAR
hire.hired_prefix	CONTRATADO
# TRAINING FOCUS
focus.title	FOCO DE TREINO
focus.toggle	ALTERNAR FOCO
focus.removed_prefix	REMOVIDO
focus.focused_prefix	FOCADO
focus.max_prefix	MAX
focus.max_suffix	JOGADORES EM FOCO
focus.mark	*
# SCOUTING
scout.title	OBSERVACAO
scout.scout_player	OBSERVAR JOGADOR
scout.improve_prefix	MELHORAR OBSERVACAO
scout.maxed	OBSERVACAO NO MAXIMO
scout.unavailable	OBSERVACAO INDISPONIVEL
scout.quality_prefix	NIVEL OBSERVADOR
scout.no_watched	SEM JOGADORES OBSERVADOS
scout.scout_selected	OBSERVAR SELECIONADO
scout.scout_prefix	OBSERVAR
scout.scouted_prefix	OBSERVADO
scout.cost_prefix	CUSTO
scout.no_players_available	SEM JOGADORES DISPONIVEIS
# TRANSFER MARKET
market.title	MERCADO DE TRANSF
market.max_price	PRECO MAX
market.buy_selected	COMPRAR SELECIONADO
market.no_player_selected	NENHUM JOGADOR SELECIONADO
market.free_agent	SEM CLUBE
market.club_fallback_prefix	CLUBE
market.price_any	QUALQUER
market.price_100k	<100K
market.price_250k	<250K
market.price_500k	<500K
market.price_1m	<1M
market.price_2m	<2M
market.price_5m	<5M
market.price_10m	<10M
market.price_over_10m	>=10M
# BUY / NEGOTIATION
buy.title	COMPRAR JOGADOR
buy.asking_prefix	PEDIDO
buy.your_bid	A TUA OFERTA
buy.make_bid	FAZER OFERTA
buy.club_unwilling	CLUBE NAO QUER COMPRAR JOGADORES
buy.no_time	SEM MAIS TEMPO PARA NEGOCIAR
buy.enter_a_bid	INTRODUZ UMA OFERTA
buy.not_enough_money	DINHEIRO INSUFICIENTE
buy.bought_prefix	COMPRADO
buy.squad_full	PLANTEL CHEIO
buy.transfer_failed	TRANSFERENCIA FALHOU
buy.counter_prefix	CONTRA-OFERTA DE
buy.rejected	OFERTA BAIXA - RECUSADA
# INCOMING OFFERS
offers.title	OFERTAS DE TRANSF
offers.no_offers	SEM OFERTAS
offers.offer	OFERTA
offers.accept	ACEITAR
offers.demand_more	EXIGIR MAIS
offers.reject	RECUSAR
offers.header_negotiate_prefix	TEMPO PARA NEGOCIAR
offers.header_sells	VENDAS
offers.not_available	OFERTA INDISPONIVEL
offers.sold_prefix	VENDIDO
offers.sold_for	POR
offers.squad_too_small	PLANTEL PEQUENO DEMAIS
offers.accept_failed	ACEITACAO FALHOU
offers.improved_prefix	MELHORADO PARA
offers.withdrawn	OFERTA RETIRADA
offers.refused	RECUSAM PAGAR MAIS
offers.rejected	OFERTA RECUSADA
# MATCH HUD / OVERLAYS
hud.half_time	INTERVALO
hud.full_time	FIM DE JOGO
hud.penalties	PENALTIS
hud.paused	EM PAUSA
hud.pause_resume_hint	espaco  retomar
hud.pause_quit_hint	ESC    sair para o menu
hud.goal	GOLO!
hud.throw_in	LANCAMENTO
hud.corner	CANTO
hud.goal_kick	PONTAPE DE BALIZA
hud.press_space	prime espaco
hud.team_home_fallback	CASA
hud.team_away_fallback	FORA
goal.type_penalty	(PEN)
goal.type_own_goal	(AG)
# S34 additions
bench.coach	TREINADOR
bench.coming_on	ENTRA: {0}
bench.fire_swap	TIRO SEL+SEL = TROCA
bench.formation	FORMACAO
bench.formation_colon	FORMACAO:
bench.help_leave	ESQ/DIR SAIR BANCO
bench.help_select	CIMA/BAIXO SEL  TIRO OK
bench.hold_mark	SEGURA TIRO = MARCAR JOGADOR
bench.player_off	SAI:
bench.sub_in_progress	SUBSTITUICAO EM CURSO...
bench.swap_formation	TROCA / FORMACAO:
bench.tag_inj	 LES
bench.tag_off	 [FOR]
bench.tag_sub	 [SUP]
bench.title	BANCO - {0}
bench.user	JOGADOR {0}
career.dash_div_season	DIV {0}  EPOCA {1}
career.price_any	QUALQUER
career.rec_pwdl	J {0}   V {1}   E {2}   D {3}   GM {4}   GS {5}
career.rec_season_div	EPOCA {0}  {1}  DIV {2}
career.release_confirm	LIBERTAR {0} GRATIS?
career.skill_letters	PVHTCSF
career.title_mr	SR
career.title_ms	SRA
comp.competition_complete	COMPETICAO CONCLUIDA
comp.cup	TACA
comp.entrants_random	ALEATORIO
comp.entrants_same_div	MESMA DIVISAO
comp.entrants_same_nation	MESMA NACAO
comp.league_round	LIGA - JORNADA {0}/{1}
comp.name_career	CARREIRA
comp.name_cup	TACA
comp.name_league	LIGA
comp.name_tournament	TORNEIO
comp.no_fixtures	SEM JOGOS
comp.no_player_team	SEM EQUIPA JOGADOR
comp.ord_nd	O
comp.ord_rd	O
comp.ord_st	O
comp.ord_th	O
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	TACA DAS TACAS
comp.preset_european_championship	CAMPEONATO EUROPEU
comp.preset_european_cup	TACA DOS CAMPEOES
comp.preset_uefa_cup	TACA UEFA
comp.preset_world_cup	CAMPEONATO DO MUNDO
comp.slot_finished	TERMINADA
comp.slot_no_team	SEM EQUIPA
comp.slot_round	RONDA {0}/{1}
comp.slot_winner	VENCEDOR {0}
comp.stage_final	FINAL
comp.stage_group	GRUPO
comp.stage_league	LIGA
comp.stage_quarter	QUARTOS FINAL
comp.stage_r16	OITAVOS
comp.stage_r32	16 AVOS
comp.stage_round_of	RONDA DE
comp.stage_semi	MEIA FINAL
comp.you_are_pos	ESTAS EM {0}
comp.you_champion	ES O CAMPEAO
comp.you_eliminated	FOSTE ELIMINADO
comp.you_in	ESTAS NO {0}
comp.you_in_the	ESTAS NA {0}
comp.you_through	PASSAS A PROXIMA RONDA
comp.you_unplaced	SEM CLASSIFICACAO
firstrun.body	NAO FORAM ENCONTRADOS DADOS DO JOGO SWOS.\n\nOPENSWOS PRECISA DE SENSIBLE WORLD OF SOCCER 96/97 (EDICAO AMIGA).\nDUAS OPCOES - DEPOIS REINICIE O JOGO:\n\n  (A) COLOQUE AS SUAS IMAGENS DE DISQUETE AMIGA (*.ADF) EM:\n        {0}\n      OPENSWOS EXTRAI O NECESSARIO NO PROXIMO ARRANQUE.\n\n  (B) JA TEM OS FICHEIROS DO JOGO (P.EX. UMA INSTALACAO WHDLOAD)?\n      COPIE-OS PARA:\n        {1}\n\nOPCIONAL: COLOQUE A PASTA DATA DO PC (DOS) EM 'ORIGINAL_SWOS_PC/' PARA\nUMA LISTA DE EQUIPAS UM POUCO MAIOR - NAO E OBRIGATORIO, E NAO ALTERA OS GRAFICOS.\n\nAS EDICOES SWOS ANTERIORES (94/95 ETC.) NAO SAO COMPATIVEIS.
menu.team_coach_div	TREINADOR {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRICA
nation.continent_asia	ASIA
nation.continent_europe	EUROPA
nation.continent_north_america	AMERICA DO NORTE
nation.continent_oceania	OCEANIA
nation.continent_south_america	AMERICA DO SUL
nav.hint_menu	CIMA/BAIXO SEL   TIRO OK   ESC VOLTAR
nav.hint_picker	CIMA/BAIXO DESLOCAR   TIRO SEL   ESC CANCELAR
nav.hint_picker_cols	CIMA/BAIXO DESLOCAR   ESQ/DIR COLUNA   TIRO SEL   ESC CANCELAR
nav.hint_stepper	CIMA/BAIXO SEL   ESQ/DIR MUDAR   TIRO OK   ESC VOLTAR
nav.hint_table	CIMA/BAIXO LINHA   TIRO OK   ESC VOLTAR
opt.commentator	COMENTADOR
opt.commentator_hint	COMENTARIO FALADO (SO SOM PC)
opt.display_fullfill	PREENCHER
opt.display_fullinteger	INTEIRO
opt.display_unknown	?
opt.display_windowed	JANELA
opt.len_min_whole	{0} MIN REAL  (JOGO INTEIRO)
opt.len_sec_whole	{0}S REAL  (JOGO INTEIRO)
opt.smoothing_sharp	NITIDO
overlay.corner	CANTO
overlay.fulltime	FIM DE JOGO
overlay.fulltime_body	FIM DE JOGO\n\n{0}  {1} - {2}  {3}\n\nPRIME ESPACO
overlay.goal	GOLO!
overlay.goalkick	PONTAPE DE BALIZA
overlay.halftime	INTERVALO
overlay.paused	EM PAUSA\n\nSPACE  RETOMAR\nESC    SAIR PARA MENU
overlay.penalties	PENALTIS
overlay.throwin	LANCAMENTO
pos.a	A
pos.d	D
pos.gk	GK
pos.lb	LB
pos.lw	LW
pos.m	M
pos.none	--
pos.rb	RB
pos.rw	RW
pos.unknown	?
result.away	FORA
result.home	CASA
result.og	(AG)
result.pen	(PEN)
scout.notice_maxed	OBSERVACAO NO MAXIMO
scout.notice_no_money	DINHEIRO INSUFICIENTE
scout.notice_player_unavailable	JOGADOR INDISPONIVEL
scout.notice_unavailable	OBSERVACAO INDISPONIVEL
staff.notice_coach_unavailable	TREINADOR INDISPONIVEL
staff.notice_focus_full	FOCO COMPLETO
staff.notice_full	EQUIPA TECNICA CHEIA
staff.notice_no_money	DINHEIRO INSUFICIENTE
staff.notice_player_unavailable	JOGADOR INDISPONIVEL
staff.notice_unavailable	EQUIPA TECNICA INDISPONIVEL
staff.spec_attack	ATAQUE
staff.spec_defence	DEFESA
staff.spec_general	GERAL
staff.spec_youth	JUVENIL
# FINANCES (career depth plan feature 1)
dash.finances	FINANCAS
fin.title	FINANCAS
fin.show_history	EPOCA A EPOCA
fin.show_sheet	ESTA EPOCA
fin.no_season	NENHUMA EPOCA CONCLUIDA
fin.drawn_up	AS CONTAS SAO FEITAS NO FIM DA EPOCA
fin.col_season	EPOCA
fin.col_league	LIGA
fin.col_cup	TACA
fin.col_income	RECEITAS
fin.col_wages	SALARIOS
fin.col_balance	SALDO
fin.season	EPOCA
fin.league	LIGA
fin.cup	TACA
fin.home_games	JOGOS EM CASA
fin.crowd	ESPECTADORES
fin.row.opening	SALDO NO INICIO DA EPOCA:
fin.row.gate	BILHETEIRA:
fin.row.bonuses	PREMIOS + DIREITOS TV:
fin.row.sponsor	PATROCINIO DA SENSISOFT PLC:
fin.row.invest	INVESTIMENTO DO PRESIDENTE:
fin.row.invest_new	INVESTIMENTO DO NOVO PRESIDENTE:
fin.row.wages	SALARIOS DOS JOGADORES:
fin.row.profit	LUCRO TOTAL:
fin.row.loss	PREJUIZO TOTAL:
fin.row.closing	NOVO SALDO:
fin.row.sales	VENDAS DE JOGADORES:
fin.row.purchases	COMPRAS DE JOGADORES:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	PRESIDENTE
dash.status_sacked	DESPEDIDO
chair.title	PRESIDENTE
chair.memo	NOTA
chair.none	SEM NOTAS
chair.memo_header	NOTA DO PRESIDENTE DO CLUBE
chair.memo_sign	O SEU PRESIDENTE
chair.earlier	NOTAS ANTERIORES
opt.board	DIRECAO
opt.board_hint	COM QUE RAPIDEZ O PRESIDENTE O DESPEDE
opt.board_patient	PACIENTE
opt.board_normal	NORMAL
opt.board_ruthless	IMPIEDOSA
chair.verdict0.1	PARABENS %a, FEZ UM EXCELENTE TRABALHO
chair.verdict0.2	ESTA EPOCA E TODOS AGRADECEMOS
chair.verdict1.1	BOA EPOCA %a, ESTAMOS TODOS MUITO
chair.verdict1.2	SATISFEITOS, CONTINUE ASSIM
chair.verdict2.1	EPOCA IRREGULAR %a, ESPERAMOS TODOS
chair.verdict2.2	QUE MELHORE EM BREVE
chair.verdict3.1	EPOCA POUCO BOA %a, ESPERAMOS QUE POSSA
chair.verdict3.2	MELHORAR O NOSSO DESEMPENHO NA PROXIMA
chair.verdict4.1	EPOCA MUITO DESILUDIDA %a, EXIGIMOS
chair.verdict4.2	MUITO MELHOR DE SI NA PROXIMA EPOCA
chair.sacked_league.1	E COM GRANDE PESAR QUE A DIRECAO E EU
chair.sacked_league.2	DECIDIMOS DISPENSAR OS SEUS SERVICOS
chair.not_renewed.1	E COM GRANDE PESAR QUE DECIDIMOS NAO
chair.not_renewed.2	RENOVAR O SEU CONTRATO - BOA SORTE
chair.not_renewed.3	E ESPERAMOS VE-LO EM BREVE
chair.league_note.1	TOME NOTA DA NOSSA POSICAO NA LIGA E
chair.league_note.2	TRATE DE A MELHORAR O MAIS DEPRESSA POSSIVEL
chair.league_warn.1	LEMBRE-SE, SE A NOSSA POSICAO NAO MELHORAR
chair.league_warn.2	TEREMOS DE REPENSAR O SEU LUGAR
chair.league_crisis.1	APOS UMA MOCAO DE CONFIANCA, TEM NO MAXIMO
chair.league_crisis.2	3 JOGOS PARA REERGUER O CLUBE OU SERA DESPEDIDO
chair.money_note.1	TOME NOTA DO NOSSO SALDO BANCARIO E
chair.money_note.2	TRATE DE COBRIR O DESCOBERTO QUANTO ANTES
chair.money_warn.1	APENAS UM LEMBRETE SOBRE O DESCOBERTO
chair.money_warn.2	OU TEREMOS DE REPENSAR O SEU LUGAR
chair.money_crisis.1	APOS UMA REUNIAO DE CRISE, EXIGIMOS QUE
chair.money_crisis.2	COBRA O DESCOBERTO JA OU ESTA DESPEDIDO
chair.new_season.1	UMAS LINHAS A DESEJAR-LHE MUITO SUCESSO NA
chair.new_season.2	NOVA EPOCA
chair.embargo_buy.1	LAMENTO %a, MAS O CLUBE NAO ESTA DISPOSTO A
chair.embargo_buy.2	COMPRAR MAIS JOGADORES ESTA EPOCA
chair.embargo_sell.1	TENHA EM CONTA %a QUE NAO PERMITIREMOS
chair.embargo_sell.2	MAIS VENDAS DE JOGADORES ESTA EPOCA
chair.sacked_money.1	E COM GRANDE PESAR QUE A DIRECAO E EU
chair.sacked_money.2	DECIDIMOS DISPENSAR OS SEUS SERVICOS
# JOB OFFERS (career depth plan feature #3)
job.title	PROPOSTAS DE TRABALHO
job.none	SEM PROPOSTAS
job.offer	PROPOSTA
job.accept	ACEITAR
job.decline	RECUSAR
job.declined	PROPOSTA RECUSADA
job.not_available	PROPOSTA INDISPONIVEL
job.signed_prefix	ACORDO COM
job.new_job	NOVO CARGO
job.reputation	REPUTACAO
job.rep_world	CLASSE MUNDIAL
job.rep_high	MUITO CONCEITUADO
job.rep_good	BEM CONSIDERADO
job.rep_known	CONHECIDO
job.rep_unproven	POR PROVAR
job.rep_unwanted	INDESEJADO
job.division	DIVISAO
job.squad	PLANTEL
job.letter_header	PROPOSTA DE TRABALHO DE %a
job.letter.1	EXMO SENHOR/SENHORA
job.letter.2	NOS AQUI NO %a QUEREMOS OFERECER-LHE
job.letter.3	O CARGO DE TREINADOR PARA A PROXIMA EPOCA
job.letter.4	PODEMOS OFERECER UM SALARIO MUITO COMPETITIVO E
job.letter.5	ESPERAMOS DISPONIBILIZAR VERBAS
job.letter.6	NA ORDEM DE %b PARA REFORCAR A EQUIPA
job.letter.7	AGUARDAMOS A SUA RESPOSTA
job.accepted_note	ACEITOU - A MUDANCA E NA PROXIMA EPOCA
job.waiting_prefix	VAO ESPERAR MAIS
job.waiting_suffix	JOGOS
job.accepted.1	NOS AQUI NO %a ESTAMOS FELIZES POR
job.accepted.2	TER ACEITE O CARGO DE TREINADOR NO NOSSO CLUBE
job.accepted.3	A PARTIR DO INICIO DA PROXIMA EPOCA
job.farewell.1	OBRIGADO POR TUDO %a, DESEJAMOS-LHE
job.farewell.2	AS MAIORES FELICIDADES NO NOVO CARGO
job.welcome.1	BEM-VINDO %a, ESPERAMOS MUITO
job.welcome.2	SUCESSO DA NOSSA NOVA PARCERIA
job.withdrawn.1	PROPOSTA DE TRABALHO DE %a RETIRADA
# board expectation line (feature #2 follow-up)
chair.expected	A DIRECAO ESPERAVA
chair.of	DE
chair.finished	TERMINOU
chair.expects	A DIRECAO ESPERA
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	SELECAO
natjob.entry_offer	PROPOSTA DE TRABALHO INTERNACIONAL
natjob.title	SELECAO
natjob.title_offer	PROPOSTA DE TRABALHO INTERNACIONAL
natjob.player	JOGADOR
natjob.add	ADICIONAR JOGADOR
natjob.remove	RETIRAR JOGADOR
natjob.auto	ESCOLHA AUTOMATICA
natjob.resign	DEMITIR-SE
natjob.full	PLANTEL COMPLETO
natjob.appointed	SELECIONADOR DE
natjob.none	SEM CARGO INTERNACIONAL
natjob.no_players	SEM JOGADORES DISPONIVEIS
natjob.squad_word	PLANTEL
natjob.rating	AVALIACAO
natjob.home	NO PAIS
natjob.abroad	ESTRANGEIRO
natjob.col_name	NOME
natjob.col_pos	POS
natjob.col_ovr	GER
natjob.col_where	ONDE
