key	id
offers.sold_prefix	DIJUAL
offers.sold_for	SEHARGA
offers.squad_too_small	SKUAD TERLALU KECIL
offers.accept_failed	GAGAL MENERIMA
offers.improved_prefix	NAIK KE
offers.withdrawn	TAWARAN DITARIK
offers.refused	MEREKA TOLAK BAYAR LEBIH
offers.rejected	TAWARAN DITOLAK
# MATCH HUD / OVERLAYS
hud.half_time	TURUN MINUM
hud.full_time	AKHIR LAGA
hud.penalties	ADU PENALTI
hud.paused	JEDA
hud.pause_resume_hint	spasi  lanjut
hud.pause_quit_hint	ESC    keluar ke menu
hud.goal	GOL!
hud.throw_in	LEMPARAN
hud.corner	SEPAK POJOK
hud.goal_kick	TENDANGAN GAWANG
hud.press_space	tekan spasi
hud.team_home_fallback	KANDANG
hud.team_away_fallback	TANDANG
goal.type_penalty	(PEN)
goal.type_own_goal	(GB)
# S34 additions
bench.coach	PELATIH
bench.coming_on	MASUK: {0}
bench.fire_swap	TEMBAK PILIH+PILIH = TUKAR
bench.formation	FORMASI
bench.formation_colon	FORMASI:
bench.help_leave	KIRI/KANAN TINGGAL BANGKU
bench.help_select	ATAS/BWH PILIH  TEMBAK OK
bench.hold_mark	TAHAN TEMBAK = TANDAI PEMAIN
bench.player_off	PEMAIN KELUAR:
bench.sub_in_progress	PERGANTIAN BERLANGSUNG...
bench.swap_formation	TUKAR / FORMASI:
bench.tag_inj	 CDR
bench.tag_off	 [KLR]
bench.tag_sub	 [GNT]
bench.title	BANGKU - {0}
bench.user	PENGGUNA {0}
career.dash_div_season	DIV {0}  MUSIM {1}
career.price_any	SEMUA
career.rec_pwdl	P {0}   W {1}   D {2}   L {3}   GF {4}   GA {5}
career.rec_season_div	MUSIM {0}  {1}  DIV {2}
career.release_confirm	LEPAS {0} GRATIS?
career.skill_letters	PVHTCSF
career.title_mr	BPK
career.title_ms	IBU
comp.competition_complete	KOMPETISI SELESAI
comp.cup	PIALA
comp.entrants_random	ACAK
comp.entrants_same_div	DIV SAMA
comp.entrants_same_nation	NEGARA SAMA
comp.league_round	LIGA - BABAK {0}/{1}
comp.name_career	KARIR
comp.name_cup	PIALA
comp.name_league	LIGA
comp.name_tournament	TURNAMEN
comp.no_fixtures	TAK ADA JADWAL
comp.no_player_team	TAK ADA TIM PEMAIN
comp.ord_nd	.
comp.ord_rd	.
comp.ord_st	.
comp.ord_th	.
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	PIALA JUARA PIALA
comp.preset_european_championship	KEJUARAAN EROPA
comp.preset_european_cup	PIALA EROPA
comp.preset_uefa_cup	PIALA UEFA
comp.preset_world_cup	PIALA DUNIA
comp.slot_finished	SELESAI
comp.slot_no_team	TAK ADA TIM
comp.slot_round	BABAK {0}/{1}
comp.slot_winner	PEMENANG {0}
comp.stage_final	FINAL
comp.stage_group	GRUP
comp.stage_league	LIGA
comp.stage_quarter	PEREMPAT FINAL
comp.stage_r16	16 BESAR
comp.stage_r32	32 BESAR
comp.stage_round_of	BABAK
comp.stage_semi	SEMIFINAL
comp.you_are_pos	ANDA {0}
comp.you_champion	ANDA JUARA
comp.you_eliminated	ANDA TERSINGKIR
comp.you_in	ANDA DI {0}
comp.you_in_the	ANDA DI {0}
comp.you_through	ANDA LOLOS KE BABAK BERIKUT
comp.you_unplaced	ANDA TAK BERPERINGKAT
firstrun.body	Data game SWOS tidak ditemukan.\n\nOpenSWOS butuh Sensible World of Soccer 96/97 (edisi Amiga).\nDua pilihan - lalu mulai ulang game:\n\n  (a) Taruh image floppy Amiga (*.adf) ke:\n        {0}\n      OpenSWOS mengekstrak yang diperlukan saat mulai berikutnya.\n\n  (b) Sudah punya file game lepas (misal instalasi WHDLoad)?\n      Salin ke:\n        {1}\n\nOpsional: taruh folder DATA PC (DOS) ke 'original_swos_pc/' untuk\ndaftar tim sedikit lebih besar - tidak wajib, dan tak mengubah grafik.\n\nEdisi SWOS lama (94/95 dll.) TIDAK kompatibel.
menu.team_coach_div	PELATIH {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRIKA
nation.continent_asia	ASIA
nation.continent_europe	EROPA
nation.continent_north_america	AMERIKA UTARA
nation.continent_oceania	OSEANIA
nation.continent_south_america	AMERIKA SELATAN
nav.hint_menu	ATAS/BAWAH PILIH   TEMBAK OK   ESC KEMBALI
nav.hint_picker	ATAS/BAWAH GULIR   TEMBAK PILIH   ESC BATAL
nav.hint_picker_cols	ATAS/BAWAH GULIR   KIRI/KANAN KOLOM   TEMBAK PILIH   ESC BATAL
nav.hint_stepper	ATAS/BAWAH PILIH   KIRI/KANAN UBAH   TEMBAK OK   ESC KEMBALI
nav.hint_table	ATAS/BAWAH BARIS   TEMBAK OK   ESC KEMBALI
opt.commentator	KOMENTATOR
opt.commentator_hint	KOMENTAR SUARA (SUARA PC SAJA)
opt.display_fullfill	ISI PENUH
opt.display_fullinteger	INTEGER PENUH
opt.display_unknown	?
opt.display_windowed	JENDELA
opt.len_min_whole	{0} MNT NYATA  (SELURUH LAGA)
opt.len_sec_whole	{0}D NYATA  (SELURUH LAGA)
opt.smoothing_sharp	TAJAM
overlay.corner	SEPAK POJOK
overlay.fulltime	WAKTU PENUH
overlay.fulltime_body	WAKTU PENUH\n\n{0}  {1} - {2}  {3}\n\ntekan spasi
overlay.goal	GOL!
overlay.goalkick	SEPAK GAWANG
overlay.halftime	TURUN MINUM
overlay.paused	JEDA\n\nspace  lanjut\nESC    keluar ke menu
overlay.penalties	ADU PENALTI
overlay.throwin	LEMPARAN
pos.a	A
pos.d	D
pos.gk	GK
pos.lb	LB
pos.lw	LW
pos.m	M
pos.none	--
pos.rb	RB
pos.rw	RW
pos.unknown	?
result.away	TANDANG
result.home	KANDANG
result.og	(GB)
result.pen	(PEN)
scout.notice_maxed	SKAUT MAKS
scout.notice_no_money	UANG TAK CUKUP
scout.notice_player_unavailable	PEMAIN TAK TERSEDIA
scout.notice_unavailable	SKAUT TAK TERSEDIA
staff.notice_coach_unavailable	PELATIH TAK TERSEDIA
staff.notice_focus_full	FOKUS PENUH
staff.notice_full	STAF PENUH
staff.notice_no_money	UANG TAK CUKUP
staff.notice_player_unavailable	PEMAIN TAK TERSEDIA
staff.notice_unavailable	STAF TAK TERSEDIA
staff.spec_attack	SERANGAN
staff.spec_defence	PERTAHANAN
staff.spec_general	UMUM
staff.spec_youth	MUDA
# FINANCES (career depth plan feature 1)
dash.finances	KEUANGAN
fin.title	KEUANGAN
fin.show_history	MUSIM DEMI MUSIM
fin.show_sheet	MUSIM INI
fin.no_season	BELUM ADA MUSIM SELESAI
fin.drawn_up	LAPORAN DIBUAT DI AKHIR MUSIM
fin.col_season	MUSIM
fin.col_league	LIGA
fin.col_cup	PIALA
fin.col_income	PENDAPATAN
fin.col_wages	GAJI
fin.col_balance	SALDO
fin.season	MUSIM
fin.league	LIGA
fin.cup	PIALA
fin.home_games	LAGA KANDANG
fin.crowd	PENONTON
fin.row.opening	SALDO AWAL MUSIM:
fin.row.gate	HASIL TIKET:
fin.row.bonuses	BONUS + HAK SIAR TV:
fin.row.sponsor	SPONSOR DARI SENSISOFT PLC:
fin.row.invest	INVESTASI TAMBAHAN KETUA:
fin.row.invest_new	INVESTASI KETUA BARU:
fin.row.wages	GAJI PEMAIN:
fin.row.profit	TOTAL LABA:
fin.row.loss	TOTAL RUGI:
fin.row.closing	SALDO BARU:
fin.row.sales	PENJUALAN PEMAIN:
fin.row.purchases	PEMBELIAN PEMAIN:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	PRESIDEN
dash.status_sacked	DIPECAT
chair.title	PRESIDEN
chair.memo	MEMO
chair.none	TIDAK ADA MEMO
chair.memo_header	MEMO DARI PRESIDEN KLUB
chair.memo_sign	PRESIDEN ANDA
chair.earlier	MEMO SEBELUMNYA
opt.board	DIREKSI
opt.board_hint	SEBERAPA CEPAT PRESIDEN MEMECAT ANDA
opt.board_patient	SABAR
opt.board_normal	NORMAL
opt.board_ruthless	KEJAM
chair.verdict0.1	BAGUS %a, ANDA BEKERJA SANGAT BAIK
chair.verdict0.2	MUSIM INI DAN KAMI SEMUA MENGHARGAINYA
chair.verdict1.1	MUSIM YANG BAIK %a, KAMI SEMUA SANGAT
chair.verdict1.2	PUAS, TERUSKAN KERJA BAGUS INI
chair.verdict2.1	MUSIM NAIK TURUN %a, KAMI BERHARAP
chair.verdict2.2	ADA PERBAIKAN DALAM WAKTU DEKAT
chair.verdict3.1	MUSIM YANG KURANG BAIK %a, KAMI BERHARAP
chair.verdict3.2	ANDA MEMPERBAIKI HASIL MUSIM DEPAN
chair.verdict4.1	MUSIM YANG SANGAT MENGECEWAKAN %a, KAMI
chair.verdict4.2	MENUNTUT JAUH LEBIH BAIK MUSIM DEPAN
chair.sacked_league.1	DENGAN BERAT HATI DIREKSI DAN SAYA
chair.sacked_league.2	MEMUTUSKAN MEMBEBASTUGASKAN ANDA
chair.not_renewed.1	DENGAN BERAT HATI KAMI MEMUTUSKAN TIDAK
chair.not_renewed.2	MEMPERPANJANG KONTRAK ANDA - SEMOGA SUKSES
chair.not_renewed.3	DAN KAMI BERHARAP BERTEMU LAGI SEGERA
chair.league_note.1	PERHATIKAN POSISI KLASEMEN KAMI DAN
chair.league_note.2	PASTIKAN MEMBAIK SECEPAT MUNGKIN
chair.league_warn.1	INGAT, JIKA POSISI TIDAK SEGERA MEMBAIK
chair.league_warn.2	KAMI HARUS MENINJAU ULANG POSISI ANDA
chair.league_crisis.1	SETELAH MOSI PERCAYA, ANDA PUNYA MAKSIMAL
chair.league_crisis.2	3 LAGA UNTUK BANGKIT ATAU ANDA DIPECAT
chair.money_note.1	PERHATIKAN SALDO BANK KAMI DAN
chair.money_note.2	PASTIKAN DEFISIT DITUTUP SECEPAT MUNGKIN
chair.money_warn.1	SEKADAR PENGINGAT SOAL DEFISIT
chair.money_warn.2	JIKA TIDAK KAMI TINJAU ULANG POSISI ANDA
chair.money_crisis.1	SETELAH RAPAT KRISIS, KAMI MENUNTUT ANDA
chair.money_crisis.2	MENUTUP DEFISIT SEKARANG ATAU DIPECAT
chair.new_season.1	SEKADAR CATATAN, SEMOGA SUKSES DI
chair.new_season.2	MUSIM BARU
chair.embargo_buy.1	MAAF %a, KLUB TIDAK BERSEDIA
chair.embargo_buy.2	MEMBELI PEMAIN LAGI MUSIM INI
chair.embargo_sell.1	PERHATIKAN %a BAHWA KAMI TIDAK MENGIZINKAN
chair.embargo_sell.2	PENJUALAN PEMAIN LAGI MUSIM INI
chair.sacked_money.1	DENGAN BERAT HATI DIREKSI DAN SAYA
chair.sacked_money.2	MEMUTUSKAN MEMBEBASTUGASKAN ANDA
# JOB OFFERS (career depth plan feature #3)
job.title	TAWARAN PEKERJAAN
job.none	TIDAK ADA TAWARAN
job.offer	TAWARAN
job.accept	TERIMA
job.decline	TOLAK
job.declined	TAWARAN DITOLAK
job.not_available	TAWARAN TIDAK TERSEDIA
job.signed_prefix	SEPAKAT DENGAN
job.new_job	PEKERJAAN BARU
job.reputation	REPUTASI
job.rep_world	KELAS DUNIA
job.rep_high	SANGAT DIHARGAI
job.rep_good	DIHORMATI
job.rep_known	DIKENAL
job.rep_unproven	BELUM TERUJI
job.rep_unwanted	TIDAK DIINGINKAN
job.division	DIVISI
job.squad	SKUAD
job.letter_header	TAWARAN KERJA DARI %a
job.letter.1	YANG TERHORMAT
job.letter.2	KAMI DI %a INGIN MENAWARKAN ANDA
job.letter.3	POSISI PELATIH UNTUK MUSIM DEPAN
job.letter.4	KAMI MENAWARKAN GAJI YANG SANGAT BAIK DAN
job.letter.5	KAMI BERHARAP DAPAT MENYEDIAKAN DANA
job.letter.6	SEKITAR %b UNTUK MEMPERKUAT TIM
job.letter.7	KAMI MENANTIKAN JAWABAN ANDA
job.accepted_note	ANDA MENERIMA - PINDAH PADA MUSIM DEPAN
job.waiting_prefix	MEREKA MENUNGGU
job.waiting_suffix	PERTANDINGAN LAGI
job.accepted.1	KAMI DI %a SENANG BAHWA ANDA
job.accepted.2	MENERIMA POSISI PELATIH DI KLUB KAMI
job.accepted.3	MULAI AWAL MUSIM DEPAN
job.farewell.1	TERIMA KASIH ATAS SEGALANYA %a, KAMI
job.farewell.2	MENDOAKAN SUKSES DI TEMPAT BARU
job.welcome.1	SELAMAT DATANG %a, KAMI MENANTIKAN
job.welcome.2	BANYAK SUKSES DARI KERJA SAMA BARU INI
job.withdrawn.1	TAWARAN KERJA DARI %a DITARIK
# board expectation line (feature #2 follow-up)
chair.expected	DEWAN MENGHARAPKAN
chair.of	DARI
chair.finished	SELESAI
chair.expects	DEWAN MENGHARAPKAN
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	TIM NASIONAL
natjob.entry_offer	TAWARAN PEKERJAAN INTERNASIONAL
natjob.title	TIM NASIONAL
natjob.title_offer	TAWARAN PEKERJAAN INTERNASIONAL
natjob.player	PEMAIN
natjob.add	TAMBAH PEMAIN
natjob.remove	HAPUS PEMAIN
natjob.auto	PILIH OTOMATIS
natjob.resign	MUNDUR
natjob.full	SKUAD PENUH
natjob.appointed	PELATIH
natjob.none	TIDAK ADA JABATAN INTERNASIONAL
natjob.no_players	TIDAK ADA PEMAIN
natjob.squad_word	SKUAD
natjob.rating	NILAI
natjob.home	DALAM NEGERI
natjob.abroad	LUAR NEGERI
natjob.col_name	NAMA
natjob.col_pos	POS
natjob.col_ovr	NIL
natjob.col_where	DIMANA
natjob.col_club	KLUB
natjob.letter_header	TAWARAN PEKERJAAN INTERNASIONAL DARI %a
natjob.offer.1	PARA ANGGOTA KOMITE SEPAK BOLA
natjob.offer.2	%a INGIN MENAWARKAN ANDA POSISI
natjob.offer.3	PELATIH TIM NASIONAL
natjob.offer.4	KAMI MENJANJIKAN GAJI YANG SANGAT BAIK DAN
natjob.offer.5	KONTRAK YANG DITINJAU SETIAP TAHUN
natjob.offer.6	KAMI MENANTIKAN JAWABAN ANDA
natjob.accepted.1	PARA ANGGOTA KOMITE SEPAK BOLA
natjob.accepted.2	%a SENANG BAHWA ANDA TELAH
natjob.accepted.3	MENERIMA POSISI PELATIH TIM NASIONAL
natjob.ended.1	PARA ANGGOTA KOMITE SEPAK BOLA
natjob.ended.2	%a MEMUTUSKAN TIDAK MEMPERPANJANG
natjob.ended.3	KONTRAK TAHUNAN ANDA
