key	fr
offers.accept_failed	ACCEPT ECHOUEE
offers.improved_prefix	AMELIOREE A
offers.withdrawn	OFFRE RETIREE
offers.refused	ILS REFUSENT DE PAYER PLUS
offers.rejected	OFFRE REFUSEE
# MATCH HUD / OVERLAYS
hud.half_time	MI-TEMPS
hud.full_time	FIN DU MATCH
hud.penalties	TIRS AU BUT
hud.paused	PAUSE
hud.pause_resume_hint	espace  reprendre
hud.pause_quit_hint	echap    quitter au menu
hud.goal	BUT!
hud.throw_in	TOUCHE
hud.corner	CORNER
hud.goal_kick	SIX METRES
hud.press_space	espace
hud.team_home_fallback	DOMICILE
hud.team_away_fallback	EXTERIEUR
goal.type_penalty	(PEN)
goal.type_own_goal	(CSC)
# S34 additions
bench.coach	COACH
bench.coming_on	ENTRE: {0}
bench.fire_swap	TIR SEL+SEL = ECHANGE
bench.formation	FORMATION
bench.formation_colon	FORMATION:
bench.help_leave	GAUCHE/DROITE QUITTER BANC
bench.help_select	HAUT/BAS SELEC  TIR OK
bench.hold_mark	MAINTENIR TIR = MARQUER JOUEUR
bench.player_off	SORT:
bench.sub_in_progress	REMPLACEMENT EN COURS...
bench.swap_formation	ECHANGE / FORMATION:
bench.tag_inj	 BLE
bench.tag_off	 [SOR]
bench.tag_sub	 [REM]
bench.title	BANC - {0}
bench.user	JOUEUR {0}
career.dash_div_season	DIV {0}  SAISON {1}
career.price_any	TOUS
career.rec_pwdl	J {0}   G {1}   N {2}   P {3}   BP {4}   BC {5}
career.rec_season_div	SAISON {0}  {1}  DIV {2}
career.release_confirm	LIBERER {0} GRATUITEMENT?
career.skill_letters	PVHTCSF
career.title_mr	M
career.title_ms	MME
comp.competition_complete	COMPETITION TERMINEE
comp.cup	COUPE
comp.entrants_random	ALEATOIRE
comp.entrants_same_div	MEME DIVISION
comp.entrants_same_nation	MEME NATION
comp.league_round	LIGUE - JOURNEE {0}/{1}
comp.name_career	CARRIERE
comp.name_cup	COUPE
comp.name_league	LIGUE
comp.name_tournament	TOURNOI
comp.no_fixtures	AUCUN MATCH
comp.no_player_team	PAS D'EQUIPE JOUEUR
comp.ord_nd	E
comp.ord_rd	E
comp.ord_st	ER
comp.ord_th	E
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	COUPE DES COUPES
comp.preset_european_championship	CHAMPIONNAT D'EUROPE
comp.preset_european_cup	COUPE D'EUROPE
comp.preset_uefa_cup	COUPE UEFA
comp.preset_world_cup	COUPE DU MONDE
comp.slot_finished	TERMINE
comp.slot_no_team	AUCUNE EQUIPE
comp.slot_round	TOUR {0}/{1}
comp.slot_winner	VAINQUEUR {0}
comp.stage_final	FINALE
comp.stage_group	GROUPE
comp.stage_league	LIGUE
comp.stage_quarter	QUART DE FINALE
comp.stage_r16	HUITIEMES
comp.stage_r32	SEIZIEMES
comp.stage_round_of	TOUR DE
comp.stage_semi	DEMI-FINALE
comp.you_are_pos	VOUS ETES {0}
comp.you_champion	VOUS ETES CHAMPION
comp.you_eliminated	VOUS ETES ELIMINE
comp.you_in	VOUS ETES DANS {0}
comp.you_in_the	VOUS ETES EN {0}
comp.you_through	VOUS PASSEZ AU TOUR SUIVANT
comp.you_unplaced	VOUS N'ETES PAS CLASSE
firstrun.body	AUCUNE DONNEE DE JEU SWOS TROUVEE.\n\nOPENSWOS A BESOIN DE SENSIBLE WORLD OF SOCCER 96/97 (EDITION AMIGA).\nDEUX OPTIONS - PUIS REDEMARREZ LE JEU:\n\n  (A) DEPOSEZ VOS IMAGES DE DISQUETTE AMIGA (*.ADF) DANS:\n        {0}\n      OPENSWOS EXTRAIT CE QU'IL FAUT AU PROCHAIN DEMARRAGE.\n\n  (B) VOUS AVEZ DEJA LES FICHIERS DE JEU (P.EX. INSTALLATION WHDLOAD)?\n      COPIEZ-LES DANS:\n        {1}\n\nOPTIONNEL: DEPOSEZ LE DOSSIER DATA DU PC (DOS) DANS 'ORIGINAL_SWOS_PC/' POUR\nUNE LISTE D'EQUIPES UN PEU PLUS GRANDE - NON REQUIS, ET NE CHANGE PAS LES GRAPHISMES.\n\nLES EDITIONS SWOS ANTERIEURES (94/95 ETC.) NE SONT PAS COMPATIBLES.
menu.team_coach_div	COACH {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRIQUE
nation.continent_asia	ASIE
nation.continent_europe	EUROPE
nation.continent_north_america	AMERIQUE DU NORD
nation.continent_oceania	OCEANIE
nation.continent_south_america	AMERIQUE DU SUD
nav.hint_menu	HAUT/BAS SELEC   TIR OK   ESC RETOUR
nav.hint_picker	HAUT/BAS DEFILER   TIR SELEC   ESC ANNULER
nav.hint_picker_cols	HAUT/BAS DEFILER   GAUCHE/DROITE COLONNE   TIR SELEC   ESC ANNULER
nav.hint_stepper	HAUT/BAS SELEC   GAUCHE/DROITE CHANGER   TIR OK   ESC RETOUR
nav.hint_table	HAUT/BAS LIGNE   TIR OK   ESC RETOUR
opt.commentator	COMMENTATEUR
opt.commentator_hint	COMMENTAIRE PARLE (SON PC UNIQUEMENT)
opt.display_fullfill	REMPLIR
opt.display_fullinteger	ENTIER
opt.display_unknown	?
opt.display_windowed	FENETRE
opt.len_min_whole	{0} MIN REEL  (MATCH ENTIER)
opt.len_sec_whole	{0}S REEL  (MATCH ENTIER)
opt.smoothing_sharp	NET
overlay.corner	CORNER
overlay.fulltime	FIN DU MATCH
overlay.fulltime_body	FIN DU MATCH\n\n{0}  {1} - {2}  {3}\n\nAPPUYEZ SUR ESPACE
overlay.goal	BUT!
overlay.goalkick	SIX METRES
overlay.halftime	MI-TEMPS
overlay.paused	PAUSE\n\nSPACE  REPRENDRE\nESC    QUITTER AU MENU
overlay.penalties	TIRS AU BUT
overlay.throwin	TOUCHE
pos.a	A
pos.d	D
pos.gk	GK
pos.lb	LB
pos.lw	LW
pos.m	M
pos.none	--
pos.rb	RB
pos.rw	RW
pos.unknown	?
result.away	EXTERIEUR
result.home	DOMICILE
result.og	(CSC)
result.pen	(PEN)
scout.notice_maxed	RECRUTEMENT AU MAX
scout.notice_no_money	PAS ASSEZ D'ARGENT
scout.notice_player_unavailable	JOUEUR INDISPONIBLE
scout.notice_unavailable	RECRUTEMENT INDISPONIBLE
staff.notice_coach_unavailable	COACH INDISPONIBLE
staff.notice_focus_full	FOCUS COMPLET
staff.notice_full	STAFF COMPLET
staff.notice_no_money	PAS ASSEZ D'ARGENT
staff.notice_player_unavailable	JOUEUR INDISPONIBLE
staff.notice_unavailable	STAFF INDISPONIBLE
staff.spec_attack	ATTAQUE
staff.spec_defence	DEFENSE
staff.spec_general	GENERAL
staff.spec_youth	JEUNES
# FINANCES (career depth plan feature 1)
dash.finances	FINANCES
fin.title	FINANCES
fin.show_history	SAISON PAR SAISON
fin.show_sheet	CETTE SAISON
fin.no_season	AUCUNE SAISON TERMINEE
fin.drawn_up	LES COMPTES SONT FAITS EN FIN DE SAISON
fin.col_season	SAISON
fin.col_league	LIGUE
fin.col_cup	COUPE
fin.col_income	RECETTES
fin.col_wages	SALAIRES
fin.col_balance	SOLDE
fin.season	SAISON
fin.league	LIGUE
fin.cup	COUPE
fin.home_games	MATCHS A DOMICILE
fin.crowd	SPECTATEURS
fin.row.opening	SOLDE EN DEBUT DE SAISON:
fin.row.gate	RECETTES BILLETTERIE:
fin.row.bonuses	PRIMES + DROITS TV:
fin.row.sponsor	SPONSORING DE SENSISOFT PLC:
fin.row.invest	INVESTISSEMENT DU PRESIDENT:
fin.row.invest_new	INVESTISSEMENT DU NOUVEAU PRESIDENT:
fin.row.wages	SALAIRES DES JOUEURS:
fin.row.profit	BENEFICE TOTAL:
fin.row.loss	PERTE TOTALE:
fin.row.closing	NOUVEAU SOLDE:
fin.row.sales	VENTES DE JOUEURS:
fin.row.purchases	ACHATS DE JOUEURS:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	PRESIDENT
dash.status_sacked	LIMOGE
chair.title	PRESIDENT
chair.memo	NOTE
chair.none	AUCUNE NOTE
chair.memo_header	NOTE DU PRESIDENT DU CLUB
chair.memo_sign	VOTRE PRESIDENT
chair.earlier	NOTES PRECEDENTES
opt.board	DIRECTION
opt.board_hint	A QUELLE VITESSE LE PRESIDENT VOUS LIMOGE
opt.board_patient	PATIENTE
opt.board_normal	NORMALE
opt.board_ruthless	IMPITOYABLE
chair.verdict0.1	BRAVO %a, VOUS AVEZ FAIT UN EXCELLENT TRAVAIL
chair.verdict0.2	CETTE SAISON ET NOUS L'APPRECIONS TOUS
chair.verdict1.1	UNE BONNE SAISON %a, NOUS SOMMES TOUS TRES
chair.verdict1.2	SATISFAITS, CONTINUEZ AINSI
chair.verdict2.1	UNE SAISON EN DENTS DE SCIE %a, NOUS ESPERONS
chair.verdict2.2	UNE AMELIORATION DANS UN PROCHE AVENIR
chair.verdict3.1	SAISON PEU CONVAINCANTE %a, NOUS ESPERONS
chair.verdict3.2	MIEUX LA SAISON PROCHAINE
chair.verdict4.1	SAISON TRES DECEVANTE %a, NOUS EXIGEONS
chair.verdict4.2	BEAUCOUP MIEUX LA SAISON PROCHAINE
chair.sacked_league.1	C'EST AVEC REGRET QUE LE CONSEIL ET MOI AVONS
chair.sacked_league.2	DECIDE DE VOUS RELEVER DE VOS FONCTIONS
chair.not_renewed.1	C'EST AVEC REGRET QUE NOUS AVONS DECIDE DE NE PAS
chair.not_renewed.2	RENOUVELER VOTRE CONTRAT - BONNE CHANCE
chair.not_renewed.3	ET NOUS ESPERONS VOUS REVOIR BIENTOT
chair.league_note.1	NOTEZ NOTRE CLASSEMENT ACTUEL ET
chair.league_note.2	VEILLEZ A L'AMELIORER AU PLUS VITE
chair.league_warn.1	RAPPELEZ-VOUS, SANS AMELIORATION AU CLASSEMENT
chair.league_warn.2	NOUS DEVRONS RECONSIDERER VOTRE POSTE
chair.league_crisis.1	APRES UN VOTE DE CONFIANCE, VOUS AVEZ AU PLUS
chair.league_crisis.2	3 MATCHS POUR REDRESSER LE CLUB OU VOUS PARTEZ
chair.money_note.1	NOTEZ L'ETAT DE NOTRE COMPTE ET
chair.money_note.2	VEILLEZ A COMBLER LE DECOUVERT AU PLUS VITE
chair.money_warn.1	SIMPLE RAPPEL AU SUJET DU DECOUVERT
chair.money_warn.2	SINON NOUS DEVRONS RECONSIDERER VOTRE POSTE
chair.money_crisis.1	APRES UNE REUNION DE CRISE, NOUS EXIGEONS
chair.money_crisis.2	LE COMBLEMENT IMMEDIAT DU DECOUVERT OU VOUS PARTEZ
chair.new_season.1	UN MOT POUR VOUS SOUHAITER TOUT LE SUCCES
chair.new_season.2	POUR LA NOUVELLE SAISON
chair.embargo_buy.1	DESOLE %a, LE CLUB N'EST PAS DISPOSE A
chair.embargo_buy.2	ACHETER D'AUTRES JOUEURS CETTE SAISON
chair.embargo_sell.1	NOTEZ BIEN %a QUE NOUS N'AUTORISERONS PAS
chair.embargo_sell.2	D'AUTRES VENTES DE JOUEURS CETTE SAISON
chair.sacked_money.1	C'EST AVEC REGRET QUE LE CONSEIL ET MOI AVONS
chair.sacked_money.2	DECIDE DE VOUS RELEVER DE VOS FONCTIONS
# JOB OFFERS (career depth plan feature #3)
job.title	OFFRES D EMPLOI
job.none	AUCUNE OFFRE
job.offer	OFFRE
job.accept	ACCEPTER
job.decline	REFUSER
job.declined	OFFRE REFUSEE
job.not_available	OFFRE INDISPONIBLE
job.signed_prefix	ACCORD AVEC
job.new_job	NOUVEAU POSTE
job.reputation	REPUTATION
job.rep_world	CLASSE MONDIALE
job.rep_high	TRES COTE
job.rep_good	BIEN VU
job.rep_known	CONNU
job.rep_unproven	SANS REFERENCES
job.rep_unwanted	INDESIRABLE
job.division	DIVISION
job.squad	EFFECTIF
job.letter_header	OFFRE D EMPLOI DE %a
job.letter.1	MADAME, MONSIEUR
job.letter.2	NOUS A %a AIMERIONS VOUS PROPOSER LE
job.letter.3	POSTE D ENTRAINEUR POUR LA SAISON PROCHAINE
job.letter.4	NOUS OFFRONS UN SALAIRE TRES COMPETITIF ET
job.letter.5	NOUS ESPERONS DEGAGER DES FONDS
job.letter.6	DE L ORDRE DE %b POUR RENFORCER L EQUIPE
job.letter.7	DANS L ATTENTE DE VOTRE REPONSE
job.accepted_note	VOUS AVEZ ACCEPTE - LE DEPART EST POUR LA SAISON PROCHAINE
job.waiting_prefix	ILS ATTENDRONT ENCORE
job.waiting_suffix	MATCHS
job.accepted.1	NOUS A %a SOMMES RAVIS QUE VOUS
job.accepted.2	AYEZ ACCEPTE LE POSTE D ENTRAINEUR CHEZ NOUS
job.accepted.3	DES LE DEBUT DE LA SAISON PROCHAINE
job.farewell.1	MERCI POUR TOUT %a, NOUS VOUS
job.farewell.2	SOUHAITONS BONNE CHANCE AILLEURS
job.welcome.1	BIENVENUE %a, NOUS ESPERONS BEAUCOUP
job.welcome.2	DE SUCCES DE NOTRE NOUVELLE COLLABORATION
job.withdrawn.1	OFFRE D EMPLOI DE %a RETIREE
# board expectation line (feature #2 follow-up)
chair.expected	LE CONSEIL ATTENDAIT
chair.of	SUR
chair.finished	TERMINE
chair.expects	LE CONSEIL ATTEND
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	EQUIPE NATIONALE
natjob.entry_offer	OFFRE D EMPLOI INTERNATIONALE
natjob.title	EQUIPE NATIONALE
natjob.title_offer	OFFRE D EMPLOI INTERNATIONALE
natjob.player	JOUEUR
natjob.add	AJOUTER JOUEUR
natjob.remove	RETIRER JOUEUR
natjob.auto	SELECTION AUTO
natjob.resign	DEMISSIONNER
natjob.full	GROUPE COMPLET
natjob.appointed	SELECTIONNEUR DE
natjob.none	AUCUN POSTE INTERNATIONAL
natjob.no_players	AUCUN JOUEUR DISPONIBLE
natjob.squad_word	GROUPE
natjob.rating	NIVEAU
natjob.home	PAYS
natjob.abroad	ETRANGER
natjob.col_name	NOM
natjob.col_pos	POS
natjob.col_ovr	GEN
natjob.col_where	OU
natjob.col_club	CLUB
