key	ms
buy.counter_prefix	MEREKA BALAS PADA
buy.rejected	TAWARAN RENDAH - DITOLAK
# INCOMING OFFERS
offers.title	TAWARAN PINDAH
offers.no_offers	TIADA TAWARAN
offers.offer	TAWARAN
offers.accept	TERIMA
offers.demand_more	MINTA LEBIH
offers.reject	TOLAK
offers.header_negotiate_prefix	MASA RUNDING
offers.header_sells	JUAL
offers.not_available	TAWARAN TIADA
offers.sold_prefix	DIJUAL
offers.sold_for	PADA
offers.squad_too_small	SKUAD TERLALU KECIL
offers.accept_failed	GAGAL TERIMA
offers.improved_prefix	DINAIKKAN KE
offers.withdrawn	TAWARAN DITARIK
offers.refused	MEREKA ENGGAN BAYAR LEBIH
offers.rejected	TAWARAN DITOLAK
# MATCH HUD / OVERLAYS
hud.half_time	SEPARUH MASA
hud.full_time	MASA PENUH
hud.penalties	PENALTI
hud.paused	JEDA
hud.pause_resume_hint	space  sambung
hud.pause_quit_hint	ESC    keluar ke menu
hud.goal	GOL!
hud.throw_in	LONTARAN
hud.corner	SEPAK SUDUT
hud.goal_kick	SEPAK GOL
hud.press_space	tekan space
hud.team_home_fallback	TUAN RUMAH
hud.team_away_fallback	PELAWAT
goal.type_penalty	(PEN)
goal.type_own_goal	(GS)
# S34 additions
bench.coach	JURULATIH
bench.coming_on	MASUK: {0}
bench.fire_swap	TEMBAK PILIH+PILIH = TUKAR
bench.formation	FORMASI
bench.formation_colon	FORMASI:
bench.help_leave	KIRI/KANAN TINGGAL BANGKU
bench.help_select	ATAS/BWH PILIH  TEMBAK OK
bench.hold_mark	TAHAN TEMBAK = TANDA PEMAIN
bench.player_off	PEMAIN KELUAR:
bench.sub_in_progress	PERTUKARAN BERJALAN...
bench.swap_formation	TUKAR / FORMASI:
bench.tag_inj	 CDR
bench.tag_off	 [KLR]
bench.tag_sub	 [TKR]
bench.title	BANGKU - {0}
bench.user	PENGGUNA {0}
career.dash_div_season	DIV {0}  MUSIM {1}
career.price_any	SEMUA
career.rec_pwdl	P {0}   W {1}   D {2}   L {3}   GF {4}   GA {5}
career.rec_season_div	MUSIM {0}  {1}  DIV {2}
career.release_confirm	LEPASKAN {0} PERCUMA?
career.skill_letters	PVHTCSF
career.title_mr	EN
career.title_ms	PN
comp.competition_complete	PERTANDINGAN TAMAT
comp.cup	PIALA
comp.entrants_random	RAWAK
comp.entrants_same_div	DIV SAMA
comp.entrants_same_nation	NEGARA SAMA
comp.league_round	LIGA - PUSINGAN {0}/{1}
comp.name_career	KERJAYA
comp.name_cup	PIALA
comp.name_league	LIGA
comp.name_tournament	KEJOHANAN
comp.no_fixtures	TIADA JADUAL
comp.no_player_team	TIADA PASUKAN PEMAIN
comp.ord_nd	.
comp.ord_rd	.
comp.ord_st	.
comp.ord_th	.
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	PIALA JUARA PIALA
comp.preset_european_championship	KEJOHANAN EROPAH
comp.preset_european_cup	PIALA EROPAH
comp.preset_uefa_cup	PIALA UEFA
comp.preset_world_cup	PIALA DUNIA
comp.slot_finished	TAMAT
comp.slot_no_team	TIADA PASUKAN
comp.slot_round	PUSINGAN {0}/{1}
comp.slot_winner	PEMENANG {0}
comp.stage_final	AKHIR
comp.stage_group	KUMPULAN
comp.stage_league	LIGA
comp.stage_quarter	SUKU AKHIR
comp.stage_r16	PUSINGAN 16
comp.stage_r32	PUSINGAN 32
comp.stage_round_of	PUSINGAN
comp.stage_semi	SEPARUH AKHIR
comp.you_are_pos	ANDA {0}
comp.you_champion	ANDA JUARA
comp.you_eliminated	ANDA TERSINGKIR
comp.you_in	ANDA DI {0}
comp.you_in_the	ANDA DI {0}
comp.you_through	ANDA MELEPASI KE PUSINGAN SETERUSNYA
comp.you_unplaced	ANDA TANPA KEDUDUKAN
firstrun.body	Data permainan SWOS tidak dijumpai.\n\nOpenSWOS perlu Sensible World of Soccer 96/97 (edisi Amiga).\nDua pilihan - kemudian mulakan semula permainan:\n\n  (a) Letak imej cakera liut Amiga (*.adf) ke:\n        {0}\n      OpenSWOS mengekstrak apa yang perlu pada mula seterusnya.\n\n  (b) Sudah ada fail permainan longgar (cth. pemasangan WHDLoad)?\n      Salin ke:\n        {1}\n\nPilihan: letak folder DATA PC (DOS) ke 'original_swos_pc/' untuk\nsenarai pasukan lebih besar sedikit - tak wajib, tak ubah grafik.\n\nEdisi SWOS lama (94/95 dsb.) TIDAK serasi.
menu.team_coach_div	JURULATIH {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRIKA
nation.continent_asia	ASIA
nation.continent_europe	EROPAH
nation.continent_north_america	AMERIKA UTARA
nation.continent_oceania	OSEANIA
nation.continent_south_america	AMERIKA SELATAN
nav.hint_menu	ATAS/BAWAH PILIH   TEMBAK OK   ESC KEMBALI
nav.hint_picker	ATAS/BAWAH SKROL   TEMBAK PILIH   ESC BATAL
nav.hint_picker_cols	ATAS/BAWAH SKROL   KIRI/KANAN LAJUR   TEMBAK PILIH   ESC BATAL
nav.hint_stepper	ATAS/BAWAH PILIH   KIRI/KANAN UBAH   TEMBAK OK   ESC KEMBALI
nav.hint_table	ATAS/BAWAH BARIS   TEMBAK OK   ESC KEMBALI
opt.commentator	KOMENTATOR
opt.commentator_hint	KOMENTAR SUARA (BUNYI PC SAHAJA)
opt.display_fullfill	ISI PENUH
opt.display_fullinteger	INTEGER PENUH
opt.display_unknown	?
opt.display_windowed	TETINGKAP
opt.len_min_whole	{0} MIN SEBENAR  (SEPANJANG PERLAWANAN)
opt.len_sec_whole	{0}S SEBENAR  (SEPANJANG PERLAWANAN)
opt.smoothing_sharp	TAJAM
overlay.corner	SEPAK PENJURU
overlay.fulltime	MASA PENUH
overlay.fulltime_body	MASA PENUH\n\n{0}  {1} - {2}  {3}\n\ntekan space
overlay.goal	GOL!
overlay.goalkick	SEPAKAN GAWANG
overlay.halftime	SEPARUH MASA
overlay.paused	JEDA\n\nspace  sambung\nESC    keluar ke menu
overlay.penalties	PENALTI
overlay.throwin	BALING MASUK
pos.a	A
pos.d	D
pos.gk	GK
pos.lb	LB
pos.lw	LW
pos.m	M
pos.none	--
pos.rb	RB
pos.rw	RW
pos.unknown	?
result.away	PELAWAT
result.home	TUAN RUMAH
result.og	(GS)
result.pen	(PEN)
scout.notice_maxed	PENGINTIP MAKS
scout.notice_no_money	DUIT TAK CUKUP
scout.notice_player_unavailable	PEMAIN TIADA
scout.notice_unavailable	PENGINTIP TIADA
staff.notice_coach_unavailable	JURULATIH TIADA
staff.notice_focus_full	FOKUS PENUH
staff.notice_full	STAF PENUH
staff.notice_no_money	DUIT TAK CUKUP
staff.notice_player_unavailable	PEMAIN TIADA
staff.notice_unavailable	STAF TIADA
staff.spec_attack	SERANGAN
staff.spec_defence	PERTAHANAN
staff.spec_general	UMUM
staff.spec_youth	REMAJA
# FINANCES (career depth plan feature 1)
dash.finances	KEWANGAN
fin.title	KEWANGAN
fin.show_history	MUSIM DEMI MUSIM
fin.show_sheet	MUSIM INI
fin.no_season	TIADA MUSIM SELESAI
fin.drawn_up	AKAUN DISEDIAKAN DI AKHIR MUSIM
fin.col_season	MUSIM
fin.col_league	LIGA
fin.col_cup	PIALA
fin.col_income	PENDAPATAN
fin.col_wages	GAJI
fin.col_balance	BAKI
fin.season	MUSIM
fin.league	LIGA
fin.cup	PIALA
fin.home_games	PERLAWANAN KANDANG
fin.crowd	PENONTON
fin.row.opening	BAKI AWAL MUSIM:
fin.row.gate	KUTIPAN TIKET:
fin.row.bonuses	BONUS + HAK TV:
fin.row.sponsor	PENAJAAN SENSISOFT PLC:
fin.row.invest	PELABURAN TAMBAHAN PENGERUSI:
fin.row.invest_new	PELABURAN PENGERUSI BARU:
fin.row.wages	GAJI PEMAIN:
fin.row.profit	JUMLAH UNTUNG:
fin.row.loss	JUMLAH RUGI:
fin.row.closing	BAKI BARU:
fin.row.sales	JUALAN PEMAIN:
fin.row.purchases	BELIAN PEMAIN:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	PRESIDEN
dash.status_sacked	DIPECAT
chair.title	PRESIDEN
chair.memo	MEMO
chair.none	TIADA MEMO
chair.memo_header	MEMO DARIPADA PRESIDEN KELAB
chair.memo_sign	PRESIDEN ANDA
chair.earlier	MEMO TERDAHULU
opt.board	LEMBAGA
opt.board_hint	SEBERAPA CEPAT PRESIDEN MEMECAT ANDA
opt.board_patient	SABAR
opt.board_normal	BIASA
opt.board_ruthless	KEJAM
chair.verdict0.1	SYABAS %a, ANDA MELAKUKAN KERJA YANG
chair.verdict0.2	SANGAT BAIK MUSIM INI DAN KAMI HARGAI
chair.verdict1.1	MUSIM YANG BAIK %a, KAMI SEMUA AMAT
chair.verdict1.2	BERPUAS HATI, TERUSKAN
chair.verdict2.1	MUSIM TURUN NAIK %a, KAMI BERHARAP
chair.verdict2.2	ADA PENAMBAHBAIKAN TIDAK LAMA LAGI
chair.verdict3.1	MUSIM KURANG BAIK %a, KAMI BERHARAP
chair.verdict3.2	ANDA PERBAIKI PRESTASI MUSIM DEPAN
chair.verdict4.1	MUSIM AMAT MENGECEWAKAN %a, KAMI MENUNTUT
chair.verdict4.2	JAUH LEBIH BAIK MUSIM DEPAN
chair.sacked_league.1	DENGAN DUKACITA LEMBAGA DAN SAYA
chair.sacked_league.2	TELAH MEMUTUSKAN UNTUK MELEPASKAN ANDA
chair.not_renewed.1	DENGAN DUKACITA KAMI MEMUTUSKAN UNTUK TIDAK
chair.not_renewed.2	MEMBAHARUI KONTRAK ANDA - SEMOGA BERJAYA
chair.not_renewed.3	DAN KAMI BERHARAP BERTEMU LAGI TIDAK LAMA LAGI
chair.league_note.1	AMBIL PERHATIAN KEDUDUKAN LIGA KAMI DAN
chair.league_note.2	PASTIKAN IA DIPERBAIKI SECEPAT MUNGKIN
chair.league_warn.1	INGAT, JIKA KEDUDUKAN TIDAK SEGERA BAIK
chair.league_warn.2	KAMI TERPAKSA MENILAI SEMULA JAWATAN ANDA
chair.league_crisis.1	SELEPAS UNDI PERCAYA, ANDA ADA PALING BANYAK
chair.league_crisis.2	3 PERLAWANAN UNTUK PULIH ATAU ANDA DIPECAT
chair.money_note.1	AMBIL PERHATIAN BAKI BANK KAMI DAN
chair.money_note.2	PASTIKAN DEFISIT DILANGSAIKAN SECEPAT MUNGKIN
chair.money_warn.1	SEKADAR PERINGATAN TENTANG DEFISIT
chair.money_warn.2	JIKA TIDAK KAMI NILAI SEMULA JAWATAN ANDA
chair.money_crisis.1	SELEPAS MESYUARAT KRISIS, KAMI MENUNTUT ANDA
chair.money_crisis.2	LANGSAIKAN DEFISIT SEGERA ATAU DIPECAT
chair.new_season.1	SEKADAR NOTA, SEMOGA BERJAYA DALAM
chair.new_season.2	MUSIM BARU
chair.embargo_buy.1	MAAF %a, KELAB TIDAK BERSEDIA
chair.embargo_buy.2	MEMBELI PEMAIN LAGI MUSIM INI
chair.embargo_sell.1	AMBIL PERHATIAN %a BAHAWA KAMI TIDAK BENARKAN
chair.embargo_sell.2	JUALAN PEMAIN LAGI MUSIM INI
chair.sacked_money.1	DENGAN DUKACITA LEMBAGA DAN SAYA
chair.sacked_money.2	TELAH MEMUTUSKAN UNTUK MELEPASKAN ANDA
# JOB OFFERS (career depth plan feature #3)
job.title	TAWARAN KERJA
job.none	TIADA TAWARAN
job.offer	TAWARAN
job.accept	TERIMA
job.decline	TOLAK
job.declined	TAWARAN DITOLAK
job.not_available	TAWARAN TIADA
job.signed_prefix	BERSETUJU DENGAN
job.new_job	KERJA BARU
job.reputation	REPUTASI
job.rep_world	KELAS DUNIA
job.rep_high	AMAT DIHARGAI
job.rep_good	DIHORMATI
job.rep_known	DIKENALI
job.rep_unproven	BELUM TERBUKTI
job.rep_unwanted	TIDAK DIPERLUKAN
job.division	DIVISYEN
job.squad	SKUAD
job.letter_header	TAWARAN KERJA DARI %a
job.letter.1	TUAN/PUAN YANG DIHORMATI
job.letter.2	KAMI DI %a INGIN MENAWARKAN ANDA
job.letter.3	JAWATAN JURULATIH UNTUK MUSIM HADAPAN
job.letter.4	KAMI MENAWARKAN GAJI YANG SANGAT BAIK DAN
job.letter.5	KAMI BERHARAP DAPAT MENYEDIAKAN DANA
job.letter.6	SEKITAR %b UNTUK MEMPERKUKUH PASUKAN
job.letter.7	KAMI MENANTIKAN JAWAPAN ANDA
job.accepted_note	ANDA TELAH SETUJU - PERPINDAHAN MUSIM HADAPAN
job.waiting_prefix	MEREKA AKAN MENUNGGU
job.waiting_suffix	PERLAWANAN LAGI
job.accepted.1	KAMI DI %a AMAT GEMBIRA KERANA ANDA
job.accepted.2	MENERIMA JAWATAN JURULATIH DI KELAB KAMI
job.accepted.3	MULAI AWAL MUSIM HADAPAN
job.farewell.1	TERIMA KASIH ATAS SEGALANYA %a, KAMI
job.farewell.2	MENDOAKAN KEJAYAAN DI TEMPAT BARU
job.welcome.1	SELAMAT DATANG %a, KAMI MENANTIKAN
job.welcome.2	BANYAK KEJAYAAN DARI KERJASAMA BARU INI
job.withdrawn.1	TAWARAN KERJA DARI %a DITARIK BALIK
# board expectation line (feature #2 follow-up)
chair.expected	LEMBAGA MENJANGKA
chair.of	DARI
chair.finished	TAMAT
chair.expects	LEMBAGA MENJANGKA
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	PASUKAN KEBANGSAAN
natjob.entry_offer	TAWARAN KERJA ANTARABANGSA
natjob.title	PASUKAN KEBANGSAAN
natjob.title_offer	TAWARAN KERJA ANTARABANGSA
natjob.player	PEMAIN
natjob.add	TAMBAH PEMAIN
natjob.remove	BUANG PEMAIN
natjob.auto	PILIH AUTO
natjob.resign	LETAK JAWATAN
natjob.full	SKUAD PENUH
natjob.appointed	JURULATIH
natjob.none	TIADA JAWATAN ANTARABANGSA
natjob.no_players	TIADA PEMAIN
natjob.squad_word	SKUAD
natjob.rating	NILAI
natjob.home	DALAM NEGARA
natjob.abroad	LUAR NEGARA
natjob.col_name	NAMA
natjob.col_pos	POS
natjob.col_ovr	NIL
natjob.col_where	DI MANA
natjob.col_club	KELAB
natjob.letter_header	TAWARAN KERJA ANTARABANGSA DARI %a
natjob.offer.1	AHLI JAWATANKUASA BOLA SEPAK
natjob.offer.2	%a INGIN MENAWARKAN ANDA JAWATAN
natjob.offer.3	JURULATIH PASUKAN KEBANGSAAN
