key	sw
versus.play	CHEZA
versus.view_result	ONA MATOKEO
# STADIUM
stadium.title	TIMU
stadium.kick_off	ANZA MECHI
stadium.edit_lineup	HARIRI KIKOSI
# OPTIONS
opt.title	MIPANGILIO
opt.page	UKURASA
opt.language	LUGHA
opt.half_length	UREFU KIPINDI
opt.game_speed	KASI YA MCHEZO
opt.opponent	MPINZANI
opt.pitch	UWANJA
opt.skill_scaling	UPIMAJI UJUZI
opt.skill_scaling_hint	UPIMAJI UJUZI KWA BEI HALISI YA SWOS
opt.all_teams_equal	TIMU ZOTE SAWA
opt.all_teams_equal_hint	SAWAZISHA NGUVU ZA TIMU ZA WACHEZAJI
opt.pre_match_menus	MENYU KABLA YA MECHI
opt.player_fatigue	UCHOVU WA MCHEZAJI
opt.energy_bar	UPAU WA NGUVU
opt.music	MUZIKI
opt.music_hint	MUZIKI WA AMIGA / PC / MAALUM
opt.sound	SAUTI
opt.sound_hint	SAUTI ZA MECHI ZA PC AU AMIGA
opt.display	ONYESHO
opt.display_hint	F11 HUBADILI  ALT+ENTER SKRINI NZIMA
# OPTION VALUES
val.pitch_none	(HAKUNA)
val.pitch_random	NASIBU
val.opponent_ai	AI
val.opponent_player2	MCHEZAJI 2  (WASD)
val.opponent_demo	DEMO  (AI V AI)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	MAALUM
val.music_off	ZIMA
val.length_whole_match_seconds	%dS HALISI  (MECHI NZIMA)
val.length_whole_match_minutes	%d DAK HALISI  (MECHI NZIMA)
val.display_windowed	DIRISHANI
val.display_full_fill	JAZA NZIMA
val.display_full_integer	NZIMA KAMILI
# LOCAL MULTIPLAYER
mp.title	WACHEZAJI WA HAPO
mp.controls_hint	MCHEZAJI 1: MISHALE+SPACE   MCHEZAJI 2: WASD+SHIFT
mp.start	ANZA MECHI YA WACHEZAJI 2
# PICKERS
pick.continent	BARA
pick.country	NCHI
pick.your_team	TIMU YAKO
pick.all_countries	NCHI ZOTE
pick.all	ZOTE
pick.select_country	CHAGUA NCHI
pick.select_continent	CHAGUA BARA
pick.select_your_team	CHAGUA TIMU YAKO
pick.home_team	TIMU YA NYUMBANI
pick.away_team	TIMU YA UGENINI
pick.nothing_to_choose	HAKUNA CHA KUCHAGUA
pick.item	KIPENGELE
pick.more_down	ZAIDI v
# DRAW CEREMONY
draw.title_suffix	KURA
# PLAY AGAIN
playagain.title	MWISHO WA MECHI
playagain.play_again	CHEZA TENA
playagain.exit	TOKA
# COMPETITIONS HUB
comp.title	MASHINDANO
comp.new_league	LIGI MPYA
comp.new_cup	KOMBE JIPYA
comp.new_tournament	MICHUANO MIPYA
comp.preset_competition	MASHINDANO TAYARI
comp.new_career	KAZI MPYA
comp.load_game	PAKIA MCHEZO
# LEAGUE / CUP / TOURNAMENT SETUP
setup.league_title	LIGI MPYA
setup.cup_title	KOMBE JIPYA
setup.tournament_title	MICHUANO MIPYA
setup.size	IDADI
setup.teams_suffix	TIMU
setup.entrants	WASHIRIKI
setup.entrants_same_division	DIVISHENI MOJA
setup.entrants_same_nation	TAIFA MOJA
setup.entrants_random	NASIBU
setup.rounds	RAUNDI
setup.rounds_single	MOJA
setup.rounds_double	MARA MBILI
setup.groups	MAKUNDI
setup.groups_of_4_suffix	MAKUNDI YA 4
setup.create_league	TENGENEZA LIGI
setup.create_cup	TENGENEZA KOMBE
setup.create_tournament	TENGENEZA MICHUANO
# CAREER SETUP
career.title	KAZI MPYA
career.blurb_seasons	LIGI NA KOMBE LA NDANI KILA MSIMU
career.blurb_promotion	SHINDA LIGI UPANDE, MALIZA MWISHO USHUKE
career.start	ANZA KAZI
# MANAGER NAME ENTRY
mgr.title	JINA LA MENEJA
mgr.hint	ANDIKA JINA   KUSHOTO/KULIA CHEO   ENTER SAWA   ESC GHAIRI
mgr.title_row	CHEO
mgr.title_mr	BW
mgr.title_ms	BI
mgr.default_name	MCHEZAJI
# COMPETITION DASHBOARD
dash.play_next_match	CHEZA MECHI IJAYO
dash.continue	ENDELEA
dash.next_season	MSIMU UJAO
dash.table	JEDWALI
dash.fixtures	RATIBA
dash.squad	KIKOSI
dash.lineup	KIKOSI ANZA
dash.transfers	USAJILI
dash.staff	WAFANYAKAZI
dash.scouting	UPELELEZI
dash.record	REKODI
dash.save_as	HIFADHI KAMA
dash.retire	STAAFU
dash.abandon	ACHANA
dash.management_record	REKODI YA UONGOZI
dash.status_retired	AMESTAAFU
dash.status_champions	MABINGWA:
dash.status_eliminated	AMETOLEWA
dash.offers_prefix	MAOFA
dash.offers_unseen_mark	!
# NEXT MATCH / VIEW RESULT
next.title	MECHI IJAYO
result.title	MWISHO WA MECHI
result.label	MATOKEO
# MANAGEMENT RECORD
mrec.title	REKODI YA UONGOZI
mrec.title_of_prefix	REKODI YA UONGOZI YA
mrec.career_over	KAZI IMEISHA
mrec.season	MSIMU
mrec.div	DIV
mrec.trophies	VIKOMBE
mrec.none_yet	BADO HAKUNA
mrec.history	HISTORIA
mrec.first_season	MSIMU WA KWANZA UNAENDELEA
# RETIRE CONFIRM
retire.title	STAAFU
retire.prompt	STAAFU KUTOKA UONGOZINI?
retire.confirm	STAAFU
# PRESET COMPETITIONS
preset.title	MASHINDANO TAYARI
preset.blurb	MASHINDANO HALISI YENYE TAARIFA HALISI
preset.european_cup	KOMBE LA ULAYA
preset.uefa_cup	KOMBE LA UEFA
preset.cup_winners_cup	KOMBE LA WASHINDI WA KOMBE
preset.world_cup	KOMBE LA DUNIA
preset.european_championship	UBINGWA WA ULAYA
preset.copa_america	COPA AMERICA
preset.team_knockout_suffix	TIMU MTOANO
preset.groups_then_knockout_suffix	MAKUNDI YA 4 KISHA MTOANO
preset.create	TENGENEZA
# SAVE AS / LOAD GAME
save.title	HIFADHI KAMA
save.hint	ANDIKA JINA LA NAFASI   ENTER SAWA   ESC GHAIRI
save.saved_as_prefix	IMEHIFADHIWA KAMA
load.title	PAKIA MCHEZO
load.delete_mode	HALI YA KUFUTA
load.no_saved_games	HAKUNA MICHEZO ILIYOHIFADHIWA
# STANDINGS / FIXTURES
table.title	JEDWALI
table.group	KUNDI
fixtures.title	RATIBA
# TEAM SETUP
teamcfg.title	MPANGILIO TIMU
teamcfg.team	TIMU
teamcfg.team_home_prefix	NYUMBANI
teamcfg.team_away_prefix	UGENINI
teamcfg.switch_home_away	BADILI NYUMBANI / UGENINI
teamcfg.coach	KOCHI
# COMPETITION ENGINE
stage.league	LIGI
stage.group_prefix	KUNDI
stage.final	FAINALI
stage.semi_final	NUSU FAINALI
stage.quarter_final	ROBO FAINALI
stage.round_of_16	RAUNDI YA 16
stage.round_of_32	RAUNDI YA 32
stage.round_of_prefix	RAUNDI YA
stage.cup_prefix	KOMBE
round.league_round	LIGI - RAUNDI
round.competition_complete	MASHINDANO YAMEKAMILIKA
round.no_fixtures	HAKUNA RATIBA
status.no_player_team	HAKUNA TIMU YA MCHEZAJI
status.you_are_champion	WEWE NI BINGWA
status.you_are_prefix	WEWE NI
status.you_are_unplaced	HUJAPANGWA
status.you_were_eliminated	UMETOLEWA
status.you_are_through	UMEPITA RAUNDI IJAYO
status.you_are_in_prefix	UPO KATIKA
status.you_are_in_the_prefix	UPO KATIKA
ord.st	.
ord.nd	.
ord.rd	.
ord.th	.
season.cup_winner	MSHINDI
season.cup_runner_up	MSHINDI WA PILI
season.cup_out_in_prefix	TOKA
season.cup_out	TOKA
season.trophy_league	MSIMU %d MABINGWA WA LIGI
season.trophy_cup	MSIMU %d WASHINDI WA KOMBE
season.history_line	S%d: LIGI %s, KOMBE %s
season.history_retired	S%d: AMESTAAFU
fixture.penalties_mark	P
# CAREER SQUAD
squad.title_suffix	KIKOSI
squad.default_club	KLABU
squad.player_action	HATUA YA MCHEZAJI
squad.no_player_selected	HAKUNA MCHEZAJI ALIYECHAGULIWA
squad.fit_injured	JRH
# PLAYER ACTION
paction.value_prefix	THAMANI
paction.time_to_negotiate	MUDA WA KUJADILI
paction.take_off_list	ONDOA KWENYE ORODHA
paction.put_on_list	WEKA KWENYE ORODHA YA USAJILI
paction.give_free_transfer	TOA BURE
paction.off_list_prefix	NJE YA ORODHA
paction.listed_prefix	KWENYE ORODHA
paction.list_full_prefix	ORODHA IMEJAA (KIWANGO
# FREE TRANSFER
free.title	USAJILI WA BURE
free.confirm_prompt	ACHIA %s BURE?
free.release	ACHIA
free.released_prefix	AMEACHIWA
free.squad_too_small	KIKOSI KIDOGO SANA
free.release_failed	KUACHIA KUMESHINDIKANA
# LINEUP EDITOR
lineup.title	KIKOSI CHA TIMU
lineup.auto	OTOMATIKI
lineup.hint	JUU/CHINI MSTARI   BONYEZA CHAGUA/BADILI   ESC RUDI
lineup.picked_prefix	IMECHAGULIWA
lineup.picked_swap_hint	- BONYEZA MSTARI KUBADILI
lineup.unmarked_prefix	IMEONDOLEWA
lineup.slot_not_available	NAFASI HAIPO
lineup.goal_needs_keeper	NAFASI YA GOLI INAHITAJI KIPA
lineup.swapped_prefix	IMEBADILISHWA
lineup.swapped_and	NA
lineup.auto_restored	KIKOSI OTOMATIKI KIMERUDISHWA
lineup.auto_label	KIKOSI OTOMATIKI
lineup.custom_label	KIKOSI MAALUM
lineup.slot	NAFASI
lineup.slot_gk	GK
lineup.slot_sub	MBD
# STAFF
staff.title	WAFANYAKAZI
staff.coach	KOCHI
staff.fire_selected	FUKUZA ALIYECHAGULIWA
staff.hire_coach	AJIRI KOCHI
staff.training_focus	LENGO LA MAZOEZI
staff.no_coach_selected	HAKUNA KOCHI ALIYECHAGULIWA
staff.no_coaches	HAKUNA MAKOCHI
# FIRE COACH
firecoach.title	FUKUZA KOCHI
firecoach.coach_not_available	KOCHI HAYUPO
firecoach.severance_prefix	FIDIA
firecoach.fire	FUKUZA
firecoach.fired_prefix	AMEFUKUZWA
# HIRE COACH
hire.title	AJIRI KOCHI
hire.candidate	MGOMBEA
hire.hire	AJIRI
hire.hired_prefix	AMEAJIRIWA
# TRAINING FOCUS
focus.title	LENGO LA MAZOEZI
focus.toggle	BADILI LENGO
focus.removed_prefix	AMEONDOLEWA
focus.focused_prefix	AMELENGWA
focus.max_prefix	KIWANGO
focus.max_suffix	WACHEZAJI WA LENGO
focus.mark	*
# SCOUTING
scout.title	UPELELEZI
scout.scout_player	PELELEZA MCHEZAJI
scout.improve_prefix	BORESHA UPELELEZI
scout.maxed	UPELELEZI KIWANGO CHA JUU
scout.unavailable	UPELELEZI HAUPO
scout.quality_prefix	UBORA WA UPELELEZI
scout.no_watched	HAKUNA WACHEZAJI WANAOFUATILIWA
scout.scout_selected	PELELEZA ALIYECHAGULIWA
scout.scout_prefix	PELELEZA
scout.scouted_prefix	AMEPELELEZWA
scout.cost_prefix	GHARAMA
scout.no_players_available	HAKUNA WACHEZAJI
# TRANSFER MARKET
market.title	SOKO LA USAJILI
market.max_price	BEI YA JUU
market.buy_selected	NUNUA ALIYECHAGULIWA
market.no_player_selected	HAKUNA MCHEZAJI ALIYECHAGULIWA
market.free_agent	HURU
market.club_fallback_prefix	KLABU
market.price_any	YOYOTE
market.price_100k	<100K
market.price_250k	<250K
market.price_500k	<500K
market.price_1m	<1M
market.price_2m	<2M
market.price_5m	<5M
market.price_10m	<10M
market.price_over_10m	>=10M
# BUY / NEGOTIATION
buy.title	NUNUA MCHEZAJI
buy.asking_prefix	BEI
buy.your_bid	ZABUNI YAKO
buy.make_bid	TOA ZABUNI
buy.club_unwilling	KLABU HAITAKI KUNUNUA WACHEZAJI
buy.no_time	HAKUNA MUDA ZAIDI WA KUJADILI
buy.enter_a_bid	WEKA ZABUNI
buy.not_enough_money	PESA HAZITOSHI
buy.bought_prefix	AMENUNULIWA
buy.squad_full	KIKOSI KIMEJAA
buy.transfer_failed	USAJILI UMESHINDIKANA
buy.counter_prefix	WANATAKA
buy.rejected	ZABUNI NDOGO - IMEKATALIWA
# INCOMING OFFERS
offers.title	OFA ZA USAJILI
offers.no_offers	HAKUNA OFA
offers.offer	OFA
offers.accept	KUBALI
offers.demand_more	DAI ZAIDI
offers.reject	KATAA
offers.header_negotiate_prefix	MUDA WA KUJADILI
offers.header_sells	MAUZO
offers.not_available	OFA HAIPO
offers.sold_prefix	AMEUZWA
offers.sold_for	KWA
offers.squad_too_small	KIKOSI KIDOGO SANA
offers.accept_failed	KUKUBALI KUMESHINDIKANA
offers.improved_prefix	IMEPANDA HADI
offers.withdrawn	OFA IMEONDOLEWA
offers.refused	WANAKATAA KULIPA ZAIDI
offers.rejected	OFA IMEKATALIWA
# MATCH HUD / OVERLAYS
hud.half_time	MAPUMZIKO
hud.full_time	MWISHO WA MECHI
hud.penalties	PENALTI
hud.paused	IMESIMAMISHWA
hud.pause_resume_hint	space  endelea
hud.pause_quit_hint	ESC    toka kwenye menyu
hud.goal	BAO!
hud.throw_in	KURUSHA NDANI
hud.corner	KONA
hud.goal_kick	MTEKO WA GOLI
hud.press_space	bonyeza space
hud.team_home_fallback	NYUMBANI
hud.team_away_fallback	UGENINI
goal.type_penalty	(PEN)
goal.type_own_goal	(OG)
# S34 additions
bench.coach	KOCHI
bench.coming_on	ANAINGIA: {0}
bench.fire_swap	PIGA CHAGUA+CHAGUA = BADILISHA
bench.formation	MPANGILIO
bench.formation_colon	MPANGILIO:
bench.help_leave	KUSHOTO/KULIA ONDOKA BENCHI
bench.help_select	JUU/CHINI CHAGUA  PIGA OK
bench.hold_mark	SHIKILIA PIGA = MARK MCHEZAJI
bench.player_off	MCHEZAJI ATOKA:
bench.sub_in_progress	UBADILISHAJI UNAENDELEA...
bench.swap_formation	BADILISHA / MPANGILIO:
bench.tag_inj	 JRH
bench.tag_off	 [TOK]
bench.tag_sub	 [BDL]
bench.title	BENCHI - {0}
bench.user	MTUMIAJI {0}
career.dash_div_season	DIV {0}  MSIMU {1}
career.price_any	YOYOTE
career.rec_pwdl	P {0}   W {1}   D {2}   L {3}   GF {4}   GA {5}
career.rec_season_div	MSIMU {0}  {1}  DIV {2}
career.release_confirm	ACHIA {0} BURE?
career.skill_letters	PVHTCSF
career.title_mr	BW
career.title_ms	BI
comp.competition_complete	MASHINDANO YAMEISHA
comp.cup	KOMBE
comp.entrants_random	NASIBU
comp.entrants_same_div	DIV MOJA
comp.entrants_same_nation	TAIFA MOJA
comp.league_round	LIGI - RAUNDI {0}/{1}
comp.name_career	KAZI
comp.name_cup	KOMBE
comp.name_league	LIGI
comp.name_tournament	MASHINDANO
comp.no_fixtures	HAKUNA RATIBA
comp.no_player_team	HAKUNA TIMU YAKO
comp.ord_nd	.
comp.ord_rd	.
comp.ord_st	.
comp.ord_th	.
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	KOMBE LA WASHINDI
comp.preset_european_championship	MABINGWA WA ULAYA
comp.preset_european_cup	KOMBE LA ULAYA
comp.preset_uefa_cup	KOMBE LA UEFA
comp.preset_world_cup	KOMBE LA DUNIA
comp.slot_finished	IMEISHA
comp.slot_no_team	HAKUNA TIMU
comp.slot_round	RAUNDI {0}/{1}
comp.slot_winner	MSHINDI {0}
comp.stage_final	FAINALI
comp.stage_group	KUNDI
comp.stage_league	LIGI
comp.stage_quarter	ROBO FAINALI
comp.stage_r16	RAUNDI YA 16
comp.stage_r32	RAUNDI YA 32
comp.stage_round_of	RAUNDI YA
comp.stage_semi	NUSU FAINALI
comp.you_are_pos	UKO {0}
comp.you_champion	WEWE BINGWA
comp.you_eliminated	UMETOLEWA
comp.you_in	UPO {0}
comp.you_in_the	UPO KWENYE {0}
comp.you_through	UMEPITA RAUNDI IJAYO
comp.you_unplaced	HAUJAPANGWA
firstrun.body	Data ya mchezo wa SWOS hayakupatikana.\n\nOpenSWOS inahitaji Sensible World of Soccer 96/97 (toleo la Amiga).\nNjia mbili - kisha anzisha upya mchezo:\n\n  (a) Weka picha za floppy za Amiga (*.adf) kwenye:\n        {0}\n      OpenSWOS itatoa inachohitaji wakati wa kuanza tena.\n\n  (b) Tayari una faili huru za mchezo (mfano usakinishaji wa WHDLoad)?\n      Nakili kwenye:\n        {1}\n\nHiari: weka folda ya DATA ya PC (DOS) kwenye 'original_swos_pc/' kwa\norodha kubwa kidogo ya timu - si lazima, na haibadilishi grafiki.\n\nMatoleo ya awali ya SWOS (94/95 n.k.) HAYAENDANI.
menu.team_coach_div	KOCHI {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRIKA
nation.continent_asia	ASIA
nation.continent_europe	ULAYA
nation.continent_north_america	AMERIKA KASKAZINI
nation.continent_oceania	OSHENIA
nation.continent_south_america	AMERIKA KUSINI
nav.hint_menu	JUU/CHINI CHAGUA   PIGA OK   ESC RUDI
nav.hint_picker	JUU/CHINI SOGEZA   PIGA CHAGUA   ESC GHAIRI
nav.hint_picker_cols	JUU/CHINI SOGEZA   KUSHOTO/KULIA SAFU   PIGA CHAGUA   ESC GHAIRI
nav.hint_stepper	JUU/CHINI CHAGUA   KUSHOTO/KULIA BADILI   PIGA OK   ESC RUDI
nav.hint_table	JUU/CHINI MSTARI   PIGA OK   ESC RUDI
opt.commentator	MTANGAZAJI
opt.commentator_hint	MAELEZO YA SAUTI (SAUTI YA PC TU)
opt.display_fullfill	JAZA KAMILI
opt.display_fullinteger	INTEJA KAMILI
opt.display_unknown	?
opt.display_windowed	DIRISHA
opt.len_min_whole	{0} DAK HALISI  (MECHI NZIMA)
opt.len_sec_whole	{0}S HALISI  (MECHI NZIMA)
opt.smoothing_sharp	KALI
overlay.corner	KONA
overlay.fulltime	MUDA KAMILI
overlay.fulltime_body	MUDA KAMILI\n\n{0}  {1} - {2}  {3}\n\nbonyeza spas
overlay.goal	GOLI!
overlay.goalkick	MATEKO YA GOLI
overlay.halftime	MAPUMZIKO
overlay.paused	SIMAMA\n\nspace  endelea\nESC    toka menu
overlay.penalties	MIKWAJU
overlay.throwin	KUTUPA NDANI
pos.a	A
pos.d	D
pos.gk	GK
pos.lb	LB
pos.lw	LW
pos.m	M
pos.none	--
pos.rb	RB
pos.rw	RW
pos.unknown	?
result.away	UGENINI
result.home	NYUMBANI
result.og	(OG)
result.pen	(PEN)
scout.notice_maxed	UPELELEZI KAMILI
scout.notice_no_money	HELA HAITOSHI
scout.notice_player_unavailable	MCHEZAJI HAYUPO
scout.notice_unavailable	UPELELEZI HAUPO
staff.notice_coach_unavailable	KOCHI HAYUPO
staff.notice_focus_full	MAKINI IMEJAA
staff.notice_full	WAFANYAKAZI WAMEJAA
staff.notice_no_money	HELA HAITOSHI
staff.notice_player_unavailable	MCHEZAJI HAYUPO
staff.notice_unavailable	WAFANYAKAZI HAWAPO
staff.spec_attack	MASHAMBULIZI
staff.spec_defence	ULINZI
staff.spec_general	UJUMLA
staff.spec_youth	VIJANA
# FINANCES (career depth plan feature 1)
dash.finances	FEDHA
fin.title	FEDHA
fin.show_history	MSIMU KWA MSIMU
fin.show_sheet	MSIMU HUU
fin.no_season	HAKUNA MSIMU ULIOKAMILIKA
fin.drawn_up	HESABU HUFANYWA MWISHO WA MSIMU
fin.col_season	MSIMU
fin.col_league	LIGI
fin.col_cup	KOMBE
fin.col_income	MAPATO
fin.col_wages	MISHAHARA
fin.col_balance	SALIO
fin.season	MSIMU
fin.league	LIGI
fin.cup	KOMBE
fin.home_games	MECHI ZA NYUMBANI
fin.crowd	MASHABIKI
fin.row.opening	SALIO MWANZO WA MSIMU:
fin.row.gate	MAPATO YA TIKETI:
fin.row.bonuses	ZAWADI + HAKI ZA TV:
fin.row.sponsor	UDHAMINI WA SENSISOFT PLC:
fin.row.invest	UWEKEZAJI WA ZIADA WA MWENYEKITI:
fin.row.invest_new	UWEKEZAJI WA MWENYEKITI MPYA:
fin.row.wages	MISHAHARA YA WACHEZAJI:
fin.row.profit	FAIDA JUMLA:
fin.row.loss	HASARA JUMLA:
fin.row.closing	SALIO JIPYA:
fin.row.sales	MAUZO YA WACHEZAJI:
fin.row.purchases	MANUNUZI YA WACHEZAJI:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	RAIS
dash.status_sacked	AMEFUKUZWA
chair.title	RAIS
chair.memo	BARUA
chair.none	HAKUNA BARUA
chair.memo_header	BARUA KUTOKA KWA RAIS WA KLABU
chair.memo_sign	RAIS WAKO
chair.earlier	BARUA ZA AWALI
opt.board	BODI
opt.board_hint	KWA HARAKA GANI RAIS ANAKUFUKUZA
opt.board_patient	MVUMILIVU
opt.board_normal	KAWAIDA
opt.board_ruthless	MKALI
chair.verdict0.1	HONGERA %a, ULIFANYA KAZI NZURI SANA
chair.verdict0.2	MSIMU HUU NA SOTE TUNAITHAMINI
chair.verdict1.1	MSIMU MZURI %a, SOTE TUMERIDHIKA
chair.verdict1.2	SANA, ENDELEA HIVYO
chair.verdict2.1	MSIMU WA KUPANDA NA KUSHUKA %a, TUNATUMAINI
chair.verdict2.2	KUTAKUWA NA MAENDELEO KARIBUNI
chair.verdict3.1	MSIMU SI MZURI SANA %a, TUNATUMAINI
chair.verdict3.2	UTABORESHA MATOKEO MSIMU UJAO
chair.verdict4.1	MSIMU WA KUKATISHA TAMAA %a, TUNADAI
chair.verdict4.2	MENGI ZAIDI KUTOKA KWAKO MSIMU UJAO
chair.sacked_league.1	KWA MASIKITIKO MAKUBWA BODI NA MIMI
chair.sacked_league.2	TUMEAMUA KUKUONDOA KATIKA WADHIFA WAKO
chair.not_renewed.1	KWA MASIKITIKO MAKUBWA TUMEAMUA
chair.not_renewed.2	KUTOONGEZA MKATABA WAKO - KILA LA HERI
chair.not_renewed.3	NA TUNATARAJIA KUKUONA TENA HIVI KARIBUNI
chair.league_note.1	ZINGATIA NAFASI YETU KATIKA LIGI NA
chair.league_note.2	HAKIKISHA INABORESHWA HARAKA IWEZEKANAVYO
chair.league_warn.1	KUMBUKA, NAFASI ISIPOBORESHWA HIVI KARIBUNI
chair.league_warn.2	TUTALAZIMIKA KUPITIA UPYA WADHIFA WAKO
chair.league_crisis.1	BAADA YA KURA YA IMANI, UNA ZAIDI YA
chair.league_crisis.2	MECHI 3 KUBADILI HALI AU UTAFUKUZWA
chair.money_note.1	ZINGATIA SALIO LETU LA BENKI NA
chair.money_note.2	HAKIKISHA DENI LINALIPWA HARAKA IWEZEKANAVYO
chair.money_warn.1	UKUMBUSHO TU KUHUSU DENI LA BENKI
chair.money_warn.2	VINGINEVYO TUTAPITIA UPYA WADHIFA WAKO
chair.money_crisis.1	BAADA YA KIKAO CHA DHARURA, TUNASISITIZA
chair.money_crisis.2	ULIPE DENI SASA AU UTAFUKUZWA
chair.new_season.1	MANENO MACHACHE KUKUTAKIA KILA LA HERI
chair.new_season.2	MSIMU MPYA
chair.embargo_buy.1	SAMAHANI %a, KLABU HAIKO TAYARI
chair.embargo_buy.2	KUNUNUA WACHEZAJI ZAIDI MSIMU HUU
chair.embargo_sell.1	ZINGATIA %a KWAMBA HATUTARUHUSU
chair.embargo_sell.2	MAUZO ZAIDI YA WACHEZAJI MSIMU HUU
chair.sacked_money.1	KWA MASIKITIKO MAKUBWA BODI NA MIMI
chair.sacked_money.2	TUMEAMUA KUKUONDOA KATIKA WADHIFA WAKO
# JOB OFFERS (career depth plan feature #3)
job.title	OFA ZA KAZI
job.none	HAKUNA OFA ZA KAZI
job.offer	OFA
job.accept	KUBALI
job.decline	KATAA
job.declined	OFA IMEKATALIWA
job.not_available	OFA HAIPATIKANI
job.signed_prefix	MAKUBALIANO NA
job.new_job	KAZI MPYA
job.reputation	SIFA
job.rep_world	DARAJA LA DUNIA
job.rep_high	ANAYETHAMINIWA SANA
job.rep_good	ANAYEHESHIMIWA
job.rep_known	ANAYEJULIKANA
job.rep_unproven	HAJATHIBITISHWA
job.rep_unwanted	HAHITAJIKI
job.division	DARAJA
job.squad	KIKOSI
job.letter_header	OFA YA KAZI KUTOKA %a
job.letter.1	NDUGU BWANA/BIBI
job.letter.2	SISI HAPA %a TUNGEPENDA KUKUPA
job.letter.3	NAFASI YA KOCHA KWA MSIMU UJAO
job.letter.4	TUNAWEZA KUKUPA MSHAHARA MZURI SANA NA
job.letter.5	TUNATUMAINI KUTOA FEDHA
job.letter.6	KARIBU %b KWA KUIMARISHA TIMU
job.letter.7	TUNASUBIRI JIBU LAKO
job.accepted_note	UMEKUBALI - UHAMISHO NI MSIMU UJAO
job.waiting_prefix	WATASUBIRI MICHEZO
job.waiting_suffix	ZAIDI
job.accepted.1	SISI HAPA %a TUNAFURAHI KWAMBA
job.accepted.2	UMEKUBALI NAFASI YA KOCHA KLABU YETU
job.accepted.3	KUANZIA MWANZO WA MSIMU UJAO
job.farewell.1	ASANTE KWA YOTE %a, TUNAKUTAKIA
job.farewell.2	KILA LA KHERI KAZINI KWAKO KIPYA
job.welcome.1	KARIBU %a, TUNATARAJIA MAFANIKIO
job.welcome.2	MENGI KUTOKA USHIRIKIANO WETU MPYA
job.withdrawn.1	OFA YA KAZI KUTOKA %a IMEONDOLEWA
# board expectation line (feature #2 follow-up)
chair.expected	BODI ILITARAJIA
chair.of	KATI YA
chair.finished	ULIMALIZA
chair.expects	BODI INATARAJIA
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	TIMU YA TAIFA
natjob.entry_offer	OFA YA KAZI YA KIMATAIFA
natjob.title	TIMU YA TAIFA
natjob.title_offer	OFA YA KAZI YA KIMATAIFA
natjob.player	MCHEZAJI
natjob.add	ONGEZA MCHEZAJI
natjob.remove	ONDOA MCHEZAJI
natjob.auto	CHAGUA KIOTOMATIKI
natjob.resign	JIUZULU
natjob.full	KIKOSI KIMEJAA
natjob.appointed	KOCHA WA
natjob.none	HAKUNA KAZI YA TAIFA
natjob.no_players	HAKUNA WACHEZAJI
natjob.squad_word	KIKOSI
natjob.rating	KIWANGO
natjob.home	NYUMBANI
