key	ro
career.blurb_seasons	LIGA SI CUPA INTERNA IN FIECARE SEZON
career.blurb_promotion	CASTIGA LIGA PENTRU PROMOVARE, ULTIMUL RETROGRADEAZA
career.start	INCEPE CARIERA
# MANAGER NAME ENTRY
mgr.title	NUME MANAGER
mgr.hint	SCRIE NUME   STANGA/DREAPTA TITLU   ENTER OK   ESC ANULEAZA
mgr.title_row	TITLU
mgr.title_mr	DL
mgr.title_ms	DNA
mgr.default_name	JUCATOR
# COMPETITION DASHBOARD
dash.play_next_match	JOACA MECI URMATOR
dash.continue	CONTINUA
dash.next_season	SEZON URMATOR
dash.table	CLASAMENT
dash.fixtures	PROGRAM
dash.squad	LOT
dash.lineup	FORMATIE
dash.transfers	TRANSFERURI
dash.staff	STAFF
dash.scouting	SCOUTING
dash.record	BILANT
dash.save_as	SALVEAZA CA
dash.retire	RETRAGERE
dash.abandon	ABANDONEAZA
dash.management_record	BILANT MANAGER
dash.status_retired	RETRAS
dash.status_champions	CAMPIONI:
dash.status_eliminated	ELIMINAT
dash.offers_prefix	OFERTE
dash.offers_unseen_mark	!
# NEXT MATCH / VIEW RESULT
next.title	MECI URMATOR
result.title	FINAL
result.label	REZULTAT
# MANAGEMENT RECORD
mrec.title	BILANT MANAGER
mrec.title_of_prefix	BILANT MANAGER AL
mrec.career_over	CARIERA INCHEIATA
mrec.season	SEZON
mrec.div	DIV
mrec.trophies	TROFEE
mrec.none_yet	NIMIC INCA
mrec.history	ISTORIC
mrec.first_season	PRIMUL SEZON IN CURS
# RETIRE CONFIRM
retire.title	RETRAGERE
retire.prompt	TE RETRAGI DIN MANAGEMENT?
retire.confirm	RETRAGERE
# PRESET COMPETITIONS
preset.title	COMPETITIE PRESETATA
preset.blurb	COMPETITII REALE CU ECHIPE REALE
preset.european_cup	CUPA EUROPEANA
preset.uefa_cup	CUPA UEFA
preset.cup_winners_cup	CUPA CUPELOR
preset.world_cup	CUPA MONDIALA
preset.european_championship	CAMPIONATUL EUROPEAN
preset.copa_america	COPA AMERICA
preset.team_knockout_suffix	ECHIPE ELIMINATORIU
preset.groups_then_knockout_suffix	GRUPE DE 4 APOI ELIMINATORIU
preset.create	CREEAZA
# SAVE AS / LOAD GAME
save.title	SALVEAZA CA
save.hint	SCRIE NUME SLOT   ENTER OK   ESC ANULEAZA
save.saved_as_prefix	SALVAT CA
load.title	INCARCA JOC
load.delete_mode	MOD STERGERE
load.no_saved_games	NICIUN JOC SALVAT
# STANDINGS / FIXTURES
table.title	CLASAMENT
table.group	GRUPA
fixtures.title	PROGRAM
# TEAM SETUP
teamcfg.title	SETARI ECHIPA
teamcfg.team	ECHIPA
teamcfg.team_home_prefix	GAZDA
teamcfg.team_away_prefix	OASPETE
teamcfg.switch_home_away	SCHIMBA GAZDA / OASPETE
teamcfg.coach	ANTRENOR
# COMPETITION ENGINE
stage.league	LIGA
stage.group_prefix	GRUPA
stage.final	FINALA
stage.semi_final	SEMIFINALA
stage.quarter_final	SFERT DE FINALA
stage.round_of_16	OPTIMI
stage.round_of_32	16-IMI
stage.round_of_prefix	RUNDA DE
stage.cup_prefix	CUPA
round.league_round	LIGA - ETAPA
round.competition_complete	COMPETITIE INCHEIATA
round.no_fixtures	FARA MECIURI
status.no_player_team	FARA ECHIPA JUCATOR
status.you_are_champion	ESTI CAMPION
status.you_are_prefix	ESTI
status.you_are_unplaced	ESTI NECLASAT
status.you_were_eliminated	AI FOST ELIMINAT
status.you_are_through	ESTI CALIFICAT IN RUNDA URMATOARE
status.you_are_in_prefix	ESTI IN
status.you_are_in_the_prefix	ESTI IN
ord.st	.
ord.nd	.
ord.rd	.
ord.th	.
season.cup_winner	CASTIGATOR
season.cup_runner_up	FINALIST
season.cup_out_in_prefix	ELIMINAT IN
season.cup_out	ELIMINAT
season.trophy_league	SEZON %d CAMPIONI LIGA
season.trophy_cup	SEZON %d CASTIGATORI CUPA
season.history_line	S%d: LIGA %s, CUPA %s
season.history_retired	S%d: RETRAS
fixture.penalties_mark	P
# CAREER SQUAD
squad.title_suffix	LOT
squad.default_club	CLUB
squad.player_action	ACTIUNE JUCATOR
squad.no_player_selected	NICIUN JUCATOR ALES
squad.fit_injured	ACC
# PLAYER ACTION
paction.value_prefix	VALOARE
paction.time_to_negotiate	TIMP DE NEGOCIERE
paction.take_off_list	SCOATE DE PE LISTA
paction.put_on_list	PUNE PE LISTA TRANSFER
paction.give_free_transfer	TRANSFER LIBER
paction.off_list_prefix	SCOS DE PE LISTA
paction.listed_prefix	LISTAT
paction.list_full_prefix	LISTA PLINA (MAX
# FREE TRANSFER
free.title	TRANSFER LIBER
free.confirm_prompt	ELIBEREZI %s GRATUIT?
free.release	ELIBEREAZA
free.released_prefix	ELIBERAT
free.squad_too_small	LOT PREA MIC
free.release_failed	ELIBERARE ESUATA
# LINEUP EDITOR
lineup.title	FORMATIE ECHIPA
lineup.auto	AUTO
lineup.hint	SUS/JOS RAND   FIRE ALEGE/SCHIMBA   ESC INAPOI
lineup.picked_prefix	ALES
lineup.picked_swap_hint	- FIRE UN RAND PENTRU SCHIMB
lineup.unmarked_prefix	ANULAT
lineup.slot_not_available	SLOT INDISPONIBIL
lineup.goal_needs_keeper	POARTA CERE PORTAR
lineup.swapped_prefix	SCHIMBAT
lineup.swapped_and	SI
lineup.auto_restored	FORMATIE AUTO REFACUTA
lineup.auto_label	FORMATIE AUTO
lineup.custom_label	FORMATIE PROPRIE
lineup.slot	SLOT
lineup.slot_gk	PT
lineup.slot_sub	REZ
# STAFF
staff.title	STAFF
staff.coach	ANTRENOR
staff.fire_selected	CONCEDIAZA ALES
staff.hire_coach	ANGAJEAZA ANTRENOR
staff.training_focus	FOCUS ANTRENAMENT
staff.no_coach_selected	NICIUN ANTRENOR ALES
staff.no_coaches	FARA ANTRENORI
# FIRE COACH
firecoach.title	CONCEDIAZA ANTRENOR
firecoach.coach_not_available	ANTRENOR INDISPONIBIL
firecoach.severance_prefix	COMPENSATIE
firecoach.fire	CONCEDIAZA
firecoach.fired_prefix	CONCEDIAT
# HIRE COACH
hire.title	ANGAJEAZA ANTRENOR
hire.candidate	CANDIDAT
hire.hire	ANGAJEAZA
hire.hired_prefix	ANGAJAT
# TRAINING FOCUS
focus.title	FOCUS ANTRENAMENT
focus.toggle	COMUTA FOCUS
focus.removed_prefix	SCOS
focus.focused_prefix	FOCUSAT
focus.max_prefix	MAX
focus.max_suffix	JUCATORI FOCUS
focus.mark	*
# SCOUTING
scout.title	SCOUTING
scout.scout_player	OBSERVA JUCATOR
scout.improve_prefix	IMBUNATATESTE SCOUTING
scout.maxed	SCOUTING MAXIM
scout.unavailable	SCOUTING INDISPONIBIL
scout.quality_prefix	CALITATE SCOUT
scout.no_watched	NICIUN JUCATOR URMARIT
scout.scout_selected	OBSERVA ALES
scout.scout_prefix	OBSERVA
scout.scouted_prefix	OBSERVAT
scout.cost_prefix	COST
scout.no_players_available	NICIUN JUCATOR DISPONIBIL
# TRANSFER MARKET
market.title	PIATA TRANSFERURI
market.max_price	PRET MAXIM
market.buy_selected	CUMPARA ALES
market.no_player_selected	NICIUN JUCATOR ALES
market.free_agent	LIBER DE CONTRACT
market.club_fallback_prefix	CLUB
market.price_any	ORICE
market.price_100k	<100K
market.price_250k	<250K
market.price_500k	<500K
market.price_1m	<1M
market.price_2m	<2M
market.price_5m	<5M
market.price_10m	<10M
market.price_over_10m	>=10M
# BUY / NEGOTIATION
buy.title	CUMPARA JUCATOR
buy.asking_prefix	CERE
buy.your_bid	OFERTA TA
buy.make_bid	FA OFERTA
buy.club_unwilling	CLUBUL NU MAI CUMPARA JUCATORI
buy.no_time	FARA TIMP DE NEGOCIERE
buy.enter_a_bid	INTRODU O OFERTA
buy.not_enough_money	BANI INSUFICIENTI
buy.bought_prefix	CUMPARAT
buy.squad_full	LOT PLIN
buy.transfer_failed	TRANSFER ESUAT
buy.counter_prefix	CONTRAOFERTA LA
buy.rejected	OFERTA PREA MICA - RESPINSA
# INCOMING OFFERS
offers.title	OFERTE TRANSFER
offers.no_offers	FARA OFERTE
offers.offer	OFERTA
offers.accept	ACCEPTA
offers.demand_more	CERE MAI MULT
offers.reject	RESPINGE
offers.header_negotiate_prefix	TIMP DE NEGOCIERE
offers.header_sells	VANZARI
offers.not_available	OFERTA INDISPONIBILA
offers.sold_prefix	VANDUT
offers.sold_for	PENTRU
offers.squad_too_small	LOT PREA MIC
offers.accept_failed	ACCEPTARE ESUATA
offers.improved_prefix	MARITA LA
offers.withdrawn	OFERTA RETRASA
offers.refused	REFUZA SA PLATEASCA MAI MULT
offers.rejected	OFERTA RESPINSA
# MATCH HUD / OVERLAYS
hud.half_time	PAUZA
hud.full_time	FINAL
hud.penalties	PENALTIURI
hud.paused	PAUZAT
hud.pause_resume_hint	space  reia
hud.pause_quit_hint	ESC    iesi la meniu
hud.goal	GOL!
hud.throw_in	AUT
hud.corner	CORNER
hud.goal_kick	DEGAJARE
hud.press_space	apasa space
hud.team_home_fallback	GAZDA
hud.team_away_fallback	OASPETE
goal.type_penalty	(PEN)
goal.type_own_goal	(AG)
# S34 additions
bench.coach	ANTRENOR
bench.coming_on	INTRA: {0}
bench.fire_swap	FOC SEL+SEL = SCHIMBA
bench.formation	FORMATIE
bench.formation_colon	FORMATIE:
bench.help_leave	STANGA/DREAPTA IESI BANCA
bench.help_select	SUS/JOS SEL  FOC OK
bench.hold_mark	TINE FOC = MARCHEAZA JUCATOR
bench.player_off	IESE:
bench.sub_in_progress	SCHIMBARE IN CURS...
bench.swap_formation	SCHIMB / FORMATIE:
bench.tag_inj	 ACC
bench.tag_off	 [IES]
bench.tag_sub	 [REZ]
bench.title	BANCA - {0}
bench.user	JUCATOR {0}
career.dash_div_season	DIV {0}  SEZON {1}
career.price_any	ORICE
career.rec_pwdl	J {0}   V {1}   E {2}   I {3}   GM {4}   GP {5}
career.rec_season_div	SEZON {0}  {1}  DIV {2}
career.release_confirm	ELIBEREZI {0} GRATUIT?
career.skill_letters	PVHTCSF
career.title_mr	DL
career.title_ms	DNA
comp.competition_complete	COMPETITIE INCHEIATA
comp.cup	CUPA
comp.entrants_random	ALEATOR
comp.entrants_same_div	ACEEASI DIVIZIE
comp.entrants_same_nation	ACEEASI NATIUNE
comp.league_round	LIGA - ETAPA {0}/{1}
comp.name_career	CARIERA
comp.name_cup	CUPA
comp.name_league	LIGA
comp.name_tournament	TURNEU
comp.no_fixtures	FARA MECIURI
comp.no_player_team	FARA ECHIPA JUCATOR
comp.ord_nd	-A
comp.ord_rd	-A
comp.ord_st	-A
comp.ord_th	-A
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	CUPA CUPELOR
comp.preset_european_championship	CAMPIONATUL EUROPEAN
comp.preset_european_cup	CUPA EUROPEANA
comp.preset_uefa_cup	CUPA UEFA
comp.preset_world_cup	CUPA MONDIALA
comp.slot_finished	INCHEIAT
comp.slot_no_team	FARA ECHIPA
comp.slot_round	RUNDA {0}/{1}
comp.slot_winner	CASTIGATOR {0}
comp.stage_final	FINALA
comp.stage_group	GRUPA
comp.stage_league	LIGA
comp.stage_quarter	SFERT DE FINALA
comp.stage_r16	OPTIMI
comp.stage_r32	16-IMI
comp.stage_round_of	RUNDA DE
comp.stage_semi	SEMIFINALA
comp.you_are_pos	ESTI {0}
comp.you_champion	ESTI CAMPION
comp.you_eliminated	AI FOST ELIMINAT
comp.you_in	ESTI IN {0}
comp.you_in_the	ESTI IN {0}
comp.you_through	ESTI CALIFICAT IN RUNDA URMATOARE
comp.you_unplaced	ESTI NECLASAT
firstrun.body	NU S-AU GASIT DATE DE JOC SWOS.\n\nOPENSWOS ARE NEVOIE DE SENSIBLE WORLD OF SOCCER 96/97 (EDITIA AMIGA).\nDOUA OPTIUNI - APOI REPORNESTE JOCUL:\n\n  (A) PUNE IMAGINILE DE DISCHETA AMIGA (*.ADF) IN:\n        {0}\n      OPENSWOS EXTRAGE CE ARE NEVOIE LA URMATOAREA PORNIRE.\n\n  (B) AI DEJA FISIERELE DE JOC (DE EX. O INSTALARE WHDLOAD)?\n      COPIAZA-LE IN:\n        {1}\n\nOPTIONAL: PUNE FOLDERUL DATA AL PC-ULUI (DOS) IN 'ORIGINAL_SWOS_PC/' PENTRU\nO LISTA DE ECHIPE PUTIN MAI MARE - NU E OBLIGATORIU, SI NU SCHIMBA GRAFICA.\n\nEDITIILE SWOS ANTERIOARE (94/95 ETC.) NU SUNT COMPATIBILE.
menu.team_coach_div	ANTRENOR {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRICA
nation.continent_asia	ASIA
nation.continent_europe	EUROPA
nation.continent_north_america	AMERICA DE NORD
nation.continent_oceania	OCEANIA
nation.continent_south_america	AMERICA DE SUD
nav.hint_menu	SUS/JOS SEL   FOC OK   ESC INAPOI
nav.hint_picker	SUS/JOS DERULEAZA   FOC SEL   ESC ANULEAZA
nav.hint_picker_cols	SUS/JOS DERULEAZA   STANGA/DREAPTA COLOANA   FOC SEL   ESC ANULEAZA
nav.hint_stepper	SUS/JOS SEL   STANGA/DREAPTA SCHIMBA   FOC OK   ESC INAPOI
nav.hint_table	SUS/JOS RAND   FOC OK   ESC INAPOI
opt.commentator	COMENTATOR
opt.commentator_hint	COMENTARIU VORBIT (DOAR SUNET PC)
opt.display_fullfill	UMPLE
opt.display_fullinteger	INTREG
opt.display_unknown	?
opt.display_windowed	FEREASTRA
opt.len_min_whole	{0} MIN REAL  (MECI INTREG)
opt.len_sec_whole	{0}S REAL  (MECI INTREG)
opt.smoothing_sharp	CLAR
overlay.corner	CORNER
overlay.fulltime	FINAL
overlay.fulltime_body	FINAL\n\n{0}  {1} - {2}  {3}\n\nAPASA SPACE
overlay.goal	GOL!
overlay.goalkick	DEGAJARE
overlay.halftime	PAUZA
overlay.paused	PAUZAT\n\nSPACE  RELUARE\nESC    IESI LA MENIU
overlay.penalties	PENALTIURI
overlay.throwin	AUT
pos.a	A
pos.d	D
pos.gk	GK
pos.lb	LB
pos.lw	LW
pos.m	M
pos.none	--
pos.rb	RB
pos.rw	RW
pos.unknown	?
result.away	OASPETE
result.home	GAZDA
result.og	(AG)
result.pen	(PEN)
scout.notice_maxed	SCOUTING LA MAXIM
scout.notice_no_money	BANI INSUFICIENTI
scout.notice_player_unavailable	JUCATOR INDISPONIBIL
scout.notice_unavailable	SCOUTING INDISPONIBIL
staff.notice_coach_unavailable	ANTRENOR INDISPONIBIL
staff.notice_focus_full	FOCUS COMPLET
staff.notice_full	STAFF COMPLET
staff.notice_no_money	BANI INSUFICIENTI
staff.notice_player_unavailable	JUCATOR INDISPONIBIL
staff.notice_unavailable	STAFF INDISPONIBIL
staff.spec_attack	ATAC
staff.spec_defence	APARARE
staff.spec_general	GENERAL
staff.spec_youth	TINERET
# FINANCES (career depth plan feature 1)
dash.finances	FINANTE
fin.title	FINANTE
fin.show_history	SEZON DUPA SEZON
fin.show_sheet	SEZONUL ACESTA
fin.no_season	NICIUN SEZON INCHEIAT
fin.drawn_up	BILANTUL SE FACE LA FINAL DE SEZON
fin.col_season	SEZON
fin.col_league	LIGA
fin.col_cup	CUPA
fin.col_income	VENITURI
fin.col_wages	SALARII
fin.col_balance	SOLD
fin.season	SEZON
fin.league	LIGA
fin.cup	CUPA
fin.home_games	MECIURI ACASA
fin.crowd	SPECTATORI
fin.row.opening	SOLD LA INCEPUT DE SEZON:
fin.row.gate	INCASARI DIN BILETE:
fin.row.bonuses	PRIME + DREPTURI TV:
fin.row.sponsor	SPONSORIZARE SENSISOFT PLC:
fin.row.invest	INVESTITIE SUPLIMENTARA A PRESEDINTELUI:
fin.row.invest_new	INVESTITIA NOULUI PRESEDINTE:
fin.row.wages	SALARIILE JUCATORILOR:
fin.row.profit	PROFIT TOTAL:
fin.row.loss	PIERDERE TOTALA:
fin.row.closing	SOLD NOU:
fin.row.sales	VANZARI DE JUCATORI:
fin.row.purchases	ACHIZITII DE JUCATORI:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	PRESEDINTE
dash.status_sacked	DEMIS
chair.title	PRESEDINTE
chair.memo	NOTA
chair.none	NICIO NOTA
chair.memo_header	NOTA DE LA PRESEDINTELE CLUBULUI
chair.memo_sign	PRESEDINTELE TAU
chair.earlier	NOTE ANTERIOARE
opt.board	CONDUCERE
opt.board_hint	CAT DE REPEDE TE DEMITE PRESEDINTELE
opt.board_patient	RABDATOARE
opt.board_normal	NORMALA
opt.board_ruthless	NECRUTATOARE
chair.verdict0.1	BRAVO %a, AI FACUT O TREABA EXCELENTA
chair.verdict0.2	IN ACEST SEZON SI TOTI APRECIEM ASTA
chair.verdict1.1	UN SEZON BUN %a, SUNTEM CU TOTII FOARTE
chair.verdict1.2	MULTUMITI, TINE-O TOT ASA
chair.verdict2.1	UN SEZON CU SUISURI SI COBORASURI %a, SPERAM
chair.verdict2.2	INTR-O IMBUNATATIRE APROPIATA
chair.verdict3.1	UN SEZON NU PREA BUN %a, SPERAM SA
chair.verdict3.2	IMBUNATATESTI REZULTATELE SEZONUL VIITOR
chair.verdict4.1	UN SEZON FOARTE DEZAMAGITOR %a, CEREM
chair.verdict4.2	MULT MAI MULT DE LA TINE SEZONUL VIITOR
chair.sacked_league.1	CU MARE REGRET CONDUCEREA SI CU MINE
chair.sacked_league.2	AM DECIS SA TE ELIBERAM DIN FUNCTIE
chair.not_renewed.1	CU MARE REGRET AM DECIS SA NU
chair.not_renewed.2	ITI PRELUNGIM CONTRACTUL - MULT NOROC
chair.not_renewed.3	SI SPERAM SA NE REVEDEM CURAND
chair.league_note.1	IA AMINTE LA POZITIA NOASTRA IN CLASAMENT SI
chair.league_note.2	ASIGURA-TE CA SE IMBUNATATESTE CAT MAI REPEDE
chair.league_warn.1	TINE MINTE, DACA POZITIA NU SE IMBUNATATESTE
chair.league_warn.2	VA TREBUI SA ITI RECONSIDERAM POSTUL
chair.league_crisis.1	DUPA UN VOT DE INCREDERE AI CEL MULT
chair.league_crisis.2	3 MECIURI SA REDRESEZI CLUBUL SAU VEI FI DEMIS
chair.money_note.1	IA AMINTE LA SOLDUL NOSTRU BANCAR SI
chair.money_note.2	ASIGURA-TE CA ACOPERIM DESCOPERIREA CAT MAI REPEDE
chair.money_warn.1	DOAR O REAMINTIRE PRIVIND DESCOPERIREA DE CONT
chair.money_warn.2	ALTFEL VA TREBUI SA ITI RECONSIDERAM POSTUL
chair.money_crisis.1	DUPA O SEDINTA DE CRIZA INSISTAM SA
chair.money_crisis.2	ACOPERI DESCOPERIREA IMEDIAT SAU ESTI DEMIS
chair.new_season.1	CATEVA RANDURI CU MULT SUCCES IN
chair.new_season.2	NOUL SEZON
chair.embargo_buy.1	IMI PARE RAU %a, CLUBUL NU DORESTE
chair.embargo_buy.2	SA MAI CUMPERE JUCATORI IN ACEST SEZON
chair.embargo_sell.1	RETINE %a CA NU VOM PERMITE
chair.embargo_sell.2	ALTE VANZARI DE JUCATORI IN ACEST SEZON
chair.sacked_money.1	CU MARE REGRET CONDUCEREA SI CU MINE
chair.sacked_money.2	AM DECIS SA TE ELIBERAM DIN FUNCTIE
# JOB OFFERS (career depth plan feature #3)
job.title	OFERTE DE ANGAJARE
job.none	NICIO OFERTA
job.offer	OFERTA
job.accept	ACCEPTA
job.decline	REFUZA
job.declined	OFERTA REFUZATA
job.not_available	OFERTA INDISPONIBILA
job.signed_prefix	INTELEGERE CU
job.new_job	POST NOU
job.reputation	REPUTATIE
job.rep_world	CLASA MONDIALA
job.rep_high	FOARTE APRECIAT
job.rep_good	BINE COTAT
job.rep_known	CUNOSCUT
job.rep_unproven	NECONFIRMAT
job.rep_unwanted	NEDORIT
job.division	DIVIZIE
job.squad	LOT
job.letter_header	OFERTA DE ANGAJARE DE LA %a
job.letter.1	STIMATE DOMN/DOAMNA
job.letter.2	NOI CEI DE LA %a AM DORI SA VA OFERIM
job.letter.3	POSTUL DE ANTRENOR PENTRU SEZONUL VIITOR
job.letter.4	VA PUTEM OFERI UN SALARIU FOARTE BUN SI
job.letter.5	SPERAM SA PUNEM LA DISPOZITIE FONDURI
job.letter.6	DE ORDINUL A %b PENTRU INTARIREA ECHIPEI
job.letter.7	ASTEPTAM RASPUNSUL DUMNEAVOASTRA
job.accepted_note	ATI ACCEPTAT - MUTAREA ARE LOC SEZONUL VIITOR
job.waiting_prefix	VOR MAI ASTEPTA
job.waiting_suffix	MECIURI
job.accepted.1	NOI CEI DE LA %a SUNTEM INCANTATI CA
job.accepted.2	ATI ACCEPTAT POSTUL DE ANTRENOR LA NOI
job.accepted.3	DE LA INCEPUTUL SEZONULUI VIITOR
job.farewell.1	MULTUMIM PENTRU TOT %a, VA DORIM
job.farewell.2	MULT SUCCES LA NOUL POST
job.welcome.1	BINE ATI VENIT %a, ASTEPTAM MULTE
job.welcome.2	SUCCESE DIN NOUL NOSTRU PARTENERIAT
job.withdrawn.1	OFERTA DE ANGAJARE DE LA %a RETRASA
# board expectation line (feature #2 follow-up)
chair.expected	CONDUCEREA ASTEPTA
chair.of	DIN
chair.finished	AI TERMINAT
chair.expects	CONDUCEREA ASTEAPTA
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	ECHIPA NATIONALA
natjob.entry_offer	OFERTA DE ANGAJARE INTERNATIONALA
natjob.title	ECHIPA NATIONALA
natjob.title_offer	OFERTA DE ANGAJARE INTERNATIONALA
natjob.player	JUCATOR
natjob.add	ADAUGA JUCATOR
natjob.remove	SCOATE JUCATOR
natjob.auto	SELECTIE AUTOMATA
natjob.resign	DEMISIONEAZA
natjob.full	LOT COMPLET
natjob.appointed	SELECTIONER AL
natjob.none	NICIUN POST INTERNATIONAL
natjob.no_players	NICIUN JUCATOR DISPONIBIL
natjob.squad_word	LOT
natjob.rating	EVALUARE
natjob.home	IN TARA
natjob.abroad	STRAINATATE
natjob.col_name	NUME
natjob.col_pos	POZ
natjob.col_ovr	GEN
natjob.col_where	UNDE
natjob.col_club	CLUB
natjob.letter_header	OFERTA DE ANGAJARE INTERNATIONALA DE LA %a
natjob.offer.1	MEMBRII COMITETULUI DE FOTBAL
natjob.offer.2	AL %a AR DORI SA VA OFERE POSTUL
natjob.offer.3	DE SELECTIONER AL ECHIPEI NATIONALE
natjob.offer.4	VA PROMITEM UN SALARIU EXCELENT SI
natjob.offer.5	UN CONTRACT REINNOIT ANUAL
natjob.offer.6	ASTEPTAM RASPUNSUL DUMNEAVOASTRA
