key	hr
opt.page	STR
opt.language	JEZIK
opt.half_length	TRAJANJE POLU
opt.game_speed	BRZINA IGRE
opt.opponent	PROTIVNIK
opt.pitch	TEREN
opt.skill_scaling	SKALIRANJE VJESTINE
opt.skill_scaling_hint	VJERNO SWOS SKALIRANJE CIJENE IGRACA
opt.all_teams_equal	SVE EKIPE JEDNAKE
opt.all_teams_equal_hint	IZJEDNACUJE SNAGU IGRACEVIH EKIPA
opt.pre_match_menus	IZBORNICI PRIJE MECA
opt.player_fatigue	UMOR IGRACA
opt.energy_bar	TRAKA ENERGIJE
opt.music	GLAZBA
opt.music_hint	AMIGA / PC / VLASTITA GLAZBA
opt.sound	ZVUK
opt.sound_hint	PC ILI AMIGA ZVUKOVI U MECU
opt.display	PRIKAZ
opt.display_hint	F11 MIJENJA  ALT+ENTER PUNI ZASLON
# OPTION VALUES
val.pitch_none	(NEMA)
val.pitch_random	NASUMICNO
val.opponent_ai	AI
val.opponent_player2	IGRAC 2  (WASD)
val.opponent_demo	DEMO  (AI V AI)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	VLASTITA
val.music_off	ISKLJ
val.length_whole_match_seconds	%dS STVARNO  (CIJELI MEC)
val.length_whole_match_minutes	%d MIN STVARNO  (CIJELI MEC)
val.display_windowed	U PROZORU
val.display_full_fill	PUNI ISPUNJENO
val.display_full_integer	PUNI CJELOBROJNI
# LOCAL MULTIPLAYER
mp.title	LOKALNO VISE IGRACA
mp.controls_hint	IGRAC 1: STRELICE+RAZMAK   IGRAC 2: WASD+SHIFT
mp.start	POKRENI MEC ZA 2 IGRACA
# PICKERS
pick.continent	KONTINENT
pick.country	DRZAVA
pick.your_team	TVOJA EKIPA
pick.all_countries	SVE DRZAVE
pick.all	SVE
pick.select_country	ODABERI DRZAVU
pick.select_continent	ODABERI KONTINENT
pick.select_your_team	ODABERI EKIPU
pick.home_team	DOMACA EKIPA
pick.away_team	GOSTUJUCA EKIPA
pick.nothing_to_choose	NEMA IZBORA
pick.item	STAVKA
pick.more_down	JOS v
# DRAW CEREMONY
draw.title_suffix	ZDRIJEB
# PLAY AGAIN
playagain.title	KRAJ MECA
playagain.play_again	IGRAJ PONOVNO
playagain.exit	IZLAZ
# COMPETITIONS HUB
comp.title	NATJECANJA
comp.new_league	NOVA LIGA
comp.new_cup	NOVI KUP
comp.new_tournament	NOVI TURNIR
comp.preset_competition	GOTOVA NATJECANJA
comp.new_career	NOVA KARIJERA
comp.load_game	UCITAJ IGRU
# LEAGUE / CUP / TOURNAMENT SETUP
setup.league_title	NOVA LIGA
setup.cup_title	NOVI KUP
setup.tournament_title	NOVI TURNIR
setup.size	VELICINA
setup.teams_suffix	EKIPA
setup.entrants	SUDIONICI
setup.entrants_same_division	ISTA LIGA
setup.entrants_same_nation	ISTA DRZAVA
setup.entrants_random	NASUMICNO
setup.rounds	KOLA
setup.rounds_single	JEDNO
setup.rounds_double	DVOSTRUKO
setup.groups	SKUPINE
setup.groups_of_4_suffix	SKUPINE PO 4
setup.create_league	STVORI LIGU
setup.create_cup	STVORI KUP
setup.create_tournament	STVORI TURNIR
# CAREER SETUP
career.title	NOVA KARIJERA
career.blurb_seasons	LIGA I DOMACI KUP SVAKU SEZONU
career.blurb_promotion	OSVOJI LIGU ZA PROMOCIJU, ZADNJI ISPADA
career.start	POCNI KARIJERU
# MANAGER NAME ENTRY
mgr.title	IME MENADZERA
mgr.hint	UPISI IME   LIJEVO/DESNO TITULA   ENTER OK   ESC ODUSTANI
mgr.title_row	TITULA
mgr.title_mr	G
mgr.title_ms	GDA
mgr.default_name	IGRAC
# COMPETITION DASHBOARD
dash.play_next_match	IGRAJ SLJEDECI MEC
dash.continue	NASTAVI
dash.next_season	SLJEDECA SEZONA
dash.table	TABLICA
dash.fixtures	RASPORED
dash.squad	MOMCAD
dash.lineup	POSTAVA
dash.transfers	TRANSFERI
dash.staff	STOZER
dash.scouting	SKAUTIRANJE
dash.record	UCINAK
dash.save_as	SPREMI KAO
dash.retire	UMIROVI SE
dash.abandon	NAPUSTI
dash.management_record	MENADZERSKI UCINAK
dash.status_retired	UMIROVLJEN
dash.status_champions	PRVAK:
dash.status_eliminated	ISPAO
dash.offers_prefix	PONUDE
dash.offers_unseen_mark	!
# NEXT MATCH / VIEW RESULT
next.title	SLJEDECI MEC
result.title	KRAJ MECA
result.label	REZULTAT
# MANAGEMENT RECORD
mrec.title	MENADZERSKI UCINAK
mrec.title_of_prefix	MENADZERSKI UCINAK OD
mrec.career_over	KRAJ KARIJERE
mrec.season	SEZONA
mrec.div	LIGA
mrec.trophies	TROFEJI
mrec.none_yet	JOS NISTA
mrec.history	POVIJEST
mrec.first_season	PRVA SEZONA U TIJEKU
# RETIRE CONFIRM
retire.title	UMIROVLJENJE
retire.prompt	PRESTATI S MENADZIRANJEM?
retire.confirm	UMIROVI SE
# PRESET COMPETITIONS
preset.title	GOTOVA NATJECANJA
preset.blurb	PRAVA NATJECANJA S PRAVIM SUDIONICIMA
preset.european_cup	KUP PRVAKA
preset.uefa_cup	UEFA KUP
preset.cup_winners_cup	KUP POBJEDNIKA KUPOVA
preset.world_cup	SVJETSKO PRVENSTVO
preset.european_championship	EUROPSKO PRVENSTVO
preset.copa_america	COPA AMERICA
preset.team_knockout_suffix	EKIPA ISPADANJE
preset.groups_then_knockout_suffix	SKUPINE PO 4 PA ISPADANJE
preset.create	STVORI
# SAVE AS / LOAD GAME
save.title	SPREMI KAO
save.hint	UPISI IME   ENTER OK   ESC ODUSTANI
save.saved_as_prefix	SPREMLJENO KAO
load.title	UCITAJ IGRU
load.delete_mode	NACIN BRISANJA
load.no_saved_games	NEMA SPREMLJENIH IGARA
# STANDINGS / FIXTURES
table.title	TABLICA
table.group	SKUPINA
fixtures.title	RASPORED
# TEAM SETUP
teamcfg.title	POSTAVA EKIPE
teamcfg.team	EKIPA
teamcfg.team_home_prefix	DOM
teamcfg.team_away_prefix	GOST
teamcfg.switch_home_away	PROMIJENI DOM / GOST
teamcfg.coach	TRENER
# COMPETITION ENGINE
stage.league	LIGA
stage.group_prefix	SKUPINA
stage.final	FINALE
stage.semi_final	POLUFINALE
stage.quarter_final	CETVRTFINALE
stage.round_of_16	OSMINA FINALA
stage.round_of_32	SESNAESTINA FINALA
stage.round_of_prefix	RUNDA
stage.cup_prefix	KUP
round.league_round	LIGA - KOLO
round.competition_complete	NATJECANJE ZAVRSENO
round.no_fixtures	NEMA MECEVA
status.no_player_team	NEMA IGRACEVE EKIPE
status.you_are_champion	TI SI PRVAK
status.you_are_prefix	TI SI
status.you_are_unplaced	NISI RANGIRAN
status.you_were_eliminated	ISPAO SI
status.you_are_through	PROLAZIS U SLJEDECE KOLO
status.you_are_in_prefix	TI SI U
status.you_are_in_the_prefix	TI SI U
ord.st	.
ord.nd	.
ord.rd	.
ord.th	.
season.cup_winner	POBJEDNIK
season.cup_runner_up	DOPRVAK
season.cup_out_in_prefix	ISPAO U
season.cup_out	ISPAO
season.trophy_league	SEZONA %d PRVAK LIGE
season.trophy_cup	SEZONA %d OSVAJAC KUPA
season.history_line	S%d: LIGA %s, KUP %s
season.history_retired	S%d: UMIROVLJEN
fixture.penalties_mark	P
# CAREER SQUAD
squad.title_suffix	MOMCAD
squad.default_club	KLUB
squad.player_action	AKCIJA IGRACA
squad.no_player_selected	NIJE ODABRAN IGRAC
squad.fit_injured	OZL
# PLAYER ACTION
paction.value_prefix	VRIJEDNOST
paction.time_to_negotiate	VRIJEME ZA PREGOVORE
paction.take_off_list	SKINI S LISTE
paction.put_on_list	STAVI NA LISTU
paction.give_free_transfer	DAJ BESPLATNO
paction.off_list_prefix	SKINUT S LISTE
paction.listed_prefix	NA LISTI
paction.list_full_prefix	LISTA PUNA (MAX
# FREE TRANSFER
free.title	BESPLATAN TRANSFER
free.confirm_prompt	OTPUSTITI %s BESPLATNO?
free.release	OTPUSTI
free.released_prefix	OTPUSTEN
free.squad_too_small	MOMCAD PREMALA
free.release_failed	OTPUSTANJE NEUSPJESNO
# LINEUP EDITOR
lineup.title	POSTAVA EKIPE
lineup.auto	AUTO
lineup.hint	GORE/DOLJE RED   FIRE ODABIR/ZAMJENA   ESC NAZAD
lineup.picked_prefix	ODABRANO
lineup.picked_swap_hint	- FIRE RED ZA ZAMJENU
lineup.unmarked_prefix	ODZNACENO
lineup.slot_not_available	MJESTO NEDOSTUPNO
lineup.goal_needs_keeper	GOL TREBA VRATARA
lineup.swapped_prefix	ZAMIJENJENO
lineup.swapped_and	I
lineup.auto_restored	AUTO POSTAVA VRACENA
lineup.auto_label	AUTO POSTAVA
lineup.custom_label	VLASTITA POSTAVA
lineup.slot	MJESTO
lineup.slot_gk	VR
lineup.slot_sub	ZAM
# STAFF
staff.title	STOZER
staff.coach	TRENER
staff.fire_selected	OTPUSTI ODABRANOG
staff.hire_coach	ZAPOSLI TRENERA
staff.training_focus	FOKUS TRENINGA
staff.no_coach_selected	NIJE ODABRAN TRENER
staff.no_coaches	NEMA TRENERA
# FIRE COACH
firecoach.title	OTPUSTI TRENERA
firecoach.coach_not_available	TRENER NEDOSTUPAN
firecoach.severance_prefix	OTPREMNINA
firecoach.fire	OTPUSTI
firecoach.fired_prefix	OTPUSTEN
# HIRE COACH
hire.title	ZAPOSLI TRENERA
hire.candidate	KANDIDAT
hire.hire	ZAPOSLI
hire.hired_prefix	ZAPOSLEN
# TRAINING FOCUS
focus.title	FOKUS TRENINGA
focus.toggle	PROMIJENI FOKUS
focus.removed_prefix	UKLONJEN
focus.focused_prefix	FOKUSIRAN
focus.max_prefix	MAKS
focus.max_suffix	FOKUS IGRACA
focus.mark	*
# SCOUTING
scout.title	SKAUTIRANJE
scout.scout_player	SKAUTIRAJ IGRACA
scout.improve_prefix	POBOLJSAJ SKAUTIRANJE
scout.maxed	SKAUTIRANJE MAX
scout.unavailable	SKAUTIRANJE NEDOSTUPNO
scout.quality_prefix	KVALITETA SKAUTA
scout.no_watched	NEMA PRACENIH IGRACA
scout.scout_selected	SKAUTIRAJ ODABRANOG
scout.scout_prefix	SKAUTIRAJ
scout.scouted_prefix	SKAUTIRAN
scout.cost_prefix	TROSAK
scout.no_players_available	NEMA DOSTUPNIH IGRACA
# TRANSFER MARKET
market.title	TRANSFER TRZISTE
market.max_price	MAX CIJENA
market.buy_selected	KUPI ODABRANOG
market.no_player_selected	NIJE ODABRAN IGRAC
market.free_agent	SLOBODAN IGRAC
market.club_fallback_prefix	KLUB
market.price_any	SVE
market.price_100k	<100K
market.price_250k	<250K
market.price_500k	<500K
market.price_1m	<1M
market.price_2m	<2M
market.price_5m	<5M
market.price_10m	<10M
market.price_over_10m	>=10M
# BUY / NEGOTIATION
buy.title	KUPI IGRACA
buy.asking_prefix	TRAZE
buy.your_bid	TVOJA PONUDA
buy.make_bid	PONUDI
buy.club_unwilling	KLUB NE ZELI KUPOVATI IGRACE
buy.no_time	NEMA VISE VREMENA ZA PREGOVORE
buy.enter_a_bid	UNESI PONUDU
buy.not_enough_money	NEMA DOVOLJNO NOVCA
buy.bought_prefix	KUPLJEN
buy.squad_full	MOMCAD PUNA
buy.transfer_failed	TRANSFER NEUSPJESAN
buy.counter_prefix	PROTUPONUDA
buy.rejected	PONUDA PRENISKA - ODBIJENO
# INCOMING OFFERS
offers.title	TRANSFER PONUDE
offers.no_offers	NEMA PONUDA
offers.offer	PONUDA
offers.accept	PRIHVATI
offers.demand_more	TRAZI VISE
offers.reject	ODBIJ
offers.header_negotiate_prefix	VRIJEME ZA PREGOVORE
offers.header_sells	PRODAJE
offers.not_available	PONUDA NEDOSTUPNA
offers.sold_prefix	PRODAN
offers.sold_for	ZA
offers.squad_too_small	MOMCAD PREMALA
offers.accept_failed	PRIHVACANJE NEUSPJESNO
offers.improved_prefix	POVECANO NA
offers.withdrawn	PONUDA POVUCENA
offers.refused	NE ZELE PLATITI VISE
offers.rejected	PONUDA ODBIJENA
# MATCH HUD / OVERLAYS
hud.half_time	POLUVRIJEME
hud.full_time	KRAJ MECA
hud.penalties	PENALI
hud.paused	PAUZA
hud.pause_resume_hint	razmak  nastavi
hud.pause_quit_hint	ESC    izlaz u izbornik
hud.goal	GOL!
hud.throw_in	UBACIVANJE
hud.corner	KORNER
hud.goal_kick	UDARAC S VRATA
hud.press_space	pritisni razmak
hud.team_home_fallback	DOMACIN
hud.team_away_fallback	GOST
goal.type_penalty	(PEN)
goal.type_own_goal	(AG)
# S34 additions
bench.coach	TRENER
bench.coming_on	ULAZI: {0}
bench.fire_swap	FIRE ODABIR+ODABIR = ZAMJENA
bench.formation	FORMACIJA
bench.formation_colon	FORMACIJA:
bench.help_leave	LIJEVO/DESNO NAPUSTI KLUPU
bench.help_select	GORE/DOLJE ODABIR  FIRE OK
bench.hold_mark	DRZI FIRE = CUVAJ IGRACA
bench.player_off	IZLAZI:
bench.sub_in_progress	IZMJENA U TIJEKU...
bench.swap_formation	ZAMJENA / FORMACIJA:
bench.tag_inj	 OZL
bench.tag_off	 [VAN]
bench.tag_sub	 [ZAM]
bench.title	KLUPA - {0}
bench.user	IGRAC {0}
career.dash_div_season	LIGA {0}  SEZONA {1}
career.price_any	BILO KOJA
career.rec_pwdl	O {0}   P {1}   N {2}   I {3}   ZG {4}   PG {5}
career.rec_season_div	SEZONA {0}  {1}  LIGA {2}
career.release_confirm	OTPUSTITI {0} BESPLATNO?
career.skill_letters	DBGOKUZ
career.title_mr	G.
career.title_ms	GDA
comp.competition_complete	NATJECANJE ZAVRSENO
comp.cup	KUP
comp.entrants_random	NASUMICNO
comp.entrants_same_div	ISTA LIGA
comp.entrants_same_nation	ISTA DRZAVA
comp.league_round	LIGA - KOLO {0}/{1}
comp.name_career	KARIJERA
comp.name_cup	KUP
comp.name_league	LIGA
comp.name_tournament	TURNIR
comp.no_fixtures	NEMA MECEVA
comp.no_player_team	NEMA IGRACEVE EKIPE
comp.ord_nd	.
comp.ord_rd	.
comp.ord_st	.
comp.ord_th	.
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	KUP POBJEDNIKA KUPOVA
comp.preset_european_championship	EUROPSKO PRVENSTVO
comp.preset_european_cup	KUP PRVAKA
comp.preset_uefa_cup	UEFA KUP
comp.preset_world_cup	SVJETSKO PRVENSTVO
comp.slot_finished	ZAVRSENO
comp.slot_no_team	NEMA EKIPE
comp.slot_round	KOLO {0}/{1}
comp.slot_winner	POBJEDNIK {0}
comp.stage_final	FINALE
comp.stage_group	SKUPINA
comp.stage_league	LIGA
comp.stage_quarter	CETVRTFINALE
comp.stage_r16	OSMINA FINALA
comp.stage_r32	SESNAESTINA FINALA
comp.stage_round_of	RUNDA
comp.stage_semi	POLUFINALE
comp.you_are_pos	TI SI {0}
comp.you_champion	TI SI PRVAK
comp.you_eliminated	ISPAO SI
comp.you_in	U {0} SI
comp.you_in_the	U {0} SI
comp.you_through	PROLAZIS U SLJEDECU RUNDU
comp.you_unplaced	BEZ PLASMANA
firstrun.body	NEMA PODATAKA SWOS IGRE.\n\nOPENSWOS TREBA SENSIBLE WORLD OF SOCCER 96/97 (AMIGA IZDANJE).\nDVIJE OPCIJE - ZATIM PONOVNO POKRENI IGRU:\n\n  (A) UBACI AMIGA SLIKE DISKETA (*.adf) U:\n        {0}\n      OPENSWOS RASPAKIRA STO TREBA PRI SLJEDECEM POKRETANJU.\n\n  (B) VEC IMAS RASUTE DATOTEKE IGRE (NPR. WHDLOAD INSTALACIJA)?\n      KOPIRAJ IH U:\n        {1}\n\nOPCIONALNO: UBACI PC (DOS) DATA MAPU U 'original_swos_pc/' ZA\nNESTO VECI POPIS EKIPA - NIJE NUZNO I NE MIJENJA GRAFIKU.\n\nRANIJA SWOS IZDANJA (94/95 ITD.) NISU KOMPATIBILNA.
menu.team_coach_div	TRENER {0}   LIGA {1}
menu.team_div	LIGA {0}
menu.versus	  V
nation.continent_africa	AFRIKA
nation.continent_asia	AZIJA
nation.continent_europe	EUROPA
nation.continent_north_america	SJEVERNA AMERIKA
nation.continent_oceania	OKEANIJA
nation.continent_south_america	JUZNA AMERIKA
nav.hint_menu	GORE/DOLJE ODABIR   FIRE OK   ESC NAZAD
nav.hint_picker	GORE/DOLJE POMAK   FIRE ODABERI   ESC ODUSTANI
nav.hint_picker_cols	GORE/DOLJE POMAK   LIJEVO/DESNO STUPAC   FIRE ODABERI   ESC ODUSTANI
nav.hint_stepper	GORE/DOLJE ODABIR   LIJEVO/DESNO PROMIJENI   FIRE OK   ESC NAZAD
nav.hint_table	GORE/DOLJE RED   FIRE OK   ESC NAZAD
opt.commentator	KOMENTATOR
opt.commentator_hint	GOVORNI KOMENTAR (SAMO PC ZVUK)
opt.display_fullfill	POPUNI EKRAN
opt.display_fullinteger	CJELOBROJNO
opt.display_unknown	?
opt.display_windowed	U PROZORU
opt.len_min_whole	{0} MIN STVARNO  (CIJELI MEC)
opt.len_sec_whole	{0}S STVARNO  (CIJELI MEC)
opt.smoothing_sharp	OSTRO
overlay.corner	KORNER
overlay.fulltime	KRAJ MECA
overlay.fulltime_body	KRAJ MECA\n\n{0}  {1} - {2}  {3}\n\npritisni razmak
overlay.goal	GOL!
overlay.goalkick	UDARAC S VRATA
overlay.halftime	POLUVRIJEME
overlay.paused	PAUZA\n\nrazmak  nastavi\nESC    izlaz u izbornik
overlay.penalties	PENALI
overlay.throwin	UBACIVANJE
pos.a	N
pos.d	B
pos.gk	VR
pos.lb	LB
pos.lw	LK
pos.m	V
pos.none	--
pos.rb	DB
pos.rw	DK
pos.unknown	?
result.away	GOST
result.home	DOMACIN
result.og	(AG)
result.pen	(PEN)
scout.notice_maxed	SKAUTIRANJE MAX
scout.notice_no_money	NEMA DOVOLJNO NOVCA
scout.notice_player_unavailable	IGRAC NEDOSTUPAN
scout.notice_unavailable	SKAUTIRANJE NEDOSTUPNO
staff.notice_coach_unavailable	TRENER NEDOSTUPAN
staff.notice_focus_full	FOKUS PUN
staff.notice_full	STOZER PUN
staff.notice_no_money	NEMA DOVOLJNO NOVCA
staff.notice_player_unavailable	IGRAC NEDOSTUPAN
staff.notice_unavailable	STOZER NEDOSTUPAN
staff.spec_attack	NAPAD
staff.spec_defence	OBRANA
staff.spec_general	OPCENITO
staff.spec_youth	MLADI
# FINANCES (career depth plan feature 1)
dash.finances	FINANCIJE
fin.title	FINANCIJE
fin.show_history	SEZONA PO SEZONA
fin.show_sheet	OVA SEZONA
fin.no_season	NEMA ZAVRSENE SEZONE
fin.drawn_up	OBRACUN SE RADI NA KRAJU SEZONE
fin.col_season	SEZONA
fin.col_league	LIGA
fin.col_cup	KUP
fin.col_income	PRIHODI
fin.col_wages	PLACE
fin.col_balance	STANJE
fin.season	SEZONA
fin.league	LIGA
fin.cup	KUP
fin.home_games	DOMACE UTAKMICE
fin.crowd	GLEDATELJA
fin.row.opening	STANJE NA POCETKU SEZONE:
fin.row.gate	PRIHOD OD ULAZNICA:
fin.row.bonuses	PREMIJE + TV PRAVA:
fin.row.sponsor	SPONZORSTVO SENSISOFT PLC:
fin.row.invest	DODATNO ULAGANJE PREDSJEDNIKA:
fin.row.invest_new	DODATNO ULAGANJE NOVOG PREDSJEDNIKA:
fin.row.wages	PLACE IGRACA:
fin.row.profit	UKUPNA DOBIT:
fin.row.loss	UKUPNI GUBITAK:
fin.row.closing	NOVO STANJE:
fin.row.sales	PRODAJA IGRACA:
fin.row.purchases	KUPNJA IGRACA:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	PREDSJEDNIK
dash.status_sacked	SMIJENJEN
chair.title	PREDSJEDNIK
chair.memo	DOPIS
chair.none	NEMA DOPISA
chair.memo_header	DOPIS PREDSJEDNIKA KLUBA
chair.memo_sign	VAS PREDSJEDNIK
chair.earlier	RANIJI DOPISI
opt.board	UPRAVA
opt.board_hint	KOLIKO BRZO TE PREDSJEDNIK SMIJENI
opt.board_patient	STRPLJIVA
opt.board_normal	NORMALNA
opt.board_ruthless	NEMILOSRDNA
chair.verdict0.1	BRAVO %a, ODRADIO SI IZVRSTAN POSAO
chair.verdict0.2	OVE SEZONE I SVI TO CIJENIMO
chair.verdict1.1	DOBRA SEZONA %a, SVI SMO VRLO
chair.verdict1.2	ZADOVOLJNI, SAMO NASTAVI TAKO
chair.verdict2.1	PROMJENJIVA SEZONA %a, SVI SE NADAMO
chair.verdict2.2	SKOROM POBOLJSANJU
chair.verdict3.1	NE BAS DOBRA SEZONA %a, NADAMO SE DA
chair.verdict3.2	IDUCE SEZONE POPRAVIS REZULTATE
chair.verdict4.1	VRLO RAZOCARAVAJUCA SEZONA %a, TRAZIMO
chair.verdict4.2	PUNO VISE OD TEBE IDUCE SEZONE
chair.sacked_league.1	S VELIKIM ZALJENJEM UPRAVA I JA
chair.sacked_league.2	ODLUCILI SMO TE RAZRIJESITI DUZNOSTI
chair.not_renewed.1	S VELIKIM ZALJENJEM ODLUCILI SMO
chair.not_renewed.2	NE PRODULJITI TVOJ UGOVOR - SRETNO
chair.not_renewed.3	I VESELIMO SE SKOROM SUSRETU
chair.league_note.1	OBRATI POZORNOST NA NAS POLOZAJ NA TABLICI I
chair.league_note.2	POBRINI SE DA SE STO PRIJE POPRAVI
chair.league_warn.1	ZAPAMTI, AKO SE POLOZAJ USKORO NE POPRAVI
chair.league_warn.2	MORAT CEMO PREISPITATI TVOJ POLOZAJ
chair.league_crisis.1	NAKON GLASOVANJA O POVJERENJU IMAS NAJVISE
chair.league_crisis.2	3 UTAKMICE ZA PREOKRET ILI SI SMIJENJEN
chair.money_note.1	OBRATI POZORNOST NA STANJE NA RACUNU I
chair.money_note.2	POBRINI SE DA SE MINUS STO PRIJE POKRIJE
chair.money_warn.1	SAMO PODSJETNIK O MINUSU NA RACUNU
chair.money_warn.2	INACE CEMO MORATI PREISPITATI TVOJ POLOZAJ
chair.money_crisis.1	NAKON KRIZNOG SASTANKA UPRAVE TRAZIMO
chair.money_crisis.2	HITNO POKRIVANJE MINUSA ILI SI SMIJENJEN
chair.new_season.1	SAMO NEKOLIKO RIJECI ZA SVAKO DOBRO U
chair.new_season.2	NOVOJ SEZONI
chair.embargo_buy.1	ZAO MI JE %a, KLUB NIJE SPREMAN
chair.embargo_buy.2	KUPOVATI JOS IGRACA OVE SEZONE
chair.embargo_sell.1	IMAJ NA UMU %a DA NECEMO DOPUSTITI
chair.embargo_sell.2	DALJNJE PRODAJE IGRACA OVE SEZONE
chair.sacked_money.1	S VELIKIM ZALJENJEM UPRAVA I JA
chair.sacked_money.2	ODLUCILI SMO TE RAZRIJESITI DUZNOSTI
# JOB OFFERS (career depth plan feature #3)
job.title	PONUDE ZA POSAO
job.none	NEMA PONUDA
job.offer	PONUDA
job.accept	PRIHVATI
job.decline	ODBIJ
job.declined	PONUDA ODBIJENA
job.not_available	PONUDA NIJE DOSTUPNA
job.signed_prefix	DOGOVORENO S
job.new_job	NOVI POSAO
job.reputation	UGLED
job.rep_world	SVJETSKA KLASA
job.rep_high	VISOKO CIJENJEN
job.rep_good	CIJENJEN
job.rep_known	POZNAT
job.rep_unproven	NEDOKAZAN
job.rep_unwanted	NEZELJEN
job.division	LIGA
job.squad	SASTAV
job.letter_header	PONUDA ZA POSAO OD %a
job.letter.1	POSTOVANI
job.letter.2	MI U %a ZELIMO VAM PONUDITI
job.letter.3	MJESTO TRENERA ZA SLJEDECU SEZONU
job.letter.4	NUDIMO VAM VRLO DOBRU PLACU I
job.letter.5	NADAMO SE DA CEMO OSIGURATI SREDSTVA
job.letter.6	OKO %b ZA POJACANJA
job.letter.7	RADUJEMO SE VASEM ODGOVORU
job.accepted_note	PRIHVATILI STE - ODLAZAK JE SLJEDECE SEZONE
job.waiting_prefix	CEKAT CE JOS
job.waiting_suffix	UTAKMICA
job.accepted.1	MI U %a ODUSEVLJENI SMO STO STE
job.accepted.2	PRIHVATILI MJESTO TRENERA U NASEM KLUBU
job.accepted.3	OD POCETKA SLJEDECE SEZONE
job.farewell.1	HVALA NA SVEMU %a, ZELIMO VAM
job.farewell.2	SVE NAJBOLJE NA NOVOM POSLU
job.welcome.1	DOBRODOSLI %a, RADUJEMO SE MNOGIM
job.welcome.2	USPJESIMA NASE NOVE SURADNJE
job.withdrawn.1	PONUDA ZA POSAO OD %a POVUCENA
# board expectation line (feature #2 follow-up)
chair.expected	UPRAVA JE OCEKIVALA
chair.of	OD
chair.finished	ZAVRSILI STE
chair.expects	UPRAVA OCEKUJE
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	REPREZENTACIJA
natjob.entry_offer	MEDUNARODNA PONUDA ZA POSAO
natjob.title	REPREZENTACIJA
natjob.title_offer	MEDUNARODNA PONUDA ZA POSAO
natjob.player	IGRAC
natjob.add	DODAJ IGRACA
natjob.remove	MAKNI IGRACA
natjob.auto	AUTOMATSKI ODABIR
natjob.resign	DAJ OSTAVKU
natjob.full	SASTAV JE PUN
natjob.appointed	IZBORNIK
natjob.none	NEMA REPREZENTATIVNOG POSLA
natjob.no_players	NEMA DOSTUPNIH IGRACA
natjob.squad_word	SASTAV
natjob.rating	OCJENA
natjob.home	DOMA
natjob.abroad	INOZEMSTVO
natjob.col_name	IME
natjob.col_pos	POZ
natjob.col_ovr	UKU
natjob.col_where	GDJE
natjob.col_club	KLUB
natjob.letter_header	MEDUNARODNA PONUDA ZA POSAO OD %a
natjob.offer.1	CLANOVI NOGOMETNOG ODBORA
natjob.offer.2	%a ZELE VAM PONUDITI POSAO
natjob.offer.3	IZBORNIKA REPREZENTACIJE
natjob.offer.4	OBECAVAMO VAM ODLICNU PLACU I
