key	sk
versus.view_result	ZOBRAZIT VYSLEDOK
# STADIUM
stadium.title	TIMY
stadium.kick_off	VYKOP
stadium.edit_lineup	UPRAVIT ZOSTAVU
# OPTIONS
opt.title	MOZNOSTI
opt.page	STRANA
opt.language	JAZYK
opt.half_length	DLZKA POLCASU
opt.game_speed	RYCHLOST HRY
opt.opponent	SUPER
opt.pitch	IHRISKO
opt.skill_scaling	SKALOVANIE UROVNE
opt.skill_scaling_hint	VERNE SWOS SKALOVANIE CENY HRACA
opt.all_teams_equal	VSETKY TIMY ROVNAKE
opt.all_teams_equal_hint	VYROVNA SILU TIMOV HRACOV
opt.pre_match_menus	MENU PRED ZAPASOM
opt.player_fatigue	UNAVA HRACOV
opt.energy_bar	PRUH ENERGIE
opt.music	HUDBA
opt.music_hint	AMIGA / PC / VLASTNA HUDBA MENU
opt.sound	ZVUK
opt.sound_hint	PC ALEBO AMIGA ZVUKY V ZAPASE
opt.display	ZOBRAZENIE
opt.display_hint	F11 PREPINA  ALT+ENTER CELA OBRAZOVKA
# OPTION VALUES
val.pitch_none	(ZIADNE)
val.pitch_random	NAHODNE
val.opponent_ai	AI
val.opponent_player2	HRAC 2  (WASD)
val.opponent_demo	DEMO  (AI V AI)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	VLASTNA
val.music_off	VYP
val.length_whole_match_seconds	%dS REALNE  (CELY ZAPAS)
val.length_whole_match_minutes	%d MIN REALNE  (CELY ZAPAS)
val.display_windowed	V OKNE
val.display_full_fill	CELA VYPLN
val.display_full_integer	CELA INT
# LOCAL MULTIPLAYER
mp.title	MIESTNA HRA VIAC HRACOV
mp.controls_hint	HRAC 1: SIPKY+MEDZERNIK   HRAC 2: WASD+SHIFT
mp.start	SPUSTIT ZAPAS 2 HRACOV
# PICKERS
pick.continent	KONTINENT
pick.country	KRAJINA
pick.your_team	VAS TIM
pick.all_countries	VSETKY KRAJINY
pick.all	VSETKY
pick.select_country	VYBER KRAJINU
pick.select_continent	VYBER KONTINENT
pick.select_your_team	VYBER SVOJ TIM
pick.home_team	DOMACI TIM
pick.away_team	HOSTUJUCI TIM
pick.nothing_to_choose	NIC NA VYBER
pick.item	POLOZKA
pick.more_down	VIAC v
# DRAW CEREMONY
draw.title_suffix	ZREB
# PLAY AGAIN
playagain.title	KONIEC ZAPASU
playagain.play_again	HRAT ZNOVA
playagain.exit	KONIEC
# COMPETITIONS HUB
comp.title	SUTAZE
comp.new_league	NOVA LIGA
comp.new_cup	NOVY POHAR
comp.new_tournament	NOVY TURNAJ
comp.preset_competition	HOTOVA SUTAZ
comp.new_career	NOVA KARIERA
comp.load_game	NACITAT HRU
# LEAGUE / CUP / TOURNAMENT SETUP
setup.league_title	NOVA LIGA
setup.cup_title	NOVY POHAR
setup.tournament_title	NOVY TURNAJ
setup.size	VELKOST
setup.teams_suffix	TIMOV
setup.entrants	UCASTNICI
setup.entrants_same_division	ROVNAKA DIVIZIA
setup.entrants_same_nation	ROVNAKA KRAJINA
setup.entrants_random	NAHODNE
setup.rounds	KOLA
setup.rounds_single	JEDNODUCHE
setup.rounds_double	DVOJITE
setup.groups	SKUPINY
setup.groups_of_4_suffix	SKUPIN PO 4
setup.create_league	VYTVORIT LIGU
setup.create_cup	VYTVORIT POHAR
setup.create_tournament	VYTVORIT TURNAJ
# CAREER SETUP
career.title	NOVA KARIERA
career.blurb_seasons	LIGA A DOMACI POHAR KAZDU SEZONU
career.blurb_promotion	VYHRAJ LIGU PRE POSTUP, POSLEDNY VYPADNE
career.start	ZACAT KARIERU
# MANAGER NAME ENTRY
mgr.title	MENO MANAZERA
mgr.hint	PISTE MENO   VLAVO/VPRAVO TITUL   ENTER OK   ESC ZRUSIT
mgr.title_row	TITUL
mgr.title_mr	PAN
mgr.title_ms	PANI
mgr.default_name	HRAC
# COMPETITION DASHBOARD
dash.play_next_match	HRAT DALSI ZAPAS
dash.continue	POKRACOVAT
dash.next_season	DALSIA SEZONA
dash.table	TABULKA
dash.fixtures	ZAPASY
dash.squad	KADER
dash.lineup	ZOSTAVA
dash.transfers	PRESTUPY
dash.staff	PERSONAL
dash.scouting	SKAUTING
dash.record	ZAZNAM
dash.save_as	ULOZIT AKO
dash.retire	SKONCIT
dash.abandon	OPUSTIT
dash.management_record	MANAZERSKY ZAZNAM
dash.status_retired	SKONCIL
dash.status_champions	MAJSTER:
dash.status_eliminated	VYRADENY
dash.offers_prefix	PONUKY
dash.offers_unseen_mark	!
# NEXT MATCH / VIEW RESULT
next.title	DALSI ZAPAS
result.title	KONIEC ZAPASU
result.label	VYSLEDOK
# MANAGEMENT RECORD
mrec.title	MANAZERSKY ZAZNAM
mrec.title_of_prefix	MANAZERSKY ZAZNAM
mrec.career_over	KONIEC KARIERY
mrec.season	SEZONA
mrec.div	DIV
mrec.trophies	TROFEJE
mrec.none_yet	ZATIAL ZIADNE
mrec.history	HISTORIA
mrec.first_season	PRVA SEZONA PREBIEHA
# RETIRE CONFIRM
retire.title	SKONCIT
retire.prompt	SKONCIT S MANAZOVANIM?
retire.confirm	SKONCIT
# PRESET COMPETITIONS
preset.title	HOTOVA SUTAZ
preset.blurb	SKUTOCNE SUTAZE SO SKUTOCNYMI UCASTNIKMI
preset.european_cup	EUROPSKY POHAR
preset.uefa_cup	POHAR UEFA
preset.cup_winners_cup	POHAR VITAZOV POHAROV
preset.world_cup	MAJSTROVSTVA SVETA
preset.european_championship	MAJSTROVSTVA EUROPY
preset.copa_america	COPA AMERICA
preset.team_knockout_suffix	TIMOV VYRADOVACKA
preset.groups_then_knockout_suffix	SKUPIN PO 4 POTOM VYRADOVACKA
preset.create	VYTVORIT
# SAVE AS / LOAD GAME
save.title	ULOZIT AKO
save.hint	PISTE NAZOV   ENTER OK   ESC ZRUSIT
save.saved_as_prefix	ULOZENE AKO
load.title	NACITAT HRU
load.delete_mode	REZIM MAZANIA
load.no_saved_games	ZIADNE ULOZENE HRY
# STANDINGS / FIXTURES
table.title	TABULKA
table.group	SKUPINA
fixtures.title	ZAPASY
# TEAM SETUP
teamcfg.title	NASTAVENIE TIMU
teamcfg.team	TIM
teamcfg.team_home_prefix	DOMACI
teamcfg.team_away_prefix	HOSTIA
teamcfg.switch_home_away	PREPNUT DOMACI / HOSTIA
teamcfg.coach	TRENER
# COMPETITION ENGINE
stage.league	LIGA
stage.group_prefix	SKUPINA
stage.final	FINALE
stage.semi_final	SEMIFINALE
stage.quarter_final	STVRTFINALE
stage.round_of_16	OSEMFINALE
stage.round_of_32	1/16 FINALE
stage.round_of_prefix	KOLO O
stage.cup_prefix	POHAR
round.league_round	LIGA - KOLO
round.competition_complete	SUTAZ UKONCENA
round.no_fixtures	ZIADNE ZAPASY
status.no_player_team	ZIADNY TIM HRACA
status.you_are_champion	STE MAJSTER
status.you_are_prefix	STE
status.you_are_unplaced	NIE STE UMIESTNENY
status.you_were_eliminated	BOLI STE VYRADENY
status.you_are_through	POSTUPUJETE DO DALSIEHO KOLA
status.you_are_in_prefix	STE V
status.you_are_in_the_prefix	STE V
ord.st	.
ord.nd	.
ord.rd	.
ord.th	.
season.cup_winner	VITAZ
season.cup_runner_up	FINALISTA
season.cup_out_in_prefix	VYPADOL V
season.cup_out	VYPADOL
season.trophy_league	SEZONA %d MAJSTER LIGY
season.trophy_cup	SEZONA %d VITAZ POHARA
season.history_line	S%d: LIGA %s, POHAR %s
season.history_retired	S%d: SKONCIL
fixture.penalties_mark	P
# CAREER SQUAD
squad.title_suffix	KADER
squad.default_club	KLUB
squad.player_action	AKCIA HRACA
squad.no_player_selected	ZIADNY HRAC VYBRANY
squad.fit_injured	ZRA
# PLAYER ACTION
paction.value_prefix	HODNOTA
paction.time_to_negotiate	CAS NA ROKOVANIE
paction.take_off_list	STIAHNUT ZO ZOZNAMU
paction.put_on_list	DAT NA PRESTUPOVY ZOZNAM
paction.give_free_transfer	UVOLNIT ZADARMO
paction.off_list_prefix	MIMO ZOZNAM
paction.listed_prefix	NA ZOZNAME
paction.list_full_prefix	ZOZNAM PLNY (MAX
# FREE TRANSFER
free.title	VOLNY PRESTUP
free.confirm_prompt	UVOLNIT %s ZADARMO?
free.release	UVOLNIT
free.released_prefix	UVOLNENY
free.squad_too_small	KADER PRILIS MALY
free.release_failed	UVOLNENIE ZLYHALO
# LINEUP EDITOR
lineup.title	ZOSTAVA TIMU
lineup.auto	AUTO
lineup.hint	HORE/DOLE RIADOK   OK VYBER/VYMENA   ESC SPAT
lineup.picked_prefix	VYBRANE
lineup.picked_swap_hint	- STLAC RIADOK NA VYMENU
lineup.unmarked_prefix	ODZNACENE
lineup.slot_not_available	POZICIA NEDOSTUPNA
lineup.goal_needs_keeper	BRANKA POTREBUJE BRANKARA
lineup.swapped_prefix	VYMENENE
lineup.swapped_and	A
lineup.auto_restored	AUTO ZOSTAVA OBNOVENA
lineup.auto_label	AUTO ZOSTAVA
lineup.custom_label	VLASTNA ZOSTAVA
lineup.slot	POZICIA
lineup.slot_gk	BR
lineup.slot_sub	NAH
# STAFF
staff.title	PERSONAL
staff.coach	TRENER
staff.fire_selected	PREPUSTIT VYBRANEHO
staff.hire_coach	NAJAT TRENERA
staff.training_focus	ZAMERANIE TRENINGU
staff.no_coach_selected	ZIADNY TRENER VYBRANY
staff.no_coaches	ZIADNI TRENERI
# FIRE COACH
firecoach.title	PREPUSTIT TRENERA
firecoach.coach_not_available	TRENER NEDOSTUPNY
firecoach.severance_prefix	ODSTUPNE
firecoach.fire	PREPUSTIT
firecoach.fired_prefix	PREPUSTENY
# HIRE COACH
hire.title	NAJAT TRENERA
hire.candidate	KANDIDAT
hire.hire	NAJAT
hire.hired_prefix	NAJATY
# TRAINING FOCUS
focus.title	ZAMERANIE TRENINGU
focus.toggle	PREPNUT ZAMERANIE
focus.removed_prefix	ODOBRANE
focus.focused_prefix	ZAMERANY
focus.max_prefix	MAX
focus.max_suffix	ZAMERANYCH HRACOV
focus.mark	*
# SCOUTING
scout.title	SKAUTING
scout.scout_player	SKAUTOVAT HRACA
scout.improve_prefix	ZLEPSIT SKAUTING
scout.maxed	SKAUTING NA MAXE
scout.unavailable	SKAUTING NEDOSTUPNY
scout.quality_prefix	KVALITA SKAUTA
scout.no_watched	ZIADNI SLEDOVANI HRACI
scout.scout_selected	SKAUTOVAT VYBRANEHO
scout.scout_prefix	SKAUTOVAT
scout.scouted_prefix	OSKAUTOVANY
scout.cost_prefix	CENA
scout.no_players_available	ZIADNI HRACI DOSTUPNI
# TRANSFER MARKET
market.title	PRESTUPOVY TRH
market.max_price	MAX CENA
market.buy_selected	KUPIT VYBRANEHO
market.no_player_selected	ZIADNY HRAC VYBRANY
market.free_agent	VOLNY HRAC
market.club_fallback_prefix	KLUB
market.price_any	VSETKY
market.price_100k	<100K
market.price_250k	<250K
market.price_500k	<500K
market.price_1m	<1M
market.price_2m	<2M
market.price_5m	<5M
market.price_10m	<10M
market.price_over_10m	>=10M
# BUY / NEGOTIATION
buy.title	KUPIT HRACA
buy.asking_prefix	ZIADA
buy.your_bid	VASA PONUKA
buy.make_bid	PONUKNUT
buy.club_unwilling	KLUB NECHCE KUPOVAT HRACOV
buy.no_time	UZ NIE JE CAS NA ROKOVANIE
buy.enter_a_bid	ZADAJTE PONUKU
buy.not_enough_money	NEDOSTATOK PENAZI
buy.bought_prefix	KUPENY
buy.squad_full	KADER PLNY
buy.transfer_failed	PRESTUP ZLYHAL
buy.counter_prefix	PROTIPONUKA
buy.rejected	PONUKA PRINIZKA - ODMIETNUTA
# INCOMING OFFERS
offers.title	PRESTUPOVE PONUKY
offers.no_offers	ZIADNE PONUKY
offers.offer	PONUKA
offers.accept	PRIJAT
offers.demand_more	ZIADAT VIAC
offers.reject	ODMIETNUT
offers.header_negotiate_prefix	CAS NA ROKOVANIE
offers.header_sells	PREDAJE
offers.not_available	PONUKA NEDOSTUPNA
offers.sold_prefix	PREDANY
offers.sold_for	ZA
offers.squad_too_small	KADER PRILIS MALY
offers.accept_failed	PRIJATIE ZLYHALO
offers.improved_prefix	ZVYSENE NA
offers.withdrawn	PONUKA STIAHNUTA
offers.refused	ODMIETAJU PLATIT VIAC
offers.rejected	PONUKA ODMIETNUTA
# MATCH HUD / OVERLAYS
hud.half_time	POLCAS
hud.full_time	KONIEC ZAPASU
hud.penalties	PENALTY
hud.paused	POZASTAVENE
hud.pause_resume_hint	medzernik  pokracovat
hud.pause_quit_hint	ESC    ukoncit do menu
hud.goal	GOL!
hud.throw_in	VHADZOVANIE
hud.corner	ROH
hud.goal_kick	KOP OD BRANY
hud.press_space	stlac medzernik
hud.team_home_fallback	DOMACI
hud.team_away_fallback	HOSTIA
goal.type_penalty	(PEN)
goal.type_own_goal	(VG)
# S34 additions
bench.coach	TRENER
bench.coming_on	PRICHADZA: {0}
bench.fire_swap	OK VYBER+VYBER = VYMENA
bench.formation	FORMACIA
bench.formation_colon	FORMACIA:
bench.help_leave	VLAVO/VPRAVO OPUSTIT LAVICKU
bench.help_select	HORE/DOLE VYBER  OK
bench.hold_mark	PODRZ OK = STRAZ HRACA
bench.player_off	ODCHADZA:
bench.sub_in_progress	STRIEDANIE PREBIEHA...
bench.swap_formation	VYMENA / FORMACIA:
bench.tag_inj	 ZRA
bench.tag_off	 [VON]
bench.tag_sub	 [STR]
bench.title	LAVICKA - {0}
bench.user	HRAC {0}
career.dash_div_season	DIV {0}  SEZONA {1}
career.price_any	LUBOVOLNA
career.rec_pwdl	Z {0}   V {1}   R {2}   P {3}   VG {4}   OG {5}
career.rec_season_div	SEZONA {0}  {1}  DIV {2}
career.release_confirm	UVOLNIT {0} ZADARMO?
career.skill_letters	PRHOKSZ
career.title_mr	P.
career.title_ms	PANI
comp.competition_complete	SUTAZ UKONCENA
comp.cup	POHAR
comp.entrants_random	NAHODNE
comp.entrants_same_div	ROVNAKA DIVIZIA
comp.entrants_same_nation	ROVNAKY NAROD
comp.league_round	LIGA - KOLO {0}/{1}
comp.name_career	KARIERA
comp.name_cup	POHAR
comp.name_league	LIGA
comp.name_tournament	TURNAJ
comp.no_fixtures	ZIADNE ZAPASY
comp.no_player_team	ZIADNY TIM HRACA
comp.ord_nd	.
comp.ord_rd	.
comp.ord_st	.
comp.ord_th	.
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	POHAR VITAZOV POHAROV
comp.preset_european_championship	MAJSTROVSTVA EUROPY
comp.preset_european_cup	EUROPSKY POHAR
comp.preset_uefa_cup	POHAR UEFA
comp.preset_world_cup	MAJSTROVSTVA SVETA
comp.slot_finished	UKONCENE
comp.slot_no_team	ZIADNY TIM
comp.slot_round	KOLO {0}/{1}
comp.slot_winner	VITAZ {0}
comp.stage_final	FINALE
comp.stage_group	SKUPINA
comp.stage_league	LIGA
comp.stage_quarter	STVRTFINALE
comp.stage_r16	OSEMFINALE
comp.stage_r32	1/16 FINALE
comp.stage_round_of	KOLO O
comp.stage_semi	SEMIFINALE
comp.you_are_pos	STE {0}
comp.you_champion	STE MAJSTER
comp.you_eliminated	VYPADLI STE
comp.you_in	STE V {0}
comp.you_in_the	STE V {0}
comp.you_through	POSTUPUJETE DO DALSIEHO KOLA
comp.you_unplaced	BEZ UMIESTNENIA
firstrun.body	ZIADNE DATA HRY SWOS.\n\nOPENSWOS POTREBUJE SENSIBLE WORLD OF SOCCER 96/97 (VERZIA AMIGA).\nDVE MOZNOSTI - POTOM ZNOVA SPUSTI HRU:\n\n  (A) VLOZ AMIGA OBRAZY DISKIET (*.adf) DO:\n        {0}\n      OPENSWOS ROZBALI POTREBNE SUBORY PRI DALSOM SPUSTENI.\n\n  (B) UZ MAS VOLNE SUBORY HRY (NAPR. INSTALACIA WHDLOAD)?\n      SKOPIRUJ ICH DO:\n        {1}\n\nVOLITELNE: VLOZ PC (DOS) DATA PRIECINOK DO 'original_swos_pc/' PRE\nTROCHU VACSI ZOZNAM TIMOV - NIE JE POTREBNE A NEMENI GRAFIKU.\n\nSTARSIE VERZIE SWOS (94/95 ATD.) NIE SU KOMPATIBILNE.
menu.team_coach_div	TRENER {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRIKA
nation.continent_asia	AZIA
nation.continent_europe	EUROPA
nation.continent_north_america	SEVERNA AMERIKA
nation.continent_oceania	OCEANIA
nation.continent_south_america	JUZNA AMERIKA
nav.hint_menu	HORE/DOLE VYBER   OK   ESC SPAT
nav.hint_picker	HORE/DOLE POSUN   OK VYBER   ESC ZRUSIT
nav.hint_picker_cols	HORE/DOLE POSUN   VLAVO/VPRAVO STLPEC   OK VYBER   ESC ZRUSIT
nav.hint_stepper	HORE/DOLE VYBER   VLAVO/VPRAVO ZMEN   OK   ESC SPAT
nav.hint_table	HORE/DOLE RIADOK   OK   ESC SPAT
opt.commentator	KOMENTATOR
opt.commentator_hint	HOVORENY KOMENTAR (LEN PC ZVUK)
opt.display_fullfill	VYPLNIT EKRAN
opt.display_fullinteger	CELOCISELNE
opt.display_unknown	?
opt.display_windowed	V OKNE
opt.len_min_whole	{0} MIN REAL  (CELY ZAPAS)
opt.len_sec_whole	{0}S REAL  (CELY ZAPAS)
opt.smoothing_sharp	OSTRE
overlay.corner	ROH
overlay.fulltime	KONIEC ZAPASU
overlay.fulltime_body	KONIEC ZAPASU\n\n{0}  {1} - {2}  {3}\n\nstlac medzernik
overlay.goal	GOL!
overlay.goalkick	KOP OD BRANY
overlay.halftime	POLCAS
overlay.paused	PAUZA\n\nmedzernik  pokracovat\nESC    ukoncit do menu
overlay.penalties	PENALTY
overlay.throwin	VHADZOVANIE
pos.a	U
pos.d	O
pos.gk	BR
pos.lb	LO
pos.lw	LK
pos.m	S
pos.none	--
pos.rb	PO
pos.rw	PK
pos.unknown	?
result.away	HOSTIA
result.home	DOMACI
result.og	(VG)
result.pen	(PEN)
scout.notice_maxed	SKAUTING NA MAXE
scout.notice_no_money	NEDOSTATOK PENAZI
scout.notice_player_unavailable	HRAC NEDOSTUPNY
scout.notice_unavailable	SKAUTING NEDOSTUPNY
staff.notice_coach_unavailable	TRENER NEDOSTUPNY
staff.notice_focus_full	FOKUS PLNY
staff.notice_full	PERSONAL PLNY
staff.notice_no_money	NEDOSTATOK PENAZI
staff.notice_player_unavailable	HRAC NEDOSTUPNY
staff.notice_unavailable	PERSONAL NEDOSTUPNY
staff.spec_attack	UTOK
staff.spec_defence	OBRANA
staff.spec_general	VSEOBECNY
staff.spec_youth	MLADEZ
# FINANCES (career depth plan feature 1)
dash.finances	FINANCIE
fin.title	FINANCIE
fin.show_history	SEZONA PO SEZONE
fin.show_sheet	TATO SEZONA
fin.no_season	ZIADNA DOKONCENA SEZONA
fin.drawn_up	UCTOVNICTVO SA UZATVARA NA KONCI SEZONY
fin.col_season	SEZONA
fin.col_league	LIGA
fin.col_cup	POHAR
fin.col_income	PRIJMY
fin.col_wages	MZDY
fin.col_balance	ZOSTATOK
fin.season	SEZONA
fin.league	LIGA
fin.cup	POHAR
fin.home_games	DOMACE ZAPASY
fin.crowd	DIVAKOV
fin.row.opening	ZOSTATOK NA ZACIATKU SEZONY:
fin.row.gate	TRZBY ZO VSTUPNEHO:
fin.row.bonuses	PREMIE + TV PRAVA:
fin.row.sponsor	SPONZORING OD SENSISOFT PLC:
fin.row.invest	DODATOCNA INVESTICIA PREZIDENTA:
fin.row.invest_new	DODATOCNA INVESTICIA NOVEHO PREZIDENTA:
fin.row.wages	MZDY HRACOV:
fin.row.profit	CELKOVY ZISK:
fin.row.loss	CELKOVA STRATA:
fin.row.closing	NOVY ZOSTATOK:
fin.row.sales	PREDAJE HRACOV:
fin.row.purchases	NAKUPY HRACOV:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	PREZIDENT
dash.status_sacked	ODVOLANY
chair.title	PREZIDENT
chair.memo	LIST
chair.none	ZIADNE LISTY
chair.memo_header	LIST OD PREZIDENTA KLUBU
chair.memo_sign	VAS PREZIDENT
chair.earlier	STARSIE LISTY
opt.board	VEDENIE
opt.board_hint	AKO RYCHLO TA PREZIDENT ODVOLA
opt.board_patient	TRPEZLIVE
opt.board_normal	NORMALNE
opt.board_ruthless	NEMILOSRDNE
chair.verdict0.1	VYBORNE %a, ODVIEDOL SI SKVELU PRACU
chair.verdict0.2	V TEJTO SEZONE A VSETCI SI TO VAZIME
chair.verdict1.1	DOBRA SEZONA %a, VSETCI SME VELMI
chair.verdict1.2	SPOKOJNI, LEN TAK DALEJ
chair.verdict2.1	KOLISAVA SEZONA %a, VSETCI DUFAME
chair.verdict2.2	V SKORE ZLEPSENIE
chair.verdict3.1	NIE PRILIS DOBRA SEZONA %a, DUFAME ZE
chair.verdict3.2	BUDUCU SEZONU VYSLEDKY ZLEPSIS
chair.verdict4.1	VELMI SKLAMANA SEZONA %a, ZIADAME
chair.verdict4.2	BUDUCU SEZONU OVELA VIAC
chair.sacked_league.1	S VELKOU LUTOSTOU SME SA S VEDENIM
chair.sacked_league.2	ROZHODLI ZBAVIT TA FUNKCIE - KONCIS
chair.not_renewed.1	S VELKOU LUTOSTOU SME SA ROZHODLI
chair.not_renewed.2	NEPREDLZIT TVOJU ZMLUVU - VELA STASTIA
chair.not_renewed.3	A TESIME SA NA SKORE STRETNUTIE
chair.league_note.1	VSIMNI SI NASU POZICIU V TABULKE A
chair.league_note.2	ZABEZPEC CO NAJRYCHLEJSIE ZLEPSENIE
chair.league_warn.1	PAMATAJ, AK SA POZICIA COSKORO NEZLEPSI
chair.league_warn.2	BUDEME MUSIET ZVAZIT TVOJE POSTAVENIE
chair.league_crisis.1	PO HLASOVANI O DOVERE MAS NAJVIAC
chair.league_crisis.2	3 ZAPASY NA OBRAT ALEBO BUDES ODVOLANY
chair.money_note.1	VSIMNI SI STAV NASHO UCTU A
chair.money_note.2	ZABEZPEC CO NAJRYCHLEJSIE SPLATENIE DLHU
chair.money_warn.1	LEN PRIPOMIENKA OHLADOM DLHU NA UCTE
chair.money_warn.2	INAK BUDEME MUSIET ZVAZIT TVOJE POSTAVENIE
chair.money_crisis.1	PO KRIZOVOM ROKOVANI VEDENIA ZIADAME
chair.money_crisis.2	OKAMZITE SPLATENIE DLHU ALEBO KONCIS
chair.new_season.1	LEN PAR RIADKOV S PRIANIM USPECHU V
chair.new_season.2	NOVEJ SEZONE
chair.embargo_buy.1	PREPAC %a, ALE KLUB NIE JE OCHOTNY
chair.embargo_buy.2	V TEJTO SEZONE KUPOVAT DALSICH HRACOV
chair.embargo_sell.1	VEZMI NA VEDOMIE %a, ZE NEPOVOLIME
chair.embargo_sell.2	DALSIE PREDAJE HRACOV V TEJTO SEZONE
chair.sacked_money.1	S VELKOU LUTOSTOU SME SA S VEDENIM
chair.sacked_money.2	ROZHODLI ZBAVIT TA FUNKCIE - KONCIS
# JOB OFFERS (career depth plan feature #3)
job.title	PONUKY PRACE
job.none	ZIADNE PONUKY PRACE
job.offer	PONUKA
job.accept	PRIJAT
job.decline	ODMIETNUT
job.declined	PONUKA ODMIETNUTA
job.not_available	PONUKA NIE JE DOSTUPNA
job.signed_prefix	DOHODNUTE S
job.new_job	NOVE MIESTO
job.reputation	POVEST
job.rep_world	SVETOVA TRIEDA
job.rep_high	VYSOKO CENENY
job.rep_good	UZNAVANY
job.rep_known	ZNAMY
job.rep_unproven	NEOVERENY
job.rep_unwanted	NEZIADUCI
job.division	LIGA
job.squad	KADER
job.letter_header	PONUKA PRACE OD %a
job.letter.1	VAZENY PAN/PANI
job.letter.2	MY TU V %a BY SME VAM RADI PONUKLI
job.letter.3	MIESTO TRENERA V NASOM KLUBE NA BUDUCU SEZONU
job.letter.4	MOZEME VAM PONUKNUT VELMI DOBRY PLAT A
job.letter.5	DUFAME, ZE UVOLNIME PROSTRIEDKY
job.letter.6	OKOLO %b NA POSILNENIE TIMU
job.letter.7	TESIME SA NA VASU ODPOVED
job.accepted_note	PRIJALI STE - PRESTUP BUDE BUDUCU SEZONU
job.waiting_prefix	BUDU CAKAT ESTE
job.waiting_suffix	ZAPASOV
job.accepted.1	MY TU V %a SME NADSENI, ZE STE
job.accepted.2	PRIJALI MIESTO TRENERA V NASOM KLUBE
job.accepted.3	OD ZACIATKU BUDUCEJ SEZONY
job.farewell.1	VDAKA ZA VSETKO %a, ZELAME VAM
job.farewell.2	VELA STASTIA V NOVOM POSOBISKU
job.welcome.1	VITAJTE %a, TESIME SA NA MNOHO
job.welcome.2	USPECHOV Z NASEJ NOVEJ SPOLUPRACE
job.withdrawn.1	PONUKA PRACE OD %a STIAHNUTA
# board expectation line (feature #2 follow-up)
chair.expected	VEDENIE CAKALO
chair.of	Z
chair.finished	SKONCILI STE
chair.expects	VEDENIE OCAKAVA
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	REPREZENTACIA
natjob.entry_offer	MEDZINARODNA PONUKA PRACE
natjob.title	REPREZENTACIA
natjob.title_offer	MEDZINARODNA PONUKA PRACE
natjob.player	HRAC
natjob.add	PRIDAT HRACA
natjob.remove	ODOBRAT HRACA
natjob.auto	AUTOMATICKY VYBER
natjob.resign	ODSTUPIT
natjob.full	KADER JE PLNY
natjob.appointed	TRENER
natjob.none	ZIADNE REPREZENTACNE MIESTO
natjob.no_players	ZIADNI HRACI
natjob.squad_word	KADER
natjob.rating	HODNOTENIE
natjob.home	DOMA
natjob.abroad	V ZAHRANICI
natjob.col_name	MENO
natjob.col_pos	POZ
natjob.col_ovr	CEL
natjob.col_where	KDE
natjob.col_club	KLUB
natjob.letter_header	MEDZINARODNA PONUKA PRACE OD %a
natjob.offer.1	CLENOVIA FUTBALOVEHO VYBORU
natjob.offer.2	%a BY VAM RADI PONUKLI MIESTO
natjob.offer.3	TRENERA NARODNEHO TIMU
natjob.offer.4	MOZEME VAM SLUBIT VYBORNY PLAT A
