key	da
round.league_round	LIGA - RUNDE
round.competition_complete	TURNERING FAERDIG
round.no_fixtures	INGEN KAMPE
status.no_player_team	INTET SPILLERHOLD
status.you_are_champion	DU ER MESTER
status.you_are_prefix	DU ER
status.you_are_unplaced	DU ER UPLACERET
status.you_were_eliminated	DU BLEV ELIMINERET
status.you_are_through	DU ER VIDERE TIL NAESTE RUNDE
status.you_are_in_prefix	DU ER I
status.you_are_in_the_prefix	DU ER I
ord.st	.
ord.nd	.
ord.rd	.
ord.th	.
season.cup_winner	VINDER
season.cup_runner_up	2. PLADS
season.cup_out_in_prefix	UDE I
season.cup_out	UDE
season.trophy_league	SAESON %d LIGAMESTRE
season.trophy_cup	SAESON %d POKALVINDERE
season.history_line	S%d: LIGA %s, POKAL %s
season.history_retired	S%d: STOPPET
fixture.penalties_mark	S
# CAREER SQUAD
squad.title_suffix	TRUP
squad.default_club	KLUB
squad.player_action	SPILLERHANDLING
squad.no_player_selected	INGEN SPILLER VALGT
squad.fit_injured	SKD
# PLAYER ACTION
paction.value_prefix	VAERDI
paction.time_to_negotiate	TID TIL FORHANDLING
paction.take_off_list	FJERN FRA LISTE
paction.put_on_list	SAET PA TRANSFERLISTE
paction.give_free_transfer	GIV GRATIS TRANSFER
paction.off_list_prefix	AF LISTE
paction.listed_prefix	PA LISTE
paction.list_full_prefix	LISTE FULD (MAX
# FREE TRANSFER
free.title	GRATIS TRANSFER
free.confirm_prompt	FRIGIV %s GRATIS?
free.release	FRIGIV
free.released_prefix	FRIGIVET
free.squad_too_small	TRUP FOR LILLE
free.release_failed	FRIGIVELSE FEJLEDE
# LINEUP EDITOR
lineup.title	HOLDOPSTILLING
lineup.auto	AUTO
lineup.hint	OP/NED RAEKKE   FYR VAELG/BYT   ESC TILBAGE
lineup.picked_prefix	VALGT
lineup.picked_swap_hint	- FYR EN RAEKKE FOR AT BYTTE
lineup.unmarked_prefix	AFMARKERET
lineup.slot_not_available	PLADS UTILGAENGELIG
lineup.goal_needs_keeper	MALPLADS KRAEVER MALMAND
lineup.swapped_prefix	BYTTET
lineup.swapped_and	OG
lineup.auto_restored	AUTO OPSTILLING GENDANNET
lineup.auto_label	AUTO OPSTILLING
lineup.custom_label	EGEN OPSTILLING
lineup.slot	PLADS
lineup.slot_gk	MM
lineup.slot_sub	RES
# STAFF
staff.title	STAB
staff.coach	TRAENER
staff.fire_selected	FYR VALGTE
staff.hire_coach	ANSAET TRAENER
staff.training_focus	TRAENINGSFOKUS
staff.no_coach_selected	INGEN TRAENER VALGT
staff.no_coaches	INGEN TRAENERE
# FIRE COACH
firecoach.title	FYR TRAENER
firecoach.coach_not_available	TRAENER UTILGAENGELIG
firecoach.severance_prefix	FRATRAEDELSE
firecoach.fire	FYR
firecoach.fired_prefix	FYRET
# HIRE COACH
hire.title	ANSAET TRAENER
hire.candidate	KANDIDAT
hire.hire	ANSAET
hire.hired_prefix	ANSAT
# TRAINING FOCUS
focus.title	TRAENINGSFOKUS
focus.toggle	SKIFT FOKUS
focus.removed_prefix	FJERNET
focus.focused_prefix	FOKUSERET
focus.max_prefix	MAX
focus.max_suffix	FOKUSSPILLERE
focus.mark	*
# SCOUTING
scout.title	SPEJDNING
scout.scout_player	SPEJD SPILLER
scout.improve_prefix	FORBEDR SPEJDNING
scout.maxed	SPEJDNING MAX
scout.unavailable	SPEJDNING UTILGAENGELIG
scout.quality_prefix	SPEJDERKVALITET
scout.no_watched	INGEN SPEJDEDE SPILLERE
scout.scout_selected	SPEJD VALGTE
scout.scout_prefix	SPEJD
scout.scouted_prefix	SPEJDET
scout.cost_prefix	PRIS
scout.no_players_available	INGEN SPILLERE TILGAENGELIGE
# TRANSFER MARKET
market.title	TRANSFERMARKED
market.max_price	MAX PRIS
market.buy_selected	KOB VALGTE
market.no_player_selected	INGEN SPILLER VALGT
market.free_agent	FRI AGENT
market.club_fallback_prefix	KLUB
market.price_any	ALLE
market.price_100k	<100K
market.price_250k	<250K
market.price_500k	<500K
market.price_1m	<1M
market.price_2m	<2M
market.price_5m	<5M
market.price_10m	<10M
market.price_over_10m	>=10M
# BUY / NEGOTIATION
buy.title	KOB SPILLER
buy.asking_prefix	KRAEVER
buy.your_bid	DIT BUD
buy.make_bid	GIV BUD
buy.club_unwilling	KLUB VIL IKKE KOBE SPILLERE
buy.no_time	INGEN TID TIL FORHANDLING
buy.enter_a_bid	INDTAST ET BUD
buy.not_enough_money	IKKE NOK PENGE
buy.bought_prefix	KOBT
buy.squad_full	TRUP FULD
buy.transfer_failed	TRANSFER FEJLEDE
buy.counter_prefix	DE MODBYDER
buy.rejected	BUD FOR LAVT - AFVIST
# INCOMING OFFERS
offers.title	TRANSFERTILBUD
offers.no_offers	INGEN TILBUD
offers.offer	TILBUD
offers.accept	ACCEPTER
offers.demand_more	KRAEV MERE
offers.reject	AFVIS
offers.header_negotiate_prefix	TID TIL FORHANDLING
offers.header_sells	SALG
offers.not_available	TILBUD UTILGAENGELIGT
offers.sold_prefix	SOLGT
offers.sold_for	FOR
offers.squad_too_small	TRUP FOR LILLE
offers.accept_failed	ACCEPT FEJLEDE
offers.improved_prefix	HAEVET TIL
offers.withdrawn	TILBUD TRUKKET
offers.refused	DE VIL IKKE BETALE MERE
offers.rejected	TILBUD AFVIST
# MATCH HUD / OVERLAYS
hud.half_time	HALVLEG
hud.full_time	FULD TID
hud.penalties	STRAFFESPARK
hud.paused	PAUSE
hud.pause_resume_hint	mellemrum  fortsaet
hud.pause_quit_hint	ESC    afslut til menu
hud.goal	MAL!
hud.throw_in	INDKAST
hud.corner	HJORNE
hud.goal_kick	MALSPARK
hud.press_space	tryk mellemrum
hud.team_home_fallback	HJEMME
hud.team_away_fallback	UDE
goal.type_penalty	(STR)
goal.type_own_goal	(SELV)
# S34 additions
bench.coach	TRAENER
bench.coming_on	KOMMER IND: {0}
bench.fire_swap	FYR VAELG+VAELG = BYT
bench.formation	FORMATION
bench.formation_colon	FORMATION:
bench.help_leave	VENSTRE/HOJRE FORLAD BAENK
bench.help_select	OP/NED VAELG  FYR OK
bench.hold_mark	HOLD FYR = MARKER SPILLER
bench.player_off	SPILLER UD:
bench.sub_in_progress	UDSKIFTNING I GANG...
bench.swap_formation	BYT / FORMATION:
bench.tag_inj	 SKD
bench.tag_off	 [UD]
bench.tag_sub	 [RES]
bench.title	BAENK - {0}
bench.user	BRUGER {0}
career.dash_div_season	DIV {0}  SAESON {1}
career.price_any	ALLE
career.rec_pwdl	K {0}   V {1}   U {2}   T {3}   MF {4}   MI {5}
career.rec_season_div	SAESON {0}  {1}  DIV {2}
career.release_confirm	FRIGIV {0} GRATIS?
career.skill_letters	AFHTKSA
career.title_mr	HR
career.title_ms	FR
comp.competition_complete	TURNERING FAERDIG
comp.cup	POKAL
comp.entrants_random	TILFAELDIG
comp.entrants_same_div	SAMME DIVISION
comp.entrants_same_nation	SAMME NATION
comp.league_round	LIGA - RUNDE {0}/{1}
comp.name_career	KARRIERE
comp.name_cup	POKAL
comp.name_league	LIGA
comp.name_tournament	TURNERING
comp.no_fixtures	INGEN KAMPE
comp.no_player_team	INTET SPILLERHOLD
comp.ord_nd	.
comp.ord_rd	.
comp.ord_st	.
comp.ord_th	.
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	POKALVINDERNES CUP
comp.preset_european_championship	EM
comp.preset_european_cup	EUROPA CUP
comp.preset_uefa_cup	UEFA CUP
comp.preset_world_cup	VM
comp.slot_finished	FAERDIG
comp.slot_no_team	INTET HOLD
comp.slot_round	RUNDE {0}/{1}
comp.slot_winner	VINDER {0}
comp.stage_final	FINALE
comp.stage_group	GRUPPE
comp.stage_league	LIGA
comp.stage_quarter	KVARTFINALE
comp.stage_r16	SIDSTE 16
comp.stage_r32	SIDSTE 32
comp.stage_round_of	SIDSTE
comp.stage_semi	SEMIFINALE
comp.you_are_pos	DU ER {0}
comp.you_champion	DU ER MESTER
comp.you_eliminated	DU BLEV ELIMINERET
comp.you_in	DU ER I {0}
comp.you_in_the	DU ER I {0}
comp.you_through	DU ER VIDERE TIL NAESTE RUNDE
comp.you_unplaced	DU ER UPLACERET
firstrun.body	Ingen SWOS-spildata fundet.\n\nOpenSWOS kraever Sensible World of Soccer 96/97 (Amiga-udgaven).\nTo muligheder - genstart derefter spillet:\n\n  (a) Laeg dine Amiga-floppybilleder (*.adf) i:\n        {0}\n      OpenSWOS udtraekker det nodvendige ved naeste start.\n\n  (b) Har du allerede de lose spilfiler (f.eks. en WHDLoad-installation)?\n      Kopier dem til:\n        {1}\n\nValgfrit: laeg PC-mappen (DOS) DATA i 'original_swos_pc/' for en\nlidt storre holdliste - ikke pakraevet, og det aendrer ikke grafikken.\n\nTidligere SWOS-udgaver (94/95 osv.) er IKKE kompatible.
menu.team_coach_div	TRAENER {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRIKA
nation.continent_asia	ASIEN
nation.continent_europe	EUROPA
nation.continent_north_america	NORDAMERIKA
nation.continent_oceania	OCEANIEN
nation.continent_south_america	SYDAMERIKA
nav.hint_menu	OP/NED VAELG   FYR OK   ESC TILBAGE
nav.hint_picker	OP/NED RUL   FYR VAELG   ESC ANNULLER
nav.hint_picker_cols	OP/NED RUL   VENSTRE/HOJRE KOLONNE   FYR VAELG   ESC ANNULLER
nav.hint_stepper	OP/NED VAELG   VENSTRE/HOJRE SKIFT   FYR OK   ESC TILBAGE
nav.hint_table	OP/NED RAEKKE   FYR OK   ESC TILBAGE
opt.commentator	KOMMENTATOR
opt.commentator_hint	TALT KOMMENTAR (KUN PC-LYD)
opt.display_fullfill	FULD FYLD
opt.display_fullinteger	FULD HELTAL
opt.display_unknown	?
opt.display_windowed	VINDUE
opt.len_min_whole	{0} MIN REEL  (HELE KAMPEN)
opt.len_sec_whole	{0}S REEL  (HELE KAMPEN)
opt.smoothing_sharp	SKARP
overlay.corner	HJORNE
overlay.fulltime	FULD TID
overlay.fulltime_body	FULD TID\n\n{0}  {1} - {2}  {3}\n\ntryk mellemrum
overlay.goal	MAL!
overlay.goalkick	MALSPARK
overlay.halftime	HALVLEG
overlay.paused	PAUSE\n\nmellemrum  fortsaet\nESC    afslut til menu
overlay.penalties	STRAFFESPARK
overlay.throwin	INDKAST
pos.a	A
pos.d	B
pos.gk	MM
pos.lb	VB
pos.lw	VK
pos.m	M
pos.none	--
pos.rb	HB
pos.rw	HK
pos.unknown	?
result.away	UDE
result.home	HJEMME
result.og	(SELV)
result.pen	(STR)
scout.notice_maxed	SPEJDNING MAX
scout.notice_no_money	IKKE NOK PENGE
scout.notice_player_unavailable	SPILLER UTILGAENGELIG
scout.notice_unavailable	SPEJDNING UTILGAENGELIG
staff.notice_coach_unavailable	TRAENER UTILGAENGELIG
staff.notice_focus_full	FOKUS FULDT
staff.notice_full	STAB FULD
staff.notice_no_money	IKKE NOK PENGE
staff.notice_player_unavailable	SPILLER UTILGAENGELIG
staff.notice_unavailable	STAB UTILGAENGELIG
staff.spec_attack	ANGREB
staff.spec_defence	FORSVAR
staff.spec_general	GENEREL
staff.spec_youth	UNGDOM
# FINANCES (career depth plan feature 1)
dash.finances	OEKONOMI
fin.title	OEKONOMI
fin.show_history	SAESON FOR SAESON
fin.show_sheet	DENNE SAESON
fin.no_season	INGEN AFSLUTTET SAESON
fin.drawn_up	REGNSKABET GOERES OP VED SAESONSLUT
fin.col_season	SAESON
fin.col_league	LIGA
fin.col_cup	POKAL
fin.col_income	INDTAEGTER
fin.col_wages	LOENNINGER
fin.col_balance	SALDO
fin.season	SAESON
fin.league	LIGA
fin.cup	POKAL
fin.home_games	HJEMMEKAMPE
fin.crowd	TILSKUERE
fin.row.opening	SALDO VED SAESONSTART:
fin.row.gate	ENTREINDTAEGTER:
fin.row.bonuses	PRAEMIER + TV-RETTIGHEDER:
fin.row.sponsor	SPONSORAT FRA SENSISOFT PLC:
fin.row.invest	EKSTRA INVESTERING FRA FORMANDEN:
fin.row.invest_new	EKSTRA INVESTERING FRA DEN NYE FORMAND:
fin.row.wages	SPILLERLOENNINGER:
fin.row.profit	SAMLET OVERSKUD:
fin.row.loss	SAMLET UNDERSKUD:
fin.row.closing	NY SALDO:
fin.row.sales	SPILLERSALG:
fin.row.purchases	SPILLERKOEB:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	FORMAND
dash.status_sacked	FYRET
chair.title	FORMAND
chair.memo	NOTAT
chair.none	INGEN NOTATER
chair.memo_header	NOTAT FRA KLUBBENS FORMAND
chair.memo_sign	DIN FORMAND
chair.earlier	TIDLIGERE NOTATER
opt.board	BESTYRELSE
opt.board_hint	HVOR HURTIGT FORMANDEN FYRER DIG
opt.board_patient	TAALMODIG
opt.board_normal	NORMAL
opt.board_ruthless	HAARD
chair.verdict0.1	GODT GAAET %a, DU GJORDE ET FREMRAGENDE
chair.verdict0.2	ARBEJDE I DENNE SAESON OG VI PAASKOENNER DET
chair.verdict1.1	EN GOD SAESON %a, VI ER ALLE MEGET
chair.verdict1.2	TILFREDSE, BLIV VED MED DET
chair.verdict2.1	EN SVINGENDE SAESON %a, VI HAABER ALLE
chair.verdict2.2	PAA EN SNARLIG FORBEDRING
chair.verdict3.1	IKKE EN SAERLIG GOD SAESON %a, VI HAABER
chair.verdict3.2	DU FORBEDRER RESULTATERNE NAESTE SAESON
chair.verdict4.1	EN MEGET SKUFFENDE SAESON %a, VI KRAEVER
chair.verdict4.2	MEGET MERE AF DIG NAESTE SAESON
chair.sacked_league.1	DET ER MED STOR BEKLAGELSE AT BESTYRELSEN OG JEG
chair.sacked_league.2	HAR BESLUTTET AT FRITAGE DIG FOR DINE PLIGTER
chair.not_renewed.1	DET ER MED STOR BEKLAGELSE AT VI HAR BESLUTTET
chair.not_renewed.2	IKKE AT FORLAENGE DIN KONTRAKT - HELD OG LYKKE
chair.not_renewed.3	OG VI GLAEDER OS TIL AT SE DIG SNART
chair.league_note.1	BEMAERK VORES NUVAERENDE PLACERING OG
chair.league_note.2	SOERG FOR AT DEN FORBEDRES HURTIGST MULIGT
chair.league_warn.1	HUSK, HVIS PLACERINGEN IKKE SNART FORBEDRES
chair.league_warn.2	MAA VI GENOVERVEJE DIN STILLING
chair.league_crisis.1	EFTER EN TILLIDSAFSTEMNING HAR DU HOEJST
chair.league_crisis.2	3 KAMPE TIL AT VENDE SKUDEN ELLER DU FYRES
chair.money_note.1	BEMAERK VORES NUVAERENDE BANKSALDO OG
chair.money_note.2	SOERG FOR AT DAEKKE OVERTRAEKKET HURTIGST MULIGT
chair.money_warn.1	BLOT EN PAAMINDELSE OM OVERTRAEKKET
chair.money_warn.2	ELLERS MAA VI GENOVERVEJE DIN STILLING
chair.money_crisis.1	EFTER ET KRISEMOEDE KRAEVER VI AT DU
chair.money_crisis.2	DAEKKER OVERTRAEKKET STRAKS ELLER DU FYRES
chair.new_season.1	BARE ET PAR ORD MED HELD OG LYKKE I DEN
chair.new_season.2	NYE SAESON
chair.embargo_buy.1	BEKLAGER %a, KLUBBEN VIL IKKE
chair.embargo_buy.2	KOEBE FLERE SPILLERE I DENNE SAESON
chair.embargo_sell.1	BEMAERK %a AT VI IKKE TILLADER
chair.embargo_sell.2	FLERE SPILLERSALG I DENNE SAESON
chair.sacked_money.1	DET ER MED STOR BEKLAGELSE AT BESTYRELSEN OG JEG
chair.sacked_money.2	HAR BESLUTTET AT FRITAGE DIG FOR DINE PLIGTER
# JOB OFFERS (career depth plan feature #3)
job.title	JOBTILBUD
job.none	INGEN JOBTILBUD
job.offer	TILBUD
job.accept	ACCEPTER
job.decline	AFVIS
job.declined	TILBUD AFVIST
job.not_available	TILBUD IKKE TILGAENGELIGT
job.signed_prefix	AFTALE MED
job.new_job	NYT JOB
job.reputation	OMDOMME
job.rep_world	VERDENSKLASSE
job.rep_high	HOJT VURDERET
job.rep_good	VELANSET
job.rep_known	KENDT
job.rep_unproven	UPROVET
job.rep_unwanted	UONSKET
job.division	DIVISION
job.squad	TRUP
job.letter_header	JOBTILBUD FRA %a
job.letter.1	KAERE HERRE/FRUE
job.letter.2	VI HER I %a VIL GERNE TILBYDE DIG
job.letter.3	TRAENERJOBBET I VORES KLUB NAESTE SAESON
job.letter.4	VI KAN TILBYDE EN MEGET GOD LON OG
job.letter.5	VI HABER AT KUNNE STILLE MIDLER TIL RADIGHED
job.letter.6	OMKRING %b TIL AT FORSTAERKE HOLDET
job.letter.7	VI SER FREM TIL AT HORE FRA DIG
job.accepted_note	DU HAR ACCEPTERET - SKIFTET SKER NAESTE SAESON
job.waiting_prefix	DE VENTER ENDNU
job.waiting_suffix	KAMPE
job.accepted.1	VI HER I %a ER GLADE FOR AT DU
job.accepted.2	HAR ACCEPTERET STILLINGEN SOM TRAENER HOS OS
job.accepted.3	FRA STARTEN AF NAESTE SAESON
job.farewell.1	TAK FOR ALT %a, VI ONSKER DIG
job.farewell.2	ALT GODT I DIT NYE JOB
job.welcome.1	VELKOMMEN %a, VI SER FREM TIL MEGEN
job.welcome.2	SUCCES I VORES NYE SAMARBEJDE
job.withdrawn.1	JOBTILBUD FRA %a TRUKKET TILBAGE
# board expectation line (feature #2 follow-up)
chair.expected	BESTYRELSEN VENTEDE
chair.of	AF
chair.finished	SLUTTEDE
chair.expects	BESTYRELSEN VENTER
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	LANDSHOLD
natjob.entry_offer	INTERNATIONALT JOBTILBUD
natjob.title	LANDSHOLD
natjob.title_offer	INTERNATIONALT JOBTILBUD
natjob.player	SPILLER
natjob.add	TILFOJ SPILLER
natjob.remove	FJERN SPILLER
natjob.auto	AUTOVALG
natjob.resign	TRAED TILBAGE
natjob.full	TRUPPEN ER FULD
natjob.appointed	TRAENER FOR
natjob.none	INTET LANDSHOLDSJOB
natjob.no_players	INGEN SPILLERE TILGAENGELIGE
natjob.squad_word	TRUP
natjob.rating	VURDERING
natjob.home	HJEMME
natjob.abroad	UDLAND
natjob.col_name	NAVN
natjob.col_pos	POS
natjob.col_ovr	OVR
natjob.col_where	HVOR
natjob.col_club	KLUB
natjob.letter_header	INTERNATIONALT JOBTILBUD FRA %a
natjob.offer.1	MEDLEMMERNE AF FODBOLDUDVALGET
natjob.offer.2	I %a VIL GERNE TILBYDE DIG JOBBET
natjob.offer.3	SOM LANDSTRAENER
natjob.offer.4	VI KAN LOVE DIG EN FREMRAGENDE LON OG
natjob.offer.5	EN ARLIGT GENFORHANDLET KONTRAKT
natjob.offer.6	VI SER FREM TIL AT HORE FRA DIG
natjob.accepted.1	MEDLEMMERNE AF FODBOLDUDVALGET
natjob.accepted.2	I %a ER GLADE FOR AT DU HAR
natjob.accepted.3	ACCEPTERET STILLINGEN SOM LANDSTRAENER
natjob.ended.1	MEDLEMMERNE AF FODBOLDUDVALGET
natjob.ended.2	I %a HAR BESLUTTET IKKE AT FORNY DIN
natjob.ended.3	ARLIGT GENFORHANDLEDE KONTRAKT
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	VENT VENLIGST
busy.new_career	BYGGER VERDENEN
busy.next_season	SOMMEREN SPILLES
dash.scorers	TOPSCORERE
scorer.title	TOPSCORERE
scorer.view	LISTE
scorer.page	SIDE
scorer.view_comp	TURNERING
scorer.view_club	MIN KLUB
scorer.view_history	SAESON FOR SAESON
scorer.leading	TURNERINGENS BEDSTE MALSCORERE
scorer.goals	MAL
scorer.own_goals	SELVMAL
scorer.ex_player	MAL AF TIDLIGERE SPILLERE
scorer.career_total	TOTALT I KARRIEREN
scorer.season	SAESON
scorer.season_top	SAESONENS TOPSCORER
