key	no
pick.nothing_to_choose	INGENTING A VELGE
pick.item	NR
pick.more_down	MER v
# DRAW CEREMONY
draw.title_suffix	TREKNING
# PLAY AGAIN
playagain.title	FULL TID
playagain.play_again	SPILL IGJEN
playagain.exit	AVSLUTT
# COMPETITIONS HUB
comp.title	TURNERINGER
comp.new_league	NY LIGA
comp.new_cup	NY CUP
comp.new_tournament	NY TURNERING
comp.preset_competition	FERDIG TURNERING
comp.new_career	NY KARRIERE
comp.load_game	LAST SPILL
# LEAGUE / CUP / TOURNAMENT SETUP
setup.league_title	NY LIGA
setup.cup_title	NY CUP
setup.tournament_title	NY TURNERING
setup.size	STORRELSE
setup.teams_suffix	LAG
setup.entrants	DELTAKERE
setup.entrants_same_division	SAMME DIVISJON
setup.entrants_same_nation	SAMME LAND
setup.entrants_random	TILFELDIG
setup.rounds	RUNDER
setup.rounds_single	ENKEL
setup.rounds_double	DOBBEL
setup.groups	GRUPPER
setup.groups_of_4_suffix	GRUPPER PA 4
setup.create_league	OPPRETT LIGA
setup.create_cup	OPPRETT CUP
setup.create_tournament	OPPRETT TURNERING
# CAREER SETUP
career.title	NY KARRIERE
career.blurb_seasons	LIGA OG HJEMLIG CUP HVER SESONG
career.blurb_promotion	VINN LIGAEN FOR OPPRYKK, SIST GIR NEDRYKK
career.start	START KARRIERE
# MANAGER NAME ENTRY
mgr.title	MANAGERNAVN
mgr.hint	SKRIV NAVN   VENSTRE/HOYRE TITTEL   ENTER OK   ESC AVBRYT
mgr.title_row	TITTEL
mgr.title_mr	HR
mgr.title_ms	FR
mgr.default_name	SPILLER
# COMPETITION DASHBOARD
dash.play_next_match	SPILL NESTE KAMP
dash.continue	FORTSETT
dash.next_season	NESTE SESONG
dash.table	TABELL
dash.fixtures	KAMPER
dash.squad	STALL
dash.lineup	LAGOPPSTILLING
dash.transfers	OVERGANGER
dash.staff	STAB
dash.scouting	SPEIDING
dash.record	HISTORIKK
dash.save_as	LAGRE SOM
dash.retire	GI SEG
dash.abandon	FORLAT
dash.management_record	MANAGERHISTORIKK
dash.status_retired	PENSJONERT
dash.status_champions	MESTER:
dash.status_eliminated	SLATT UT
dash.offers_prefix	BUD
dash.offers_unseen_mark	!
# NEXT MATCH / VIEW RESULT
next.title	NESTE KAMP
result.title	FULL TID
result.label	RESULTAT
# MANAGEMENT RECORD
mrec.title	MANAGERHISTORIKK
mrec.title_of_prefix	MANAGERHISTORIKK FOR
mrec.career_over	KARRIERE OVER
mrec.season	SESONG
mrec.div	DIV
mrec.trophies	TROFEER
mrec.none_yet	INGEN ENNA
mrec.history	HISTORIE
mrec.first_season	FORSTE SESONG PAGAR
# RETIRE CONFIRM
retire.title	GI SEG
retire.prompt	GI SEG SOM MANAGER?
retire.confirm	GI SEG
# PRESET COMPETITIONS
preset.title	FERDIG TURNERING
preset.blurb	EKTE TURNERINGER MED EKTE FELT
preset.european_cup	SERIEMESTERCUPEN
preset.uefa_cup	UEFA-CUPEN
preset.cup_winners_cup	CUPVINNERCUPEN
preset.world_cup	VM
preset.european_championship	EM
preset.copa_america	COPA AMERICA
preset.team_knockout_suffix	LAGS UTSLAG
preset.groups_then_knockout_suffix	GRUPPER PA 4 SO UTSLAG
preset.create	OPPRETT
# SAVE AS / LOAD GAME
save.title	LAGRE SOM
save.hint	SKRIV FILNAVN   ENTER OK   ESC AVBRYT
save.saved_as_prefix	LAGRET SOM
load.title	LAST SPILL
load.delete_mode	SLETTEMODUS
load.no_saved_games	INGEN LAGREDE SPILL
# STANDINGS / FIXTURES
table.title	TABELL
table.group	GRUPPE
fixtures.title	KAMPER
# TEAM SETUP
teamcfg.title	LAGOPPSETT
teamcfg.team	LAG
teamcfg.team_home_prefix	HJEMME
teamcfg.team_away_prefix	BORTE
teamcfg.switch_home_away	BYTT HJEMME / BORTE
teamcfg.coach	TRENER
# COMPETITION ENGINE
stage.league	LIGA
stage.group_prefix	GRUPPE
stage.final	FINALE
stage.semi_final	SEMIFINALE
stage.quarter_final	KVARTFINALE
stage.round_of_16	ATTENDELSFINALE
stage.round_of_32	SEKSTENDELSFINALE
stage.round_of_prefix	RUNDE AV
stage.cup_prefix	CUP
round.league_round	LIGA - RUNDE
round.competition_complete	TURNERING FULLFORT
round.no_fixtures	INGEN KAMPER
status.no_player_team	INGEN SPILLERLAG
status.you_are_champion	DU ER MESTER
status.you_are_prefix	DU ER
status.you_are_unplaced	DU ER UPLASSERT
status.you_were_eliminated	DU BLE SLATT UT
status.you_are_through	DU ER VIDERE TIL NESTE RUNDE
status.you_are_in_prefix	DU ER I
status.you_are_in_the_prefix	DU ER I
ord.st	.
ord.nd	.
ord.rd	.
ord.th	.
season.cup_winner	VINNER
season.cup_runner_up	FINALETAPER
season.cup_out_in_prefix	UTE I
season.cup_out	UTE
season.trophy_league	SESONG %d LIGAMESTER
season.trophy_cup	SESONG %d CUPMESTER
season.history_line	S%d: LIGA %s, CUP %s
season.history_retired	S%d: GA SEG
fixture.penalties_mark	S
# CAREER SQUAD
squad.title_suffix	STALL
squad.default_club	KLUBB
squad.player_action	SPILLERHANDLING
squad.no_player_selected	INGEN SPILLER VALGT
squad.fit_injured	SKA
# PLAYER ACTION
paction.value_prefix	VERDI
paction.time_to_negotiate	TID TIL FORHANDLING
paction.take_off_list	TA AV LISTE
paction.put_on_list	SETT PA OVERGANGSLISTE
paction.give_free_transfer	GI FRI OVERGANG
paction.off_list_prefix	AV LISTE
paction.listed_prefix	LISTET
paction.list_full_prefix	LISTE FULL (MAKS
# FREE TRANSFER
free.title	FRI OVERGANG
free.confirm_prompt	SLIPP %s GRATIS?
free.release	SLIPP
free.released_prefix	SLUPPET
free.squad_too_small	STALL FOR LITEN
free.release_failed	SLIPP MISLYKTES
# LINEUP EDITOR
lineup.title	LAGOPPSTILLING
lineup.auto	AUTO
lineup.hint	OPP/NED RAD   FIRE VELG/BYTT   ESC TILBAKE
lineup.picked_prefix	VALGT
lineup.picked_swap_hint	- FIRE EN RAD FOR A BYTTE
lineup.unmarked_prefix	FJERNET
lineup.slot_not_available	PLASS UTILGJENGELIG
lineup.goal_needs_keeper	MALPLASS TRENGER KEEPER
lineup.swapped_prefix	BYTTET
lineup.swapped_and	OG
lineup.auto_restored	AUTO OPPSTILLING GJENOPPRETTET
lineup.auto_label	AUTO OPPSTILLING
lineup.custom_label	EGEN OPPSTILLING
lineup.slot	PLASS
lineup.slot_gk	MV
lineup.slot_sub	INN
# STAFF
staff.title	STAB
staff.coach	TRENER
staff.fire_selected	SPARK VALGT
staff.hire_coach	ANSETT TRENER
staff.training_focus	TRENINGSFOKUS
staff.no_coach_selected	INGEN TRENER VALGT
staff.no_coaches	INGEN TRENERE
# FIRE COACH
firecoach.title	SPARK TRENER
firecoach.coach_not_available	TRENER UTILGJENGELIG
firecoach.severance_prefix	SLUTTPAKKE
firecoach.fire	SPARK
firecoach.fired_prefix	SPARKET
# HIRE COACH
hire.title	ANSETT TRENER
hire.candidate	KANDIDAT
hire.hire	ANSETT
hire.hired_prefix	ANSATT
# TRAINING FOCUS
focus.title	TRENINGSFOKUS
focus.toggle	VEKSLE FOKUS
focus.removed_prefix	FJERNET
focus.focused_prefix	FOKUSERT
focus.max_prefix	MAKS
focus.max_suffix	FOKUSSPILLERE
focus.mark	*
# SCOUTING
scout.title	SPEIDING
scout.scout_player	SPEID SPILLER
scout.improve_prefix	FORBEDRE SPEIDING
scout.maxed	SPEIDING MAKS
scout.unavailable	SPEIDING UTILGJENGELIG
scout.quality_prefix	SPEIDERKVALITET
scout.no_watched	INGEN SPEIDEDE SPILLERE
scout.scout_selected	SPEID VALGT
scout.scout_prefix	SPEID
scout.scouted_prefix	SPEIDET
scout.cost_prefix	KOST
scout.no_players_available	INGEN SPILLERE TILGJENGELIG
# TRANSFER MARKET
market.title	OVERGANGSMARKED
market.max_price	MAKS PRIS
market.buy_selected	KJOP VALGT
market.no_player_selected	INGEN SPILLER VALGT
market.free_agent	FRI AGENT
market.club_fallback_prefix	KLUBB
market.price_any	ALLE
market.price_100k	<100K
market.price_250k	<250K
market.price_500k	<500K
market.price_1m	<1M
market.price_2m	<2M
market.price_5m	<5M
market.price_10m	<10M
market.price_over_10m	>=10M
# BUY / NEGOTIATION
buy.title	KJOP SPILLER
buy.asking_prefix	KREVER
buy.your_bid	DITT BUD
buy.make_bid	LEGG INN BUD
buy.club_unwilling	KLUBBEN VIL IKKE KJOPE SPILLERE
buy.no_time	INGEN TID IGJEN TIL FORHANDLING
buy.enter_a_bid	LEGG INN ET BUD
buy.not_enough_money	IKKE NOK PENGER
buy.bought_prefix	KJOPT
buy.squad_full	STALL FULL
buy.transfer_failed	OVERGANG MISLYKTES
buy.counter_prefix	DE KONTRER MED
buy.rejected	BUD FOR LAVT - AVSLATT
# INCOMING OFFERS
offers.title	OVERGANGSBUD
offers.no_offers	INGEN BUD
offers.offer	BUD
offers.accept	GODTA
offers.demand_more	KREV MER
offers.reject	AVSLA
offers.header_negotiate_prefix	TID TIL FORHANDLING
offers.header_sells	SALG
offers.not_available	BUD UTILGJENGELIG
offers.sold_prefix	SOLGT
offers.sold_for	FOR
offers.squad_too_small	STALL FOR LITEN
offers.accept_failed	GODTA MISLYKTES
offers.improved_prefix	OKT TIL
offers.withdrawn	BUD TRUKKET
offers.refused	DE NEKTER A BETALE MER
offers.rejected	BUD AVSLATT
# MATCH HUD / OVERLAYS
hud.half_time	PAUSE
hud.full_time	FULL TID
hud.penalties	STRAFFER
hud.paused	PAUSE
hud.pause_resume_hint	mellomrom  fortsett
hud.pause_quit_hint	ESC    til meny
hud.goal	MAL!
hud.throw_in	INNKAST
hud.corner	CORNER
hud.goal_kick	UTSPARK
hud.press_space	trykk mellomrom
hud.team_home_fallback	HJEMME
hud.team_away_fallback	BORTE
goal.type_penalty	(STR)
goal.type_own_goal	(SM)
# S34 additions
bench.coach	TRENER
bench.coming_on	KOMMER INN: {0}
bench.fire_swap	FIRE VELG+VELG = BYTT
bench.formation	FORMASJON
bench.formation_colon	FORMASJON:
bench.help_leave	VENSTRE/HOYRE FORLAT BENK
bench.help_select	OPP/NED VELG  FIRE OK
bench.hold_mark	HOLD FIRE = MARKER SPILLER
bench.player_off	SPILLER UT:
bench.sub_in_progress	BYTTE PAGAR...
bench.swap_formation	BYTT / FORMASJON:
bench.tag_inj	 SKA
bench.tag_off	 [UT]
bench.tag_sub	 [INN]
bench.title	BENK - {0}
bench.user	BRUKER {0}
career.dash_div_season	DIV {0}  SESONG {1}
career.price_any	ALLE
career.rec_pwdl	K {0}   S {1}   U {2}   T {3}   MF {4}   MI {5}
career.rec_season_div	SESONG {0}  {1}  DIV {2}
career.release_confirm	SLIPP {0} GRATIS?
career.skill_letters	PFHTKSA
career.title_mr	HR
career.title_ms	FR
comp.competition_complete	TURNERING FULLFORT
comp.cup	CUP
comp.entrants_random	TILFELDIG
comp.entrants_same_div	SAMME DIVISJON
comp.entrants_same_nation	SAMME LAND
comp.league_round	LIGA - RUNDE {0}/{1}
comp.name_career	KARRIERE
comp.name_cup	CUP
comp.name_league	LIGA
comp.name_tournament	TURNERING
comp.no_fixtures	INGEN KAMPER
comp.no_player_team	INGEN SPILLERLAG
comp.ord_nd	.
comp.ord_rd	.
comp.ord_st	.
comp.ord_th	.
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	CUPVINNERCUPEN
comp.preset_european_championship	EM
comp.preset_european_cup	SERIEMESTERCUPEN
comp.preset_uefa_cup	UEFA-CUPEN
comp.preset_world_cup	VM
comp.slot_finished	FERDIG
comp.slot_no_team	INGEN LAG
comp.slot_round	RUNDE {0}/{1}
comp.slot_winner	VINNER {0}
comp.stage_final	FINALE
comp.stage_group	GRUPPE
comp.stage_league	LIGA
comp.stage_quarter	KVARTFINALE
comp.stage_r16	ATTENDELSFINALE
comp.stage_r32	SEKSTENDELSFINALE
comp.stage_round_of	RUNDE AV
comp.stage_semi	SEMIFINALE
comp.you_are_pos	DU ER {0}
comp.you_champion	DU ER MESTER
comp.you_eliminated	DU BLE SLATT UT
comp.you_in	DU ER I {0}
comp.you_in_the	DU ER I {0}
comp.you_through	DU ER VIDERE TIL NESTE RUNDE
comp.you_unplaced	DU ER UPLASSERT
firstrun.body	Fant ingen SWOS-spilldata.\n\nOpenSWOS trenger Sensible World of Soccer 96/97 (Amiga-utgaven).\nTo valg - start deretter spillet pa nytt:\n\n  (a) Legg Amiga-floppybildene dine (*.adf) i:\n        {0}\n      OpenSWOS henter ut det som trengs ved neste start.\n\n  (b) Har du allerede de lose spillfilene (f.eks. en WHDLoad-installasjon)?\n      Kopier dem til:\n        {1}\n\nValgfritt: legg PC-mappen (DOS) DATA i 'original_swos_pc/' for en\nlitt storre lagliste - ikke pakrevd, og det endrer ikke grafikken.\n\nTidligere SWOS-utgaver (94/95 osv.) er IKKE kompatible.
menu.team_coach_div	TRENER {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRIKA
nation.continent_asia	ASIA
nation.continent_europe	EUROPA
nation.continent_north_america	NORD-AMERIKA
nation.continent_oceania	OSEANIA
nation.continent_south_america	SOR-AMERIKA
nav.hint_menu	OPP/NED VELG   FIRE OK   ESC TILBAKE
nav.hint_picker	OPP/NED BLA   FIRE VELG   ESC AVBRYT
nav.hint_picker_cols	OPP/NED BLA   VENSTRE/HOYRE KOLONNE   FIRE VELG   ESC AVBRYT
nav.hint_stepper	OPP/NED VELG   VENSTRE/HOYRE ENDRE   FIRE OK   ESC TILBAKE
nav.hint_table	OPP/NED RAD   FIRE OK   ESC TILBAKE
opt.commentator	KOMMENTATOR
opt.commentator_hint	TALT KOMMENTAR (KUN PC-LYD)
opt.display_fullfill	FULL FYLL
opt.display_fullinteger	FULL HELTALL
opt.display_unknown	?
opt.display_windowed	VINDU
opt.len_min_whole	{0} MIN EKTE  (HELE KAMPEN)
opt.len_sec_whole	{0}S EKTE  (HELE KAMPEN)
opt.smoothing_sharp	SKARP
overlay.corner	CORNER
overlay.fulltime	FULL TID
overlay.fulltime_body	FULL TID\n\n{0}  {1} - {2}  {3}\n\ntrykk mellomrom
overlay.goal	MAL!
overlay.goalkick	UTSPARK
overlay.halftime	PAUSE
overlay.paused	PAUSE\n\nmellomrom  fortsett\nESC    til meny
overlay.penalties	STRAFFER
overlay.throwin	INNKAST
pos.a	A
pos.d	B
pos.gk	MV
pos.lb	VB
pos.lw	VK
pos.m	M
pos.none	--
pos.rb	HB
pos.rw	HK
pos.unknown	?
result.away	BORTE
result.home	HJEMME
result.og	(SM)
result.pen	(STR)
scout.notice_maxed	SPEIDING MAKS
scout.notice_no_money	IKKE NOK PENGER
scout.notice_player_unavailable	SPILLER UTILGJENGELIG
scout.notice_unavailable	SPEIDING UTILGJENGELIG
staff.notice_coach_unavailable	TRENER UTILGJENGELIG
staff.notice_focus_full	FOKUS FULLT
staff.notice_full	STAB FULL
staff.notice_no_money	IKKE NOK PENGER
staff.notice_player_unavailable	SPILLER UTILGJENGELIG
staff.notice_unavailable	STAB UTILGJENGELIG
staff.spec_attack	ANGREP
staff.spec_defence	FORSVAR
staff.spec_general	GENERELL
staff.spec_youth	UNGDOM
# FINANCES (career depth plan feature 1)
dash.finances	OEKONOMI
fin.title	OEKONOMI
fin.show_history	SESONG FOR SESONG
fin.show_sheet	DENNE SESONGEN
fin.no_season	INGEN FULLFOERT SESONG
fin.drawn_up	REGNSKAPET GJOERES OPP VED SESONGSLUTT
fin.col_season	SESONG
fin.col_league	LIGA
fin.col_cup	CUP
fin.col_income	INNTEKTER
fin.col_wages	LOENNINGER
fin.col_balance	SALDO
fin.season	SESONG
fin.league	LIGA
fin.cup	CUP
fin.home_games	HJEMMEKAMPER
fin.crowd	TILSKUERE
fin.row.opening	SALDO VED SESONGSTART:
fin.row.gate	BILLETTINNTEKTER:
fin.row.bonuses	PREMIER + TV-RETTIGHETER:
fin.row.sponsor	SPONSING FRA SENSISOFT PLC:
fin.row.invest	EKSTRA INVESTERING FRA STYRELEDEREN:
fin.row.invest_new	EKSTRA INVESTERING FRA NY STYRELEDER:
fin.row.wages	SPILLERLOENNINGER:
fin.row.profit	TOTAL FORTJENESTE:
fin.row.loss	TOTALT TAP:
fin.row.closing	NY SALDO:
fin.row.sales	SPILLERSALG:
fin.row.purchases	SPILLERKJOEP:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	STYRELEDER
dash.status_sacked	SPARKET
chair.title	STYRELEDER
chair.memo	NOTAT
chair.none	INGEN NOTATER
chair.memo_header	NOTAT FRA KLUBBENS STYRELEDER
chair.memo_sign	DIN STYRELEDER
chair.earlier	TIDLIGERE NOTATER
opt.board	STYRET
opt.board_hint	HVOR RASKT STYRELEDEREN SPARKER DEG
opt.board_patient	TAALMODIG
opt.board_normal	NORMAL
opt.board_ruthless	HARD
chair.verdict0.1	GODT JOBBET %a, DU GJORDE EN UTMERKET
chair.verdict0.2	JOBB DENNE SESONGEN OG VI SETTER PRIS PAA DET
chair.verdict1.1	EN GOD SESONG %a, VI ER ALLE VELDIG
chair.verdict1.2	FORNOEYDE, FORTSETT SLIK
chair.verdict2.1	EN UJEVN SESONG %a, VI HAAPER ALLE
chair.verdict2.2	PAA EN SNARLIG FORBEDRING
chair.verdict3.1	IKKE EN SAERLIG GOD SESONG %a, VI HAAPER
chair.verdict3.2	DU FORBEDRER RESULTATENE NESTE SESONG
chair.verdict4.1	EN SVAERT SKUFFENDE SESONG %a, VI KREVER
chair.verdict4.2	MYE MER AV DEG NESTE SESONG
chair.sacked_league.1	DET ER MED STOR BEKLAGELSE AT STYRET OG JEG
chair.sacked_league.2	HAR BESTEMT AA FRITA DEG FRA DINE PLIKTER
chair.not_renewed.1	DET ER MED STOR BEKLAGELSE AT VI HAR BESTEMT
chair.not_renewed.2	AA IKKE FORLENGE KONTRAKTEN DIN - LYKKE TIL
chair.not_renewed.3	OG VI GLEDER OSS TIL AA SE DEG SNART
chair.league_note.1	MERK DEG VAAR NAAVAERENDE PLASSERING OG
chair.league_note.2	SOERG FOR AT DEN FORBEDRES SNAREST
chair.league_warn.1	HUSK, HVIS PLASSERINGEN IKKE SNART BEDRES
chair.league_warn.2	MAA VI REVURDERE STILLINGEN DIN
chair.league_crisis.1	ETTER EN TILLITSAVSTEMNING HAR DU HOEYST
chair.league_crisis.2	3 KAMPER PAA AA SNU DET ELLER DU FAAR SPARKEN
chair.money_note.1	MERK DEG BANKSALDOEN VAAR OG
chair.money_note.2	SOERG FOR AA DEKKE OVERTREKKET SNAREST
chair.money_warn.1	BARE EN PAAMINNELSE OM OVERTREKKET
chair.money_warn.2	ELLERS MAA VI REVURDERE STILLINGEN DIN
chair.money_crisis.1	ETTER ET KRISEMOETE KREVER VI AT DU
chair.money_crisis.2	DEKKER OVERTREKKET STRAKS ELLER DU FAAR SPARKEN
chair.new_season.1	BARE NOEN ORD MED LYKKE TIL I DEN
chair.new_season.2	NYE SESONGEN
chair.embargo_buy.1	BEKLAGER %a, KLUBBEN VIL IKKE
chair.embargo_buy.2	KJOEPE FLERE SPILLERE DENNE SESONGEN
chair.embargo_sell.1	MERK DEG %a AT VI IKKE TILLATER
chair.embargo_sell.2	FLERE SPILLERSALG DENNE SESONGEN
chair.sacked_money.1	DET ER MED STOR BEKLAGELSE AT STYRET OG JEG
chair.sacked_money.2	HAR BESTEMT AA FRITA DEG FRA DINE PLIKTER
# JOB OFFERS (career depth plan feature #3)
job.title	JOBBTILBUD
job.none	INGEN JOBBTILBUD
job.offer	TILBUD
job.accept	GODTA
job.decline	AVSLA
job.declined	TILBUD AVSLATT
job.not_available	TILBUD IKKE TILGJENGELIG
job.signed_prefix	ENIG MED
job.new_job	NY JOBB
job.reputation	OMDOMME
job.rep_world	VERDENSKLASSE
job.rep_high	HOYT VURDERT
job.rep_good	VELANSETT
job.rep_known	KJENT
job.rep_unproven	UPROVD
job.rep_unwanted	UONSKET
job.division	DIVISJON
job.squad	STALL
job.letter_header	JOBBTILBUD FRA %a
job.letter.1	KJAERE HERR/FRU
job.letter.2	VI HER I %a VIL GJERNE TILBY DEG
job.letter.3	TRENERJOBBEN I KLUBBEN VAR NESTE SESONG
job.letter.4	VI KAN TILBY EN SVAERT GOD LONN OG
job.letter.5	VI HAPER A KUNNE STILLE MIDLER TIL RADIGHET
job.letter.6	RUNDT %b FOR A FORSTERKE LAGET
job.letter.7	VI SER FREM TIL A HORE FRA DEG
job.accepted_note	DU HAR GODTATT - OVERGANGEN SKJER NESTE SESONG
job.waiting_prefix	DE VENTER ENDA
job.waiting_suffix	KAMPER
job.accepted.1	VI HER I %a ER GLADE FOR AT DU
job.accepted.2	HAR TATT IMOT TRENERJOBBEN HOS OSS
job.accepted.3	FRA STARTEN AV NESTE SESONG
job.farewell.1	TAKK FOR ALT %a, VI ONSKER DEG
job.farewell.2	LYKKE TIL I DEN NYE JOBBEN
job.welcome.1	VELKOMMEN %a, VI SER FREM TIL MYE
job.welcome.2	SUKSESS AV VART NYE SAMARBEID
job.withdrawn.1	JOBBTILBUD FRA %a TRUKKET
# board expectation line (feature #2 follow-up)
chair.expected	STYRET VENTET
chair.of	AV
chair.finished	ENDTE
chair.expects	STYRET VENTER
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	LANDSLAG
natjob.entry_offer	INTERNASJONALT JOBBTILBUD
natjob.title	LANDSLAG
natjob.title_offer	INTERNASJONALT JOBBTILBUD
natjob.player	SPILLER
natjob.add	LEGG TIL SPILLER
natjob.remove	FJERN SPILLER
natjob.auto	AUTOVALG
natjob.resign	TREKK DEG
natjob.full	TROPPEN ER FULL
natjob.appointed	TRENER FOR
natjob.none	INGEN LANDSLAGSJOBB
natjob.no_players	INGEN SPILLERE TILGJENGELIG
natjob.squad_word	TROPP
natjob.rating	VURDERING
natjob.home	HJEMME
natjob.abroad	UTLAND
natjob.col_name	NAVN
natjob.col_pos	POS
natjob.col_ovr	TOT
natjob.col_where	HVOR
natjob.col_club	KLUBB
natjob.letter_header	INTERNASJONALT JOBBTILBUD FRA %a
natjob.offer.1	MEDLEMMENE AV FOTBALLUTVALGET
natjob.offer.2	I %a VIL GJERNE TILBY DEG JOBBEN
natjob.offer.3	SOM LANDSLAGSTRENER
natjob.offer.4	VI KAN LOVE DEG EN UTMERKET LONN OG
natjob.offer.5	EN ARLIG FORNYBAR KONTRAKT
natjob.offer.6	VI SER FREM TIL A HORE FRA DEG
natjob.accepted.1	MEDLEMMENE AV FOTBALLUTVALGET
natjob.accepted.2	I %a ER GLADE FOR AT DU HAR
natjob.accepted.3	TATT IMOT JOBBEN SOM LANDSLAGSTRENER
natjob.ended.1	MEDLEMMENE AV FOTBALLUTVALGET
natjob.ended.2	I %a HAR BESTEMT A IKKE FORNYE
natjob.ended.3	DIN ARLIGE KONTRAKT
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	VENNLIGST VENT
busy.new_career	BYGGER VERDENEN
busy.next_season	SOMMEREN SPILLES
dash.scorers	TOPPSCORERE
scorer.title	TOPPSCORERE
scorer.view	LISTE
scorer.page	SIDE
scorer.view_comp	TURNERING
scorer.view_club	MIN KLUBB
scorer.view_history	SESONG FOR SESONG
scorer.leading	TURNERINGENS BESTE MALSCORERE
scorer.goals	MAL
scorer.own_goals	SELVMAL
scorer.ex_player	MAL AV TIDLIGERE SPILLERE
scorer.career_total	TOTALT I KARRIEREN
scorer.season	SESONG
scorer.season_top	SESONGENS TOPPSCORER
scorer.season_top_plural	SESONGENS TOPPSCORERE
scorer.no_goals	INGEN MAL ENNA DENNE SESONGEN
scorer.no_seasons	INGEN SESONG FULLFORT ENNA
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	KAMP
dash.sec_team	LAG
dash.sec_club	KLUBB
dash.sec_game	SPILL
