key	it
mgr.title_mr	SIG
mgr.title_ms	SIG.RA
mgr.default_name	GIOCATORE
# COMPETITION DASHBOARD
dash.play_next_match	GIOCA PROSSIMA PARTITA
dash.continue	CONTINUA
dash.next_season	PROSSIMA STAGIONE
dash.table	CLASSIFICA
dash.fixtures	CALENDARIO
dash.squad	ROSA
dash.lineup	FORMAZIONE
dash.transfers	MERCATO
dash.staff	STAFF
dash.scouting	OSSERVATORI
dash.record	STORICO
dash.save_as	SALVA COME
dash.retire	RITIRATI
dash.abandon	ABBANDONA
dash.management_record	STORICO CARRIERA
dash.status_retired	RITIRATO
dash.status_champions	CAMPIONI:
dash.status_eliminated	ELIMINATO
dash.offers_prefix	OFFERTE
dash.offers_unseen_mark	!
# NEXT MATCH / VIEW RESULT
next.title	PROSSIMA PARTITA
result.title	FINE PARTITA
result.label	RISULTATO
# MANAGEMENT RECORD
mrec.title	STORICO CARRIERA
mrec.title_of_prefix	STORICO CARRIERA DI
mrec.career_over	CARRIERA FINITA
mrec.season	STAGIONE
mrec.div	DIV
mrec.trophies	TROFEI
mrec.none_yet	ANCORA NESSUNO
mrec.history	STORIA
mrec.first_season	PRIMA STAGIONE IN CORSO
# RETIRE CONFIRM
retire.title	RITIRATI
retire.prompt	RITIRARSI DALLA CARRIERA?
retire.confirm	RITIRATI
# PRESET COMPETITIONS
preset.title	COMPETIZIONE PRESET
preset.blurb	COMPETIZIONI REALI CON I LORO CAMPI REALI
preset.european_cup	COPPA CAMPIONI
preset.uefa_cup	COPPA UEFA
preset.cup_winners_cup	COPPA DELLE COPPE
preset.world_cup	COPPA DEL MONDO
preset.european_championship	CAMPIONATO EUROPEO
preset.copa_america	COPA AMERICA
preset.team_knockout_suffix	SQUADRE AD ELIMINAZIONE
preset.groups_then_knockout_suffix	GRUPPI DA 4 POI ELIMINAZIONE
preset.create	CREA
# SAVE AS / LOAD GAME
save.title	SALVA COME
save.hint	SCRIVI NOME SLOT   INVIO OK   ESC ANNULLA
save.saved_as_prefix	SALVATO COME
load.title	CARICA PARTITA
load.delete_mode	MODO ELIMINA
load.no_saved_games	NESSUNA PARTITA SALVATA
# STANDINGS / FIXTURES
table.title	CLASSIFICA
table.group	GRUPPO
fixtures.title	CALENDARIO
# TEAM SETUP
teamcfg.title	IMPOSTA SQUADRA
teamcfg.team	SQUADRA
teamcfg.team_home_prefix	CASA
teamcfg.team_away_prefix	OSPITE
teamcfg.switch_home_away	CAMBIA CASA / OSPITE
teamcfg.coach	ALLEN
# COMPETITION ENGINE
stage.league	CAMPIONATO
stage.group_prefix	GRUPPO
stage.final	FINALE
stage.semi_final	SEMIFINALE
stage.quarter_final	QUARTI
stage.round_of_16	OTTAVI
stage.round_of_32	SEDICESIMI
stage.round_of_prefix	TURNO DA
stage.cup_prefix	COPPA
round.league_round	CAMPIONATO - GIORNATA
round.competition_complete	COMPETIZIONE COMPLETATA
round.no_fixtures	NESSUNA PARTITA
status.no_player_team	NESSUNA SQUADRA GIOCATORE
status.you_are_champion	SEI IL CAMPIONE
status.you_are_prefix	SEI
status.you_are_unplaced	SEI NON CLASSIFICATO
status.you_were_eliminated	SEI STATO ELIMINATO
status.you_are_through	SEI PASSATO AL TURNO SUCCESSIVO
status.you_are_in_prefix	SEI NEL
status.you_are_in_the_prefix	SEI IN
ord.st	O
ord.nd	O
ord.rd	O
ord.th	O
season.cup_winner	VINCITORE
season.cup_runner_up	FINALISTA
season.cup_out_in_prefix	FUORI AI
season.cup_out	FUORI
season.trophy_league	CAMPIONI CAMPIONATO STAGIONE %d
season.trophy_cup	VINCITORI COPPA STAGIONE %d
season.history_line	S%d: CAMP %s, COPPA %s
season.history_retired	S%d: RITIRATO
fixture.penalties_mark	R
# CAREER SQUAD
squad.title_suffix	ROSA
squad.default_club	CLUB
squad.player_action	AZIONE GIOCATORE
squad.no_player_selected	NESSUN GIOCATORE SELEZIONATO
squad.fit_injured	INF
# PLAYER ACTION
paction.value_prefix	VALORE
paction.time_to_negotiate	TEMPO PER TRATTARE
paction.take_off_list	TOGLI DA LISTA
paction.put_on_list	METTI IN LISTA TRASFERIMENTI
paction.give_free_transfer	SVINCOLA GRATIS
paction.off_list_prefix	FUORI LISTA
paction.listed_prefix	IN LISTA
paction.list_full_prefix	LISTA PIENA (MAX
# FREE TRANSFER
free.title	SVINCOLO GRATIS
free.confirm_prompt	SVINCOLARE %s GRATIS?
free.release	SVINCOLA
free.released_prefix	SVINCOLATO
free.squad_too_small	ROSA TROPPO PICCOLA
free.release_failed	SVINCOLO FALLITO
# LINEUP EDITOR
lineup.title	FORMAZIONE SQUADRA
lineup.auto	AUTO
lineup.hint	SU/GIU RIGA   FUOCO SCEGLI/SCAMBIA   ESC INDIETRO
lineup.picked_prefix	SCELTO
lineup.picked_swap_hint	- PREMI FUOCO SU UNA RIGA PER SCAMBIARE
lineup.unmarked_prefix	DESELEZIONATO
lineup.slot_not_available	POSTO NON DISPONIBILE
lineup.goal_needs_keeper	IN PORTA SERVE UN PORTIERE
lineup.swapped_prefix	SCAMBIATO
lineup.swapped_and	E
lineup.auto_restored	FORMAZIONE AUTO RIPRISTINATA
lineup.auto_label	FORMAZIONE AUTO
lineup.custom_label	FORMAZIONE PERSONALE
lineup.slot	POSTO
lineup.slot_gk	POR
lineup.slot_sub	RIS
# STAFF
staff.title	STAFF
staff.coach	ALLENATORE
staff.fire_selected	LICENZIA SELEZIONATO
staff.hire_coach	INGAGGIA ALLENATORE
staff.training_focus	FOCUS ALLENAMENTO
staff.no_coach_selected	NESSUN ALLENATORE SELEZIONATO
staff.no_coaches	NESSUN ALLENATORE
# FIRE COACH
firecoach.title	LICENZIA ALLENATORE
firecoach.coach_not_available	ALLENATORE NON DISPONIBILE
firecoach.severance_prefix	BUONUSCITA
firecoach.fire	LICENZIA
firecoach.fired_prefix	LICENZIATO
# HIRE COACH
hire.title	INGAGGIA ALLENATORE
hire.candidate	CANDIDATO
hire.hire	INGAGGIA
hire.hired_prefix	INGAGGIATO
# TRAINING FOCUS
focus.title	FOCUS ALLENAMENTO
focus.toggle	CAMBIA FOCUS
focus.removed_prefix	RIMOSSO
focus.focused_prefix	IN FOCUS
focus.max_prefix	MAX
focus.max_suffix	GIOCATORI IN FOCUS
focus.mark	*
# SCOUTING
scout.title	OSSERVATORI
scout.scout_player	OSSERVA GIOCATORE
scout.improve_prefix	MIGLIORA OSSERVATORI
scout.maxed	OSSERVATORI AL MASSIMO
scout.unavailable	OSSERVATORI NON DISPONIBILI
scout.quality_prefix	QUALITA OSSERVATORI
scout.no_watched	NESSUN GIOCATORE OSSERVATO
scout.scout_selected	OSSERVA SELEZIONATO
scout.scout_prefix	OSSERVA
scout.scouted_prefix	OSSERVATO
scout.cost_prefix	COSTO
scout.no_players_available	NESSUN GIOCATORE DISPONIBILE
# TRANSFER MARKET
market.title	MERCATO TRASFERIMENTI
market.max_price	PREZZO MAX
market.buy_selected	COMPRA SELEZIONATO
market.no_player_selected	NESSUN GIOCATORE SELEZIONATO
market.free_agent	SVINCOLATO
market.club_fallback_prefix	CLUB
market.price_any	QUALS
market.price_100k	<100K
market.price_250k	<250K
market.price_500k	<500K
market.price_1m	<1M
market.price_2m	<2M
market.price_5m	<5M
market.price_10m	<10M
market.price_over_10m	>=10M
# BUY / NEGOTIATION
buy.title	COMPRA GIOCATORE
buy.asking_prefix	RICHIESTA
buy.your_bid	LA TUA OFFERTA
buy.make_bid	FAI OFFERTA
buy.club_unwilling	CLUB NON DISPOSTO A COMPRARE GIOCATORI
buy.no_time	NON C'E PIU TEMPO PER TRATTARE
buy.enter_a_bid	INSERISCI UN'OFFERTA
buy.not_enough_money	SOLDI INSUFFICIENTI
buy.bought_prefix	COMPRATO
buy.squad_full	ROSA PIENA
buy.transfer_failed	TRASFERIMENTO FALLITO
buy.counter_prefix	CONTROFFERTA A
buy.rejected	OFFERTA TROPPO BASSA - RIFIUTATA
# INCOMING OFFERS
offers.title	OFFERTE TRASFERIMENTO
offers.no_offers	NESSUNA OFFERTA
offers.offer	OFFERTA
offers.accept	ACCETTA
offers.demand_more	CHIEDI DI PIU
offers.reject	RIFIUTA
offers.header_negotiate_prefix	TEMPO PER TRATTARE
offers.header_sells	VENDITE
offers.not_available	OFFERTA NON DISPONIBILE
offers.sold_prefix	VENDUTO
offers.sold_for	PER
offers.squad_too_small	ROSA TROPPO PICCOLA
offers.accept_failed	ACCETTAZIONE FALLITA
offers.improved_prefix	MIGLIORATA A
offers.withdrawn	OFFERTA RITIRATA
offers.refused	RIFIUTANO DI PAGARE DI PIU
offers.rejected	OFFERTA RIFIUTATA
# MATCH HUD / OVERLAYS
hud.half_time	FINE PRIMO TEMPO
hud.full_time	FINE PARTITA
hud.penalties	RIGORI
hud.paused	IN PAUSA
hud.pause_resume_hint	spazio  riprendi
hud.pause_quit_hint	ESC    esci al menu
hud.goal	GOL!
hud.throw_in	RIMESSA
hud.corner	CALCIO D'ANGOLO
hud.goal_kick	RINVIO
hud.press_space	premi spazio
hud.team_home_fallback	CASA
hud.team_away_fallback	OSPITE
goal.type_penalty	(RIG)
goal.type_own_goal	(AUT)
# S34 additions
bench.coach	ALLENATORE
bench.coming_on	ENTRA: {0}
bench.fire_swap	TIRO SEL+SEL = SCAMBIA
bench.formation	FORMAZIONE
bench.formation_colon	FORMAZIONE:
bench.help_leave	SX/DX ESCI PANCHINA
bench.help_select	SU/GIU SEL  TIRO OK
bench.hold_mark	TIENI TIRO = MARCA GIOCATORE
bench.player_off	ESCE:
bench.sub_in_progress	SOSTITUZIONE IN CORSO...
bench.swap_formation	SCAMBIA / FORMAZIONE:
bench.tag_inj	 INF
bench.tag_off	 [FUO]
bench.tag_sub	 [RIS]
bench.title	PANCHINA - {0}
bench.user	GIOCATORE {0}
career.dash_div_season	DIV {0}  STAGIONE {1}
career.price_any	QUALSIASI
career.rec_pwdl	G {0}   V {1}   N {2}   P {3}   GF {4}   GS {5}
career.rec_season_div	STAGIONE {0}  {1}  DIV {2}
career.release_confirm	SVINCOLARE {0} GRATIS?
career.skill_letters	PVHTCSF
career.title_mr	SIG
career.title_ms	SIGRA
comp.competition_complete	COMPETIZIONE COMPLETATA
comp.cup	COPPA
comp.entrants_random	CASUALE
comp.entrants_same_div	STESSA DIVISIONE
comp.entrants_same_nation	STESSA NAZIONE
comp.league_round	CAMPIONATO - GIORNATA {0}/{1}
comp.name_career	CARRIERA
comp.name_cup	COPPA
comp.name_league	CAMPIONATO
comp.name_tournament	TORNEO
comp.no_fixtures	NESSUNA PARTITA
comp.no_player_team	NESSUNA SQUADRA GIOCATORE
comp.ord_nd	O
comp.ord_rd	O
comp.ord_st	O
comp.ord_th	O
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	COPPA DELLE COPPE
comp.preset_european_championship	CAMPIONATO EUROPEO
comp.preset_european_cup	COPPA CAMPIONI
comp.preset_uefa_cup	COPPA UEFA
comp.preset_world_cup	COPPA DEL MONDO
comp.slot_finished	CONCLUSA
comp.slot_no_team	NESSUNA SQUADRA
comp.slot_round	TURNO {0}/{1}
comp.slot_winner	VINCITORE {0}
comp.stage_final	FINALE
comp.stage_group	GRUPPO
comp.stage_league	CAMPIONATO
comp.stage_quarter	QUARTI
comp.stage_r16	OTTAVI
comp.stage_r32	SEDICESIMI
comp.stage_round_of	TURNO DA
comp.stage_semi	SEMIFINALE
comp.you_are_pos	SEI {0}
comp.you_champion	SEI IL CAMPIONE
comp.you_eliminated	SEI STATO ELIMINATO
comp.you_in	SEI NEL {0}
comp.you_in_the	SEI IN {0}
comp.you_through	SEI PASSATO AL TURNO SUCCESSIVO
comp.you_unplaced	SEI NON CLASSIFICATO
firstrun.body	NESSUN DATO DI GIOCO SWOS TROVATO.\n\nOPENSWOS RICHIEDE SENSIBLE WORLD OF SOCCER 96/97 (EDIZIONE AMIGA).\nDUE OPZIONI - POI RIAVVIA IL GIOCO:\n\n  (A) METTI LE TUE IMMAGINI FLOPPY AMIGA (*.ADF) IN:\n        {0}\n      OPENSWOS ESTRAE CIO CHE SERVE AL PROSSIMO AVVIO.\n\n  (B) HAI GIA I FILE DI GIOCO SCIOLTI (ES. UNA INSTALLAZIONE WHDLOAD)?\n      COPIALI IN:\n        {1}\n\nOPZIONALE: METTI LA CARTELLA DATA DEL PC (DOS) IN 'ORIGINAL_SWOS_PC/' PER\nUNA LISTA SQUADRE UN PO PIU GRANDE - NON RICHIESTO, E NON CAMBIA LA GRAFICA.\n\nLE EDIZIONI SWOS PRECEDENTI (94/95 ECC.) NON SONO COMPATIBILI.
menu.team_coach_div	ALLENATORE {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRICA
nation.continent_asia	ASIA
nation.continent_europe	EUROPA
nation.continent_north_america	AMERICA DEL NORD
nation.continent_oceania	OCEANIA
nation.continent_south_america	AMERICA DEL SUD
nav.hint_menu	SU/GIU SEL   TIRO OK   ESC INDIETRO
nav.hint_picker	SU/GIU SCORRI   TIRO SEL   ESC ANNULLA
nav.hint_picker_cols	SU/GIU SCORRI   SX/DX COLONNA   TIRO SEL   ESC ANNULLA
nav.hint_stepper	SU/GIU SEL   SX/DX CAMBIA   TIRO OK   ESC INDIETRO
nav.hint_table	SU/GIU RIGA   TIRO OK   ESC INDIETRO
opt.commentator	TELECRONISTA
opt.commentator_hint	TELECRONACA PARLATA (SOLO AUDIO PC)
opt.display_fullfill	RIEMPI
opt.display_fullinteger	INTERO
opt.display_unknown	?
opt.display_windowed	FINESTRA
opt.len_min_whole	{0} MIN REALI  (PARTITA INTERA)
opt.len_sec_whole	{0}S REALI  (PARTITA INTERA)
opt.smoothing_sharp	NITIDO
overlay.corner	CALCIO D'ANGOLO
overlay.fulltime	FINE PARTITA
overlay.fulltime_body	FINE PARTITA\n\n{0}  {1} - {2}  {3}\n\nPREMI SPAZIO
overlay.goal	GOL!
overlay.goalkick	RINVIO
overlay.halftime	FINE PRIMO TEMPO
overlay.paused	IN PAUSA\n\nSPACE  RIPRENDI\nESC    ESCI AL MENU
overlay.penalties	RIGORI
overlay.throwin	RIMESSA
pos.a	A
pos.d	D
pos.gk	GK
pos.lb	LB
pos.lw	LW
pos.m	M
pos.none	--
pos.rb	RB
pos.rw	RW
pos.unknown	?
result.away	OSPITE
result.home	CASA
result.og	(AUT)
result.pen	(RIG)
scout.notice_maxed	OSSERVATORI AL MASSIMO
scout.notice_no_money	SOLDI INSUFFICIENTI
scout.notice_player_unavailable	GIOCATORE NON DISPONIBILE
scout.notice_unavailable	OSSERVATORI NON DISPONIBILI
staff.notice_coach_unavailable	ALLENATORE NON DISPONIBILE
staff.notice_focus_full	FOCUS PIENO
staff.notice_full	STAFF PIENO
staff.notice_no_money	SOLDI INSUFFICIENTI
staff.notice_player_unavailable	GIOCATORE NON DISPONIBILE
staff.notice_unavailable	STAFF NON DISPONIBILE
staff.spec_attack	ATTACCO
staff.spec_defence	DIFESA
staff.spec_general	GENERALE
staff.spec_youth	GIOVANILI
# FINANCES (career depth plan feature 1)
dash.finances	FINANZE
fin.title	FINANZE
fin.show_history	STAGIONE PER STAGIONE
fin.show_sheet	QUESTA STAGIONE
fin.no_season	NESSUNA STAGIONE COMPLETATA
fin.drawn_up	IL BILANCIO SI CHIUDE A FINE STAGIONE
fin.col_season	STAGIONE
fin.col_league	CAMPIONATO
fin.col_cup	COPPA
fin.col_income	ENTRATE
fin.col_wages	STIPENDI
fin.col_balance	SALDO
fin.season	STAGIONE
fin.league	CAMPIONATO
fin.cup	COPPA
fin.home_games	PARTITE IN CASA
fin.crowd	SPETTATORI
fin.row.opening	SALDO A INIZIO STAGIONE:
fin.row.gate	INCASSI BIGLIETTI:
fin.row.bonuses	PREMI + DIRITTI TV:
fin.row.sponsor	SPONSOR SENSISOFT PLC:
fin.row.invest	INVESTIMENTO DEL PRESIDENTE:
fin.row.invest_new	INVESTIMENTO DEL NUOVO PRESIDENTE:
fin.row.wages	STIPENDI GIOCATORI:
fin.row.profit	UTILE TOTALE:
fin.row.loss	PERDITA TOTALE:
fin.row.closing	NUOVO SALDO:
fin.row.sales	CESSIONI GIOCATORI:
fin.row.purchases	ACQUISTI GIOCATORI:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	PRESIDENTE
dash.status_sacked	ESONERATO
chair.title	PRESIDENTE
chair.memo	NOTA
chair.none	NESSUNA NOTA
chair.memo_header	NOTA DEL PRESIDENTE DEL CLUB
chair.memo_sign	IL SUO PRESIDENTE
chair.earlier	NOTE PRECEDENTI
opt.board	SOCIETA
opt.board_hint	QUANTO IN FRETTA IL PRESIDENTE TI ESONERA
opt.board_patient	PAZIENTE
opt.board_normal	NORMALE
opt.board_ruthless	SPIETATA
chair.verdict0.1	BRAVO %a, HAI FATTO UN LAVORO ECCELLENTE
chair.verdict0.2	QUESTA STAGIONE E TE NE SIAMO GRATI
chair.verdict1.1	BUONA STAGIONE %a, SIAMO TUTTI MOLTO
chair.verdict1.2	SODDISFATTI, CONTINUA COSI
chair.verdict2.1	STAGIONE ALTALENANTE %a, SPERIAMO TUTTI
chair.verdict2.2	IN UN MIGLIORAMENTO IN TEMPI BREVI
chair.verdict3.1	STAGIONE NON BRILLANTE %a, SPERIAMO CHE
chair.verdict3.2	MIGLIORI IL RENDIMENTO IL PROSSIMO ANNO
chair.verdict4.1	STAGIONE MOLTO DELUDENTE %a, PRETENDIAMO
chair.verdict4.2	MOLTO DI PIU DA TE LA PROSSIMA STAGIONE
chair.sacked_league.1	CON GRANDE RAMMARICO IL CONSIGLIO ED IO
chair.sacked_league.2	ABBIAMO DECISO DI SOLLEVARTI DALL'INCARICO
chair.not_renewed.1	CON GRANDE RAMMARICO ABBIAMO DECISO DI NON
chair.not_renewed.2	RINNOVARE IL TUO CONTRATTO - BUONA FORTUNA
chair.not_renewed.3	E SPERIAMO DI RIVEDERTI PRESTO
chair.league_note.1	PRENDI NOTA DELLA NOSTRA POSIZIONE IN CLASSIFICA
chair.league_note.2	E FAI IN MODO DI MIGLIORARLA AL PIU PRESTO
chair.league_warn.1	RICORDA, SE LA CLASSIFICA NON MIGLIORA
chair.league_warn.2	DOVREMO RICONSIDERARE LA TUA POSIZIONE
chair.league_crisis.1	DOPO UN VOTO DI FIDUCIA, HAI AL MASSIMO
chair.league_crisis.2	3 PARTITE PER RADDRIZZARE IL CLUB O SARAI ESONERATO
chair.money_note.1	PRENDI NOTA DEL NOSTRO SALDO IN BANCA E
chair.money_note.2	PROVVEDI A COPRIRE LO SCOPERTO AL PIU PRESTO
chair.money_warn.1	SOLO UN PROMEMORIA SULLO SCOPERTO
chair.money_warn.2	ALTRIMENTI DOVREMO RICONSIDERARE LA TUA POSIZIONE
chair.money_crisis.1	DOPO UNA RIUNIONE DI CRISI, PRETENDIAMO CHE
chair.money_crisis.2	COPRA SUBITO LO SCOPERTO O SARAI ESONERATO
chair.new_season.1	DUE RIGHE PER AUGURARTI OGNI SUCCESSO NELLA
chair.new_season.2	NUOVA STAGIONE
chair.embargo_buy.1	MI SPIACE %a, IL CLUB NON INTENDE
chair.embargo_buy.2	ACQUISTARE ALTRI GIOCATORI QUESTA STAGIONE
chair.embargo_sell.1	NOTA BENE %a CHE NON PERMETTEREMO
chair.embargo_sell.2	ALTRE CESSIONI DI GIOCATORI QUESTA STAGIONE
chair.sacked_money.1	CON GRANDE RAMMARICO IL CONSIGLIO ED IO
chair.sacked_money.2	ABBIAMO DECISO DI SOLLEVARTI DALL'INCARICO
# JOB OFFERS (career depth plan feature #3)
job.title	OFFERTE DI LAVORO
job.none	NESSUNA OFFERTA
job.offer	OFFERTA
job.accept	ACCETTA
job.decline	RIFIUTA
job.declined	OFFERTA RIFIUTATA
job.not_available	OFFERTA NON DISPONIBILE
job.signed_prefix	ACCORDO CON
job.new_job	NUOVO INCARICO
job.reputation	REPUTAZIONE
job.rep_world	CLASSE MONDIALE
job.rep_high	MOLTO STIMATO
job.rep_good	BEN CONSIDERATO
job.rep_known	CONOSCIUTO
job.rep_unproven	SENZA ESPERIENZA
job.rep_unwanted	NON GRADITO
job.division	DIVISIONE
job.squad	ROSA
job.letter_header	OFFERTA DI LAVORO DA %a
job.letter.1	GENTILE SIGNORE/SIGNORA
job.letter.2	NOI DI %a VORREMMO OFFRIRLE IL
job.letter.3	RUOLO DI ALLENATORE PER LA PROSSIMA STAGIONE
job.letter.4	POSSIAMO OFFRIRLE UN OTTIMO INGAGGIO E
job.letter.5	SPERIAMO DI METTERE A DISPOSIZIONE FONDI
job.letter.6	NELL ORDINE DI %b PER RINFORZARE LA ROSA
job.letter.7	ATTENDIAMO UNA SUA RISPOSTA
job.accepted_note	HA ACCETTATO - IL PASSAGGIO E LA PROSSIMA STAGIONE
job.waiting_prefix	ASPETTERANNO ANCORA
job.waiting_suffix	PARTITE
job.accepted.1	NOI DI %a SIAMO FELICI CHE LEI
job.accepted.2	ABBIA ACCETTATO IL RUOLO DI ALLENATORE
job.accepted.3	DALL INIZIO DELLA PROSSIMA STAGIONE
job.farewell.1	GRAZIE DI TUTTO %a, TI AUGURIAMO
job.farewell.2	OGNI BENE NEL NUOVO INCARICO
job.welcome.1	BENVENUTO %a, CI ASPETTIAMO MOLTI
job.welcome.2	SUCCESSI DALLA NOSTRA NUOVA COLLABORAZIONE
job.withdrawn.1	OFFERTA DI LAVORO DA %a RITIRATA
# board expectation line (feature #2 follow-up)
chair.expected	LA DIRIGENZA ATTENDEVA
chair.of	SU
chair.finished	ARRIVATO
chair.expects	LA DIRIGENZA ATTENDE
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	NAZIONALE
natjob.entry_offer	OFFERTA DI LAVORO INTERNAZIONALE
natjob.title	NAZIONALE
natjob.title_offer	OFFERTA DI LAVORO INTERNAZIONALE
natjob.player	GIOCATORE
natjob.add	AGGIUNGI GIOCATORE
natjob.remove	TOGLI GIOCATORE
