key	fi
val.display_full_fill	KOKO TAYTTO
val.display_full_integer	KOKO TARKKA
# LOCAL MULTIPLAYER
mp.title	PAIKALLINEN MONINPELI
mp.controls_hint	PELAAJA 1: NUOLET+VALI   PELAAJA 2: WASD+SHIFT
mp.start	ALOITA 2 PELAAJAN OTTELU
# PICKERS
pick.continent	MANNER
pick.country	MAA
pick.your_team	JOUKKUEESI
pick.all_countries	KAIKKI MAAT
pick.all	KAIKKI
pick.select_country	VALITSE MAA
pick.select_continent	VALITSE MANNER
pick.select_your_team	VALITSE JOUKKUE
pick.home_team	KOTIJOUKKUE
pick.away_team	VIERASJOUKKUE
pick.nothing_to_choose	EI VALITTAVAA
pick.item	KOHDE
pick.more_down	LISAA v
# DRAW CEREMONY
draw.title_suffix	ARVONTA
# PLAY AGAIN
playagain.title	PELIN LOPPU
playagain.play_again	PELAA UUDELLEEN
playagain.exit	POISTU
# COMPETITIONS HUB
comp.title	KILPAILUT
comp.new_league	UUSI LIIGA
comp.new_cup	UUSI CUP
comp.new_tournament	UUSI TURNAUS
comp.preset_competition	VALMIS KILPAILU
comp.new_career	UUSI URA
comp.load_game	LATAA PELI
# LEAGUE / CUP / TOURNAMENT SETUP
setup.league_title	UUSI LIIGA
setup.cup_title	UUSI CUP
setup.tournament_title	UUSI TURNAUS
setup.size	KOKO
setup.teams_suffix	JOUKKUETTA
setup.entrants	OSALLISTUJAT
setup.entrants_same_division	SAMA SARJA
setup.entrants_same_nation	SAMA MAA
setup.entrants_random	SATUNNAINEN
setup.rounds	KIERROKSET
setup.rounds_single	YKSI
setup.rounds_double	KAKSI
setup.groups	LOHKOT
setup.groups_of_4_suffix	NELJAN LOHKOA
setup.create_league	LUO LIIGA
setup.create_cup	LUO CUP
setup.create_tournament	LUO TURNAUS
# CAREER SETUP
career.title	UUSI URA
career.blurb_seasons	LIIGA JA KOTIMAAN CUP JOKA KAUSI
career.blurb_promotion	VOITA LIIGA NOUSTAKSESI, VIIMEINEN PUTOAA
career.start	ALOITA URA
# MANAGER NAME ENTRY
mgr.title	MANAGERIN NIMI
mgr.hint	KIRJOITA NIMI   VAS/OIK TITTELI   ENTER OK   ESC PERUUTA
mgr.title_row	TITTELI
mgr.title_mr	HRA
mgr.title_ms	RVA
mgr.default_name	PELAAJA
# COMPETITION DASHBOARD
dash.play_next_match	PELAA SEURAAVA
dash.continue	JATKA
dash.next_season	SEURAAVA KAUSI
dash.table	TAULUKKO
dash.fixtures	OTTELUT
dash.squad	JOUKKUE
dash.lineup	KOKOONPANO
dash.transfers	SIIRROT
dash.staff	HENKILOSTO
dash.scouting	SKAUTTAUS
dash.record	SAAVUTUKSET
dash.save_as	TALLENNA
dash.retire	ELAKKEELLE
dash.abandon	HYLKAA
dash.management_record	JOHTAMISTILASTO
dash.status_retired	ELAKKEELLA
dash.status_champions	MESTARI:
dash.status_eliminated	PUDONNUT
dash.offers_prefix	TARJOUKSET
dash.offers_unseen_mark	!
# NEXT MATCH / VIEW RESULT
next.title	SEURAAVA OTTELU
result.title	PELIN LOPPU
result.label	TULOS
# MANAGEMENT RECORD
mrec.title	JOHTAMISTILASTO
mrec.title_of_prefix	JOHTAMISTILASTO:
mrec.career_over	URA OHI
mrec.season	KAUSI
mrec.div	DIV
mrec.trophies	POKAALIT
mrec.none_yet	EI VIELA
mrec.history	HISTORIA
mrec.first_season	ENSIMMAINEN KAUSI KESKEN
# RETIRE CONFIRM
retire.title	ELAKKEELLE
retire.prompt	LOPETA MANAGERINA?
retire.confirm	ELAKKEELLE
# PRESET COMPETITIONS
preset.title	VALMIS KILPAILU
preset.blurb	OIKEAT KILPAILUT OIKEILLA JOUKKUEILLA
preset.european_cup	EUROOPAN CUP
preset.uefa_cup	UEFA CUP
preset.cup_winners_cup	CUP-VOITTAJIEN CUP
preset.world_cup	MM-KISAT
preset.european_championship	EM-KISAT
preset.copa_america	COPA AMERICA
preset.team_knockout_suffix	JOUKKUEEN CUP
preset.groups_then_knockout_suffix	NELJAN LOHKOA SITTEN CUP
preset.create	LUO
# SAVE AS / LOAD GAME
save.title	TALLENNA NIMELLA
save.hint	KIRJOITA NIMI   ENTER OK   ESC PERUUTA
save.saved_as_prefix	TALLENNETTU:
load.title	LATAA PELI
load.delete_mode	POISTOTILA
load.no_saved_games	EI TALLENNUKSIA
# STANDINGS / FIXTURES
table.title	TAULUKKO
table.group	LOHKO
fixtures.title	OTTELUT
# TEAM SETUP
teamcfg.title	JOUKKUE
teamcfg.team	JOUKKUE
teamcfg.team_home_prefix	KOTI
teamcfg.team_away_prefix	VIERAS
teamcfg.switch_home_away	VAIHDA KOTI / VIERAS
teamcfg.coach	VALMENTAJA
# COMPETITION ENGINE
stage.league	LIIGA
stage.group_prefix	LOHKO
stage.final	FINAALI
stage.semi_final	VALIERA
stage.quarter_final	PUOLIVALIERA
stage.round_of_16	NELJANNESVALIERA
stage.round_of_32	KAHDEKSANNESVALIERA
stage.round_of_prefix	PARHAAT
stage.cup_prefix	CUP
round.league_round	LIIGA - KIERROS
round.competition_complete	KILPAILU VALMIS
round.no_fixtures	EI OTTELUITA
status.no_player_team	EI PELAAJAJOUKKUETTA
status.you_are_champion	OLET MESTARI
status.you_are_prefix	OLET
status.you_are_unplaced	OLET SIJOITTAMATTA
status.you_were_eliminated	SINUT PUDOTETTIIN
status.you_are_through	OLET JATKOON SEURAAVALLE KIERROKSELLE
status.you_are_in_prefix	OLET
status.you_are_in_the_prefix	OLET
ord.st	.
ord.nd	.
ord.rd	.
ord.th	.
season.cup_winner	VOITTAJA
season.cup_runner_up	TOINEN
season.cup_out_in_prefix	ULOS
season.cup_out	ULOS
season.trophy_league	KAUSI %d LIIGAMESTARI
season.trophy_cup	KAUSI %d CUP-VOITTAJA
season.history_line	K%d: LIIGA %s, CUP %s
season.history_retired	K%d: ELAKE
fixture.penalties_mark	R
# CAREER SQUAD
squad.title_suffix	JOUKKUE
squad.default_club	SEURA
squad.player_action	PELAAJATOIMINTO
squad.no_player_selected	EI VALITTUA PELAAJAA
squad.fit_injured	LOU
# PLAYER ACTION
paction.value_prefix	ARVO
paction.time_to_negotiate	NEUVOTTELUAIKA
paction.take_off_list	POISTA LISTALTA
paction.put_on_list	LISAA SIIRTOLISTALLE
paction.give_free_transfer	VAPAUTA ILMAISEKSI
paction.off_list_prefix	POIS LISTALTA
paction.listed_prefix	LISTALLA
paction.list_full_prefix	LISTA TAYNNA (MAX
# FREE TRANSFER
free.title	VAPAA SIIRTO
free.confirm_prompt	VAPAUTA %s ILMAISEKSI?
free.release	VAPAUTA
free.released_prefix	VAPAUTETTU
free.squad_too_small	JOUKKUE LIIAN PIENI
free.release_failed	VAPAUTUS EPAONNISTUI
# LINEUP EDITOR
lineup.title	JOUKKUEEN KOKOONPANO
lineup.auto	AUTO
lineup.hint	YLOS/ALAS RIVI   FIRE VALITSE/VAIHDA   ESC TAKAISIN
lineup.picked_prefix	VALITTU
lineup.picked_swap_hint	- PAINA RIVIA VAIHTAAKSESI
lineup.unmarked_prefix	POISTETTU
lineup.slot_not_available	PAIKKA EI KAYTETTAVISSA
lineup.goal_needs_keeper	MAALIPAIKKA VAATII VAHDIN
lineup.swapped_prefix	VAIHDETTU
lineup.swapped_and	JA
lineup.auto_restored	AUTOKOKOONPANO PALAUTETTU
lineup.auto_label	AUTOKOKOONPANO
lineup.custom_label	OMA KOKOONPANO
lineup.slot	PAIKKA
lineup.slot_gk	MV
lineup.slot_sub	VARA
# STAFF
staff.title	HENKILOSTO
staff.coach	VALMENTAJA
staff.fire_selected	EROTA VALITTU
staff.hire_coach	PALKKAA VALMENTAJA
staff.training_focus	HARJOITUSPAINOTUS
staff.no_coach_selected	EI VALITTUA VALMENTAJAA
staff.no_coaches	EI VALMENTAJIA
# FIRE COACH
firecoach.title	EROTA VALMENTAJA
firecoach.coach_not_available	VALMENTAJA EI SAATAVILLA
firecoach.severance_prefix	EROKORVAUS
firecoach.fire	EROTA
firecoach.fired_prefix	EROTETTU
# HIRE COACH
hire.title	PALKKAA VALMENTAJA
hire.candidate	EHDOKAS
hire.hire	PALKKAA
hire.hired_prefix	PALKATTU
# TRAINING FOCUS
focus.title	HARJOITUSPAINOTUS
focus.toggle	VAIHDA PAINOTUS
focus.removed_prefix	POISTETTU
focus.focused_prefix	PAINOTETTU
focus.max_prefix	MAX
focus.max_suffix	PAINOTUSPELAAJAA
focus.mark	*
# SCOUTING
scout.title	SKAUTTAUS
scout.scout_player	SKAUTTAA PELAAJA
scout.improve_prefix	PARANNA SKAUTTAUSTA
scout.maxed	SKAUTTAUS MAKSIMISSA
scout.unavailable	SKAUTTAUS EI KAYTOSSA
scout.quality_prefix	SKAUTIN LAATU
scout.no_watched	EI TARKKAILTAVIA
scout.scout_selected	SKAUTTAA VALITTU
scout.scout_prefix	SKAUTTAA
scout.scouted_prefix	SKAUTATTU
scout.cost_prefix	HINTA
scout.no_players_available	EI PELAAJIA SAATAVILLA
# TRANSFER MARKET
market.title	SIIRTOTORI
market.max_price	MAKSIMIHINTA
market.buy_selected	OSTA VALITTU
market.no_player_selected	EI VALITTUA PELAAJAA
market.free_agent	VAPAA PELAAJA
market.club_fallback_prefix	SEURA
market.price_any	KAIKKI
market.price_100k	<100K
market.price_250k	<250K
market.price_500k	<500K
market.price_1m	<1M
market.price_2m	<2M
market.price_5m	<5M
market.price_10m	<10M
market.price_over_10m	>=10M
# BUY / NEGOTIATION
buy.title	OSTA PELAAJA
buy.asking_prefix	PYYNTI
buy.your_bid	TARJOUKSESI
buy.make_bid	TEE TARJOUS
buy.club_unwilling	SEURA EI OSTA PELAAJIA
buy.no_time	EI AIKAA NEUVOTELLA
buy.enter_a_bid	SYOTA TARJOUS
buy.not_enough_money	EI TARPEEKSI RAHAA
buy.bought_prefix	OSTETTU
buy.squad_full	JOUKKUE TAYNNA
buy.transfer_failed	SIIRTO EPAONNISTUI
buy.counter_prefix	VASTATARJOUS
buy.rejected	TARJOUS LIIAN PIENI - HYLATTY
# INCOMING OFFERS
offers.title	SIIRTOTARJOUKSET
offers.no_offers	EI TARJOUKSIA
offers.offer	TARJOUS
offers.accept	HYVAKSY
offers.demand_more	VAADI LISAA
offers.reject	HYLKAA
offers.header_negotiate_prefix	NEUVOTTELUAIKA
offers.header_sells	MYYNNIT
offers.not_available	TARJOUS EI SAATAVILLA
offers.sold_prefix	MYYTY
offers.sold_for	HINTAAN
offers.squad_too_small	JOUKKUE LIIAN PIENI
offers.accept_failed	HYVAKSYNTA EPAONNISTUI
offers.improved_prefix	KOROTETTU
offers.withdrawn	TARJOUS PERUTTU
offers.refused	EIVAT MAKSA ENEMPAA
offers.rejected	TARJOUS HYLATTY
# MATCH HUD / OVERLAYS
hud.half_time	PUOLIAIKA
hud.full_time	PELIN LOPPU
hud.penalties	RANGAISTUSPOTKUT
hud.paused	TAUKO
hud.pause_resume_hint	vali  jatka
hud.pause_quit_hint	ESC    valikkoon
hud.goal	MAALI!
hud.throw_in	SISAANHEITTO
hud.corner	KULMA
hud.goal_kick	MAALIPOTKU
hud.press_space	paina vali
hud.team_home_fallback	KOTI
hud.team_away_fallback	VIERAS
goal.type_penalty	(RP)
goal.type_own_goal	(OM)
# S34 additions
bench.coach	VALMENTAJA
bench.coming_on	TULEE PELIIN: {0}
bench.fire_swap	FIRE VALITSE+VALITSE = VAIHTO
bench.formation	MUODOSTELMA
bench.formation_colon	MUODOSTELMA:
bench.help_leave	VAS/OIK POISTU PENKILTA
bench.help_select	YLOS/ALAS VALITSE  FIRE OK
bench.hold_mark	PIDA FIRE = MERKITSE PELAAJA
bench.player_off	PELAAJA POIS:
bench.sub_in_progress	VAIHTO KESKEN...
bench.swap_formation	VAIHTO / MUODOSTELMA:
bench.tag_inj	 LOU
bench.tag_off	 [POIS]
bench.tag_sub	 [VAR]
bench.title	PENKKI - {0}
bench.user	KAYTTAJA {0}
career.dash_div_season	DIV {0}  KAUSI {1}
career.price_any	KAIKKI
career.rec_pwdl	O {0}   V {1}   T {2}   H {3}   TM {4}   PM {5}
career.rec_season_div	KAUSI {0}  {1}  DIV {2}
career.release_confirm	VAPAUTA {0} ILMAISEKSI?
career.skill_letters	SNPTHLV
career.title_mr	HRA
career.title_ms	RVA
comp.competition_complete	KILPAILU VALMIS
comp.cup	CUP
comp.entrants_random	SATUNNAINEN
comp.entrants_same_div	SAMA SARJA
comp.entrants_same_nation	SAMA MAA
comp.league_round	LIIGA - KIERROS {0}/{1}
comp.name_career	URA
comp.name_cup	CUP
comp.name_league	LIIGA
comp.name_tournament	TURNAUS
comp.no_fixtures	EI OTTELUITA
comp.no_player_team	EI PELAAJAJOUKKUETTA
comp.ord_nd	.
comp.ord_rd	.
comp.ord_st	.
comp.ord_th	.
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	CUP-VOITTAJIEN CUP
comp.preset_european_championship	EM-KISAT
comp.preset_european_cup	EUROOPAN CUP
comp.preset_uefa_cup	UEFA CUP
comp.preset_world_cup	MM-KISAT
comp.slot_finished	VALMIS
comp.slot_no_team	EI JOUKKUETTA
comp.slot_round	KIERROS {0}/{1}
comp.slot_winner	VOITTAJA {0}
comp.stage_final	FINAALI
comp.stage_group	LOHKO
comp.stage_league	LIIGA
comp.stage_quarter	PUOLIVALIERA
comp.stage_r16	NELJANNESVALIERA
comp.stage_r32	KAHDEKSANNESVALIERA
comp.stage_round_of	PARHAAT
comp.stage_semi	VALIERA
comp.you_are_pos	OLET {0}
comp.you_champion	OLET MESTARI
comp.you_eliminated	SINUT PUDOTETTIIN
comp.you_in	OLET {0}
comp.you_in_the	OLET {0}
comp.you_through	OLET JATKOON SEURAAVALLE KIERROKSELLE
comp.you_unplaced	OLET SIJOITTAMATTA
firstrun.body	SWOS-pelidataa ei loytynyt.\n\nOpenSWOS tarvitsee Sensible World of Soccer 96/97 (Amiga-versio).\nKaksi vaihtoehtoa - kaynnista peli sitten uudelleen:\n\n  (a) Pudota Amiga-levykuvat (*.adf) kansioon:\n        {0}\n      OpenSWOS purkaa tarvittavat seuraavalla kaynnistyksella.\n\n  (b) Onko sinulla jo irralliset pelitiedostot (esim. WHDLoad-asennus)?\n      Kopioi ne kansioon:\n        {1}\n\nValinnainen: pudota PC:n (DOS) DATA-kansio kansioon 'original_swos_pc/'\nhieman laajempaa joukkuelistaa varten - ei pakollinen eika muuta grafiikkaa.\n\nVanhemmat SWOS-versiot (94/95 jne.) EIVAT ole yhteensopivia.
menu.team_coach_div	VALMENTAJA {0}   DIV {1}
menu.team_div	DIV {0}
menu.versus	  V
nation.continent_africa	AFRIKKA
nation.continent_asia	AASIA
nation.continent_europe	EUROOPPA
nation.continent_north_america	POHJOIS-AMERIKKA
nation.continent_oceania	OSEANIA
nation.continent_south_america	ETELA-AMERIKKA
nav.hint_menu	YLOS/ALAS VALITSE   FIRE OK   ESC TAKAISIN
nav.hint_picker	YLOS/ALAS VIERITA   FIRE VALITSE   ESC PERUUTA
nav.hint_picker_cols	YLOS/ALAS VIERITA   VAS/OIK SARAKE   FIRE VALITSE   ESC PERUUTA
nav.hint_stepper	YLOS/ALAS VALITSE   VAS/OIK MUUTA   FIRE OK   ESC TAKAISIN
nav.hint_table	YLOS/ALAS RIVI   FIRE OK   ESC TAKAISIN
opt.commentator	SELOSTAJA
opt.commentator_hint	PUHUTTU SELOSTUS (VAIN PC-AANI)
opt.display_fullfill	KOKO TAYTTO
opt.display_fullinteger	KOKO TARKKA
opt.display_unknown	?
opt.display_windowed	IKKUNA
opt.len_min_whole	{0} MIN TODELL.  (KOKO OTTELU)
opt.len_sec_whole	{0}S TODELL.  (KOKO OTTELU)
opt.smoothing_sharp	TERAVA
overlay.corner	KULMA
overlay.fulltime	PELIN LOPPU
overlay.fulltime_body	PELIN LOPPU\n\n{0}  {1} - {2}  {3}\n\npaina vali
overlay.goal	MAALI!
overlay.goalkick	MAALIPOTKU
overlay.halftime	PUOLIAIKA
overlay.paused	TAUKO\n\nvali  jatka\nESC    valikkoon
overlay.penalties	RANGAISTUSPOTKUT
overlay.throwin	SISAANHEITTO
pos.a	H
pos.d	P
pos.gk	MV
pos.lb	VP
pos.lw	VL
pos.m	K
pos.none	--
pos.rb	OP
pos.rw	OL
pos.unknown	?
result.away	VIERAS
result.home	KOTI
result.og	(OM)
result.pen	(RP)
scout.notice_maxed	SKAUTTAUS MAKSIMISSA
scout.notice_no_money	EI TARPEEKSI RAHAA
scout.notice_player_unavailable	PELAAJAA EI SAATAVILLA
scout.notice_unavailable	SKAUTTAUS EI KAYTOSSA
staff.notice_coach_unavailable	VALMENTAJA EI SAATAVILLA
staff.notice_focus_full	PAINOTUS TAYNNA
staff.notice_full	HENKILOSTO TAYNNA
staff.notice_no_money	EI TARPEEKSI RAHAA
staff.notice_player_unavailable	PELAAJAA EI SAATAVILLA
staff.notice_unavailable	HENKILOSTO EI KAYTOSSA
staff.spec_attack	HYOKKAYS
staff.spec_defence	PUOLUSTUS
staff.spec_general	YLEINEN
staff.spec_youth	NUORISO
# FINANCES (career depth plan feature 1)
dash.finances	TALOUS
fin.title	TALOUS
fin.show_history	KAUSI KERRALLAAN
fin.show_sheet	TAMA KAUSI
fin.no_season	EI PAATTYNEITA KAUSIA
fin.drawn_up	TILINPAATOS TEHDAAN KAUDEN LOPUSSA
fin.col_season	KAUSI
fin.col_league	LIIGA
fin.col_cup	CUP
fin.col_income	TULOT
fin.col_wages	PALKAT
fin.col_balance	SALDO
fin.season	KAUSI
fin.league	LIIGA
fin.cup	CUP
fin.home_games	KOTIOTTELUT
fin.crowd	KATSOJAA
fin.row.opening	SALDO KAUDEN ALUSSA:
fin.row.gate	LIPPUTULOT:
fin.row.bonuses	PALKKIOT + TV-OIKEUDET:
fin.row.sponsor	SPONSOROINTI SENSISOFT PLC:
fin.row.invest	PUHEENJOHTAJAN LISASIJOITUS:
fin.row.invest_new	UUDEN PUHEENJOHTAJAN LISASIJOITUS:
fin.row.wages	PELAAJIEN PALKAT:
fin.row.profit	KOKONAISVOITTO:
fin.row.loss	KOKONAISTAPPIO:
fin.row.closing	UUSI SALDO:
fin.row.sales	PELAAJAMYYNNIT:
fin.row.purchases	PELAAJAOSTOT:
# THE CHAIRMAN (career depth plan feature 2)
dash.chairman	PUHEENJOHTAJA
dash.status_sacked	EROTETTU
chair.title	PUHEENJOHTAJA
chair.memo	KIRJE
chair.none	EI KIRJEITA
chair.memo_header	KIRJE SEURAN PUHEENJOHTAJALTA
chair.memo_sign	PUHEENJOHTAJASI
chair.earlier	AIEMMAT KIRJEET
opt.board	JOHTOKUNTA
opt.board_hint	KUINKA NOPEASTI PUHEENJOHTAJA EROTTAA SINUT
opt.board_patient	KARSIVALLINEN
opt.board_normal	NORMAALI
opt.board_ruthless	ARMOTON
chair.verdict0.1	HYVIN TEHTY %a, TEIT ERINOMAISTA TYOTA
chair.verdict0.2	TALLA KAUDELLA JA ARVOSTAMME SITA
chair.verdict1.1	HYVA KAUSI %a, OLEMME KAIKKI HYVIN
chair.verdict1.2	TYYTYVAISIA, JATKA SAMAAN MALLIIN
chair.verdict2.1	VAIHTELEVA KAUSI %a, TOIVOMME KAIKKI
chair.verdict2.2	PIKAISTA PARANNUSTA
chair.verdict3.1	EI KOVIN HYVA KAUSI %a, TOIVOMME ETTA
chair.verdict3.2	PARANNAT TULOKSIA ENSI KAUDELLA
chair.verdict4.1	ERITTAIN PETTYMYS KAUSI %a, VAADIMME
chair.verdict4.2	PALJON ENEMMAN ENSI KAUDELLA
chair.sacked_league.1	SUUREKSI SURUKSEMME JOHTOKUNTA JA MINA
chair.sacked_league.2	OLEMME PAATTANEET VAPAUTTAA SINUT TEHTAVISTASI
chair.not_renewed.1	SUUREKSI SURUKSEMME OLEMME PAATTANEET
chair.not_renewed.2	OLLA JATKAMATTA SOPIMUSTASI - ONNEA MATKAAN
chair.not_renewed.3	JA TOIVOMME NAKEVAMME SINUT PIAN
chair.league_note.1	HUOMIOI NYKYINEN SARJASIJAMME JA
chair.league_note.2	HUOLEHDI SEN PARANTAMISESTA PIKAISESTI
chair.league_warn.1	MUISTA, ELLEI SIJOITUS PIAN PARANE
chair.league_warn.2	JOUDUMME HARKITSEMAAN ASEMAASI UUDELLEEN
chair.league_crisis.1	LUOTTAMUSAANESTYKSEN JALKEEN SINULLA ON ENINTAAN
chair.league_crisis.2	3 OTTELUA KAANTAA SUUNTA TAI SINUT EROTETAAN
chair.money_note.1	HUOMIOI PANKKITILIMME SALDO JA
chair.money_note.2	HUOLEHDI TILINYLITYKSEN KATTAMISESTA PIKAISESTI
chair.money_warn.1	MUISTUTUS TILINYLITYKSESTA
chair.money_warn.2	MUUTEN JOUDUMME HARKITSEMAAN ASEMAASI UUDELLEEN
chair.money_crisis.1	KRIISIKOKOUKSEN JALKEEN VAADIMME ETTA
chair.money_crisis.2	KATAT TILINYLITYKSEN HETI TAI SINUT EROTETAAN
chair.new_season.1	MUUTAMA SANA ONNEA TOIVOTTAEN
chair.new_season.2	UUTEEN KAUTEEN
chair.embargo_buy.1	PAHOITTELEN %a, SEURA EI OLE HALUKAS
chair.embargo_buy.2	OSTAMAAN LISAA PELAAJIA TALLA KAUDELLA
chair.embargo_sell.1	HUOMAA %a ETTA EMME SALLI
chair.embargo_sell.2	LISAA PELAAJAMYYNTEJA TALLA KAUDELLA
chair.sacked_money.1	SUUREKSI SURUKSEMME JOHTOKUNTA JA MINA
chair.sacked_money.2	OLEMME PAATTANEET VAPAUTTAA SINUT TEHTAVISTASI
# JOB OFFERS (career depth plan feature #3)
job.title	TYOTARJOUKSET
job.none	EI TYOTARJOUKSIA
job.offer	TARJOUS
job.accept	HYVAKSY
job.decline	HYLKAA
job.declined	TARJOUS HYLATTY
job.not_available	TARJOUS EI SAATAVILLA
job.signed_prefix	SOVITTU SEURAN
job.new_job	UUSI TYO
job.reputation	MAINE
job.rep_world	MAAILMANLUOKKAA
job.rep_high	ARVOSTETTU
job.rep_good	HYVASSA MAINEESSA
job.rep_known	TUNNETTU
job.rep_unproven	NAYTTOJA VAILLA
job.rep_unwanted	EI HALUTTU
job.division	SARJA
job.squad	KOKOONPANO
job.letter_header	TYOTARJOUS SEURALTA %a
job.letter.1	HYVA VASTAANOTTAJA
job.letter.2	ME TAALLA %a HALUAISIMME TARJOTA
job.letter.3	VALMENTAJAN PAIKKAA ENSI KAUDEKSI
job.letter.4	VOIMME TARJOTA HYVAN PALKAN JA
job.letter.5	TOIVOMME VOIVAMME JARJESTAA VAROJA
job.letter.6	NOIN %b JOUKKUEEN VAHVISTAMISEEN
job.letter.7	ODOTAMME VASTAUSTASI
job.accepted_note	OLET HYVAKSYNYT - SIIRTO TAPAHTUU ENSI KAUDELLA
job.waiting_prefix	HE ODOTTAVAT VIELA
job.waiting_suffix	OTTELUA
job.accepted.1	ME TAALLA %a OLEMME ILOISIA ETTA
job.accepted.2	OTIT VASTAAN VALMENTAJAN PAIKAN
job.accepted.3	ENSI KAUDEN ALUSTA
job.farewell.1	KIITOS KAIKESTA %a, TOIVOTAMME
job.farewell.2	SINULLE MENESTYSTA UUDESSA TYOSSA
job.welcome.1	TERVETULOA %a, ODOTAMME PALJON
job.welcome.2	MENESTYSTA UUDESTA YHTEISTYOSTA
job.withdrawn.1	TYOTARJOUS SEURALTA %a PERUTTU
# board expectation line (feature #2 follow-up)
chair.expected	JOHTO ODOTTI
chair.of	/
chair.finished	SIJOITUS
chair.expects	JOHTO ODOTTAA
# NATIONAL TEAM JOB (career depth plan feature #4)
natjob.entry	MAAJOUKKUE
natjob.entry_offer	KANSAINVALINEN TYOTARJOUS
natjob.title	MAAJOUKKUE
natjob.title_offer	KANSAINVALINEN TYOTARJOUS
natjob.player	PELAAJA
natjob.add	LISAA PELAAJA
natjob.remove	POISTA PELAAJA
natjob.auto	AUTOMAATTIVALINTA
natjob.resign	EROA
natjob.full	RYHMA TAYNNA
natjob.appointed	PAAVALMENTAJA
natjob.none	EI MAAJOUKKUEPESTIA
natjob.no_players	EI PELAAJIA
natjob.squad_word	RYHMA
natjob.rating	ARVIO
natjob.home	KOTIMAA
natjob.abroad	ULKOMAAT
natjob.col_name	NIMI
